等級,物品名稱,分類,一般採集地點,建議採集地點,相關資料,販店價,image
體驗,竹子,木材類,芙蕾雅島法蘭城東門外,"芙蕾雅島法蘭城東門外(490,196)",,20個22G,/img/採集/竹子.gif
體驗,孟宗竹,木材類,芙蕾雅島法蘭城東門外,"芙蕾雅島法蘭城東門外(490,196)",,20個28G,/img/採集/孟宗竹.gif
1,印度輕木,木材類,芙蕾雅島全域 / 溫迪爾平原全域,"芙蕾雅島法蘭城東門外(490,196)",,20個28G,/img/採集/印度輕木.gif
2,樅,木材類,"芙蕾雅島法蘭城西門外(447,164) / 芙蕾雅島法蘭城東門外(497,190)(印度輕木) / 芙蕾雅島法蘭城西門外(356,144)(印度輕木) / 芙蕾雅島法蘭城南門外(444,295)(印度輕木)","芙蕾雅島法蘭城西門外(447,164)",,20個36G,/img/採集/樅.gif
3,黃月木,木材類,"芙蕾雅島亞留特村東門外(625,133) / 芙蕾雅島法蘭城南門外(447,164)(410,290)(印度輕木) / 芙蕾雅島法蘭城西門外(361,182)(印度輕木) / 索奇亞島奇利村東門外(295,325) / 索奇亞島奇利村北門外(272,287)","芙蕾雅島亞留特村東門外(625,133) / 索奇亞島奇利村北門外(272,287)",,20個41G,/img/採集/黃月木.gif
4,鐵杉,木材類,"芙蕾雅島法蘭城東門外(602,118)(印度輕木) / 芙蕾雅島亞留特村東門外(640,70) / 芙蕾雅島維諾亞域(422,431)","芙蕾雅島亞留特村東門外(640,70) / 芙蕾雅島維諾亞域(422,431)",,20個48G,/img/採集/鐵杉.gif
5,琵琶木,木材類,"芙蕾雅島維諾亞域(356,417) / 索奇亞島加納域(711,207) / 米內葛爾島阿凱魯法域(203,346) / 庫魯克斯島哥拉爾鎮(348,362) / 布拉基姆高地(116,144)","米內葛爾島阿凱魯法域(203,346)",,20個58G,/img/採集/琵琶木.gif
6,赤松,木材類,"芙蕾雅島維諾亞域(400,550) / 索奇亞島加納村南門外(586,220)(627,431) / 米內葛爾島阿凱魯法域(192,373) / 庫魯克斯島哥拉爾鎮東門外(444,443)(432,437)","索奇亞島加納村南門外(627,431) / 米內葛爾島阿凱魯法域(192,373) / 庫魯克斯島哥拉爾鎮東門外(432,437)",,20個73G,/img/採集/赤松.gif
7,朴,木材類,"索奇亞島奇利域(282,404) / 莎蓮娜島傑諾瓦域(186,457) / 莎蓮娜島魔法大學裡面(24,59)(朴、杉、百里香) / 米內葛爾島阿凱魯法域(188,455) / 庫魯克斯島哥拉爾鎮西門外(171,431)","米內葛爾島阿凱魯法域(188,455)",,20個98G,/img/採集/朴.gif
8,杉,木材類,"莎蓮娜島阿巴尼斯域(105,149) / 莎蓮娜島魔法大學裡面(24,59)(杉、百里香、瞿麥) / 莎蓮娜島傑諾瓦鎮域(161.354)","莎蓮娜島阿巴尼斯域(105,149)",,20個147G,/img/採集/杉.gif
