等級,名稱,類型,材料,能力,說明,販店價,image
1,長劍,單手武器,銅條(4)、印度輕木(20),攻擊+12~+24,堅固的巨大寬劍。,220,/img/武器/長劍.gif
1,闊劍,單手武器,銅條(4)、鐵條(3)、印度輕木(20),攻擊+18~+36,堅固的寬鐵劍。,280,/img/武器/闊劍.gif
2,火舌劍,單手武器,銅條(7)、鐵條(5)、樅(20)、黃月木(20),攻擊+33~+60,擁有火焰形狀的劍身，威力強大的劍。,500,/img/武器/火舌劍.gif
2,突刺劍,單手武器,銅條(5)、鐵條(4)、印度輕木(20),攻擊+26~+48,十分細長的細劍。,350,/img/武器/突刺劍.gif
3,雙手劍,雙手武器,鐵條(10)、銀條(8)、樅(20)、鐵杉(20),攻擊+50~+84,柄很長的兩手持大劍。,700,/img/武器/雙手劍.gif
3,麵包劍,單手武器,銅條(7)、鐵條(6)、銀條(5),攻擊+43~+75,長柄的劍，不但很重也很堅固。,600,/img/武器/長劍.gif
4,鎖刃劍,單手武器,鐵條(10)、純銀條(7)、金條(5)、黃月木(20),攻擊+70~+108,為了用來造其他劍的特殊劍。,900,/img/武器/鎖刃劍.gif
4,雙刃長劍,單手武器,銅條(15)、鐵條(5)、純銀條(5)、黃月木(20),攻擊+62~+96,細長、劍身寬、而且又銳利的兩刃劍。,800,/img/武器/雙刃長劍.gif
5,格鬥劍,單手武器,鐵條(10)、銀條(3)、純銀條(6)、金條(7)、鐵杉(20),攻擊+84~+120,適用於對戰的改良寬劍。,1000,/img/武器/闊劍.gif
5,長鍔劍,雙手武器,銅條(10)、鐵條(8)、銀條(7)、金條(8)、赤松(20),攻擊+92~+132,容易攜帶且重防禦的長柄兩手劍。,1200,/img/武器/雙手劍.gif
5,黑作太刀,雙手武器,銅條(10)、鐵條(10)、鋁條(7)、金條(7)、赤松(20),攻擊+93~+129 敏捷+1~+5 命中+2 閃躲+1,不加裝飾，實戰用的直刀。因黑漆塗製的刀鞘而得名。,800,/img/武器/黑作太刀.gif
6,豬牙劍,單手武器,銀條(10)、純銀條(10)、白金條(8)、鐵杉(20)、琵琶木(20),攻擊+108~+144,劍身像豬牙的細劍。,1400,/img/武器/豬牙劍.gif
6,雙刃闊劍,單手武器,純銀條(6)、金條(10)、白金條(10)、琵琶木(20)、朴(20),攻擊+117~+156,劍身寬廣的短劍。,1600,/img/武器/雙刃闊劍.gif
7,巨劍,單手武器,純銀條(15)、白金條(10)、幻之鋼條(7)、赤松(20)、鋼騎之礦(1),攻擊+125~+170 命中+10 閃躲-5,單手可斬擊，雙手可突擊的戰鬥實用劍。,1700,/img/武器/雙手劍.gif
7,水龍之劍,單手武器,生鏽的劍(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),攻擊+210 敏捷+5 命中+2 閃躲+2 耐久300,寄宿有海神的魔力的劍。,無法販售,/img/武器/水龍之劍.gif
7,長軍刀,單手武器,銀條(10)、金條(13)、幻之鋼條(11)、印度輕木(20)、朴(20),攻擊+135~+180,劍身寬廣的防禦劍。,1700,/img/武器/長軍刀.gif
8,細柄短劍,單手武器,幻之鋼條(10)、幻之銀條(13)、樅(20)、赤松(20)、杉(20),攻擊+153~+204,劍身很細柄很短的輕巧劍。,1800,/img/武器/細柄短劍.gif
8,護身短劍,單手武器,銅條(15)、白金條(16)、幻之鋼條(13)、杉(20)、魔族的水晶(1),攻擊+225~+230 防禦-50 魔力-200,裝飾過度的防身用短劍。,1800,/img/武器/護身短劍.gif
8,長軍刀+,單手武器,幻之鋼條(18)、幻之銀條(18)、杉(20)、永久冰石(20)、藍龍之鱗(20),攻擊+90~+180 必殺+1~+2 耐久200~+250 生產系晉升任務Ⅲ,劍身寬廣的防禦劍。,1700,/img/武器/長軍刀.gif
9,剛硬巨劍,單手武器,純銀條(10)、幻之銀條(10)、勒格耐席鉧條(10)、琵琶木(20)、鋼騎之礦(2),攻擊+185 連擊所需消耗魔力減少20%,由硬鋼製成的長劍。,4000,/img/武器/剛硬巨劍.gif
9,細刃重劍,雙手武器,鐵條(10)、白金條(10)、幻之鋼條(10)、幻之銀條(10)、絲柏(20),攻擊+182~+228,劍身很細，劍柄卻又重又長的兩手劍。,3000,/img/武器/細刃重劍.gif
10,曲刀,單手武器,幻之銀條(10)、奧利哈鋼條(10)、絲柏(20)、鋼騎之礦(2)、魔族的水晶(2),攻擊+250 敏捷+1 命中+1 閃躲+1,需要力量大的人才拿的動的超巨劍。,6000,/img/武器/曲刀.gif
10,青龍刀,單手武器,金條(10)、幻之銀條(10)、勒格耐席鉧條(10)、杉(20)、梣(20),攻擊+204~+240,劍身刻有龍形的單手劍。,4500,/img/武器/青龍刀.gif
