物品名稱,能力說明,兌換方式/地點
風暴軍團長魔魂,生命+300，魔攻+200，閃避+15，回復+30,麗夏村（74.73）
風暴軍團長武魂,生命+400，攻擊+250，必殺+15，反擊+15,蒼月聖學院（27.102）
幻之惡魔,減少技能超強石化魔法耗魔的10%，生命+200，魔力+200，敏捷+100，抗石化+15，抗毒+15,布倫尼亞民宅（34.66）
神聖天使,減少超強補血魔法耗魔的10%，生命+300，魔力+300，敏捷+30，閃避+（15~20），抗石化+（15~20）,麗夏村（109.91）
愛情天使,生命+200，敏捷+30，抗毒+10，抗昏睡+10，抗石化+10，閃避+15，減少強力補血魔法10%耗魔,海拉爾村民宅（43.73）
戰鬥天使,生命+200，攻擊+50，命中+15，減少裂空斬10%耗魔,赫蘭尼斯堡（123.112）
守護天使,生命+200，防禦+100，閃避+15,艾爾瑪城（141.174）
風暴天使,魔力+200，攻擊+50，必殺+15,艾爾瑪城（108.154）
聖誕鼠王,回復+40，閃避+15，生命+150,莎蓮娜（155.149）
純白豬王,,蒼月聖學院（36.144）
火柴小王子,抗毒+10，抗酒醉+10， 抗昏睡+10， 抗混亂+10， 抗石化+10，回復+40,雪山之頂（41.25）
皎月公主,魔力+200，命中+12，必殺+12，生命+100,海澤蘭冰原（118.54）
暗月公主,魔力+300，反擊+12，閃避+12，回復+20,海澤蘭冰原（118.54）
隕星之刃,生命+180，魔力-50,海澤蘭冰原（118.54）
22週年水龍蜥,生命+400；必殺+15；敏捷-100,星圖1水瓶座
22週年黃蜂,敏捷+100；閃避+15；防禦-100,星圖1飛魚座
22週年螳螂,攻擊+200；命中+15；抗魔-100,星圖1天蝎座
蛟龍,生命+300；命中+10；敏捷-10,星圖1天馬座
埃及眼鏡蛇,生命+300；回復+20；敏捷-10,星圖1巨蟹座
八岐大蛇扭,生命+300；閃躲+10，敏捷-10,星圖1牡羊座
女帝阿爾卡迪亞,生命+300，敏捷+20，抗中毒+10，抗昏睡+10，抗石化+10，抗酒醉+10，抗混亂+10，抗遺忘+10,蒼月聖學院（118.68）
戰斧阿爾卡迪亞,生命+100，抗中毒+10,星圖2飛魚座
弓箭阿爾卡迪亞,生命+100，抗昏睡+10,星圖2天蝎座
格鬥阿爾卡迪亞,生命+100，抗石化+10,星圖2金牛座
劍士阿爾卡迪亞,生命+100，抗酒醉+10,星圖2天馬座
法師阿爾卡迪亞,生命+100，抗混亂+10,星圖2巨蟹座
咒術阿爾卡迪亞,生命+100，抗遺忘+10,星圖2牡羊座
戰魂阿爾卡迪亞,生命+300，抗中毒+15,星圖3飛魚座
技魂阿爾卡迪亞,生命+300，抗昏睡+15,星圖3天蝎座
鬥魂阿爾卡迪亞,生命+300，抗石化+15,星圖3金牛座
武魂阿爾卡迪亞,生命+300，抗酒醉+15,星圖3天馬座
魔魂阿爾卡迪亞,生命+300，抗混亂+15,星圖3巨蟹座
靈魂阿爾卡迪亞,生命+300，抗遺忘+15,星圖3牡羊座
戰斧大師露比,,精靈城（132.68）
弓術大師露比,,精靈城（122.93）
格鬥大師露比,,娜迦村民宅
槍術大師露比,,萊比聖洞窟10F（21.XX）
巫術大師露比,,
十萬兩招財貓,,
碧空飛龍,生命+300，反擊+10,星圖4天蝎座
深海飛龍,敏捷+60，命中+10,星圖4金牛座
赤天飛龍,攻擊+80，必殺+10,星圖4天馬座
金翼飛龍,精神+80，閃避+10,星圖4巨蟹座
闇龍,反擊+20，命中+20，閃躲+20，生命+250,星辰塔5階入口（57.62）
聖龍,必殺+20，反擊+20，命中+20，生命+250,精靈城（79.11）
寒冰牛鬼領主,攻擊+80，生命+400,索奇亞（719.50）
火焰牛鬼領主,魔力+300，魔攻+50，抗魔+50,白砂村（90.61）
聖劍,精神+50，魔力+300，魔攻+100,精靈城大聖堂入口（21.12）
赤炎劍,閃躲+13，魔力-50,諾爾特島（410.852）
疾風劍,反擊+13，魔力-50,布倫尼亞村（91.95）
裁岩劍,,白砂村（XX.XX）
魔劍,攻擊+100，必殺+20，反擊+20，命中+20,白砂村村長家（14.4）
霧雨劍,命中+13，魔力-50,塔布基爾村（36.58）
漂漂水藍鼠,魔力+200，必殺+10，反擊+10，閃避+10，命中+10， 增加大幅的偷襲率,精靈城（105.68）
精靈女皇,生命+200，魔力+200，魔攻+200，防禦-100,娜迦村（56.60）
黑醬麻薯兔兔,回復+10，生命+150,布倫尼亞村（79.89）
白櫻麻薯兔兔,,白砂村（81.32）
花生麻薯兔兔,生命+100，閃避+5,蒼峰山道3層（20.18）
芋泥麻薯兔兔,,布倫尼亞村（57.53）
紅豆麻薯兔兔,,塔布基爾村（XX.XX）
戰備乾糧,使用後 回復魔力值5000點,白砂村（39.82）
天空元素使,攻擊+30，精神+30，抗中毒+15，抗昏睡+15，抗石化+15，生命+200，魔力+200，魔攻+40,"娜迦村商店（13,4）"
海洋元素使,攻擊+30，精神+30，抗中毒+15，抗昏睡+15，抗石化+15，生命+200，魔力+200，魔攻+40,白砂村民宅(61.97)
烈焰元素使,攻擊+30，精神+30，抗中毒+15，抗昏睡+15，抗石化+15，生命+200，魔力+200，魔攻+40,
鼠王黃冠,精神+40，魔力+400，稱號「無形炫富」,神秘林園（60.46）
飛馬公主,,魔術大學 (82.109)
飛馬王子,,魔術大學 (82.109)
布偶艾菈,,米諾基亞鎮 (64.91)
布偶夏莉,,哥拉爾 (160.82)
布偶凱琪,,哥拉爾 (142.108)
布偶米琪,,阿凱魯法村 (203.211)
布偶紫音,,阿凱魯法村 (168.193)
黑醬麻薯兔兔,回復+10，生命+150,布倫尼亞村（79.89）
修羅歐茲尼克,魔力+200，魔攻+50,白砂村（66.49）
羅剎毆茲那克,魔力+200，攻擊+50,白砂村（80.68）
攜帶型小護士,回復500點生命，100點魔力,布倫尼亞村 醫院 (60.46)
依代,生命+200，魔攻+15,連破戰積分兌換
金怪,生命+50，防禦+40,連破戰積分兌換
棉球,生命+50，魔力+70，防禦+10,連破戰積分兌換
月兔卜樂,,星辰塔積分兌換
銀怪,,星辰塔積分兌換
嚇人箱,,坎那貝拉村（79.56）
