日期,類別,重點標記,開放內容說明,公告,解析寵物數,公告連結
2026-08-19,節慶／活動,,,星河無垠 情義無價 七夕限定召喚浪漫登場！,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17664.html)
2026-08-08,寵物／秘寶,,,關於魔力盲盒（28）概率的公告,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17624.html)
2026-07-29,節慶／活動,,,《魔力寶貝》25週年誕生慶典 正式開啟！,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)
2026-07-24,活動／營運,,,關於手環狐仙手環等級異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17554.html)
2026-07-23,賽事,,,烽煙落定，巔峰加冕！第19屆PVP圓滿收官 抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17544.html)
2026-07-22,寵物／秘寶,,,奧菲兒的盛夏夜之約 雷鳴與野性的交響,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17534.html)
2026-07-22,活動／營運,,,7月23日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17524.html)
2026-07-15,活動／營運,,,7月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17514.html)
2026-07-09,寵物／秘寶,,,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-08,活動／營運,新任務,開放技能任務：太晶之謎,7月9日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17494.html)
2026-07-07,寵物／秘寶,,,湛藍的傳說 潮汐魟王降臨,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html)
2026-07-01,活動／營運,,,7月2日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17474.html)
2026-07-01,地圖／任務,,,家族任務賽 S2 賽季開啟 締造最強家族至高王座,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17464.html)
2026-06-24,職業／系統,,,蔚藍夏日邂逅檸黃飛魟 保底必得限定跟隨符,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17444.html)
2026-06-24,活動／營運,,,6月25日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17434.html)
2026-06-20,賽事,,,關於6月20日PVP爭霸賽小組賽延遲的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17424.html)
2026-06-17,活動／營運,,,6月18日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17414.html)
2026-06-13,賽事,,,【公告】第19期PVP爭霸賽延期舉辦的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17404.html)
2026-06-12,地圖／任務,,,關於御法劍仙三轉任務NPC異常消失的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17394.html)
2026-06-12,活動／營運,,,6月12日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17384.html)
2026-06-11,地圖／任務,,,關於任務月讀之海NPC異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17364.html)
2026-06-11,賽事,,,任務爭霸賽第33季開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17354.html)
2026-06-11,寵物／秘寶,,,月海迷蹤尋仙蹤 保底必得紅翼巨魟,13,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17344.html)
2026-06-09,活動／營運,新任務,開放技能任務：月讀之海,6月11日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17334.html)
2026-06-06,賽事,,,【公告】第19期PVP爭霸賽小組賽延期舉辦公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17314.html)
2026-06-04,節慶／活動,,,五週年第一彈的「勇者秘寶十連抽」活動的點券全額返還發放完畢通知,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17304.html)
2026-06-04,寵物／秘寶,,,黑暗中的愛之極光 百合與白銀的永恆誓約,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-03,活動／營運,,,6月4日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17274.html)
2026-06-02,賽事,,,【修復公告】PVP爭霸賽頁面異常修復說明,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17174.html)
2026-06-01,賽事,,,PVP爭霸賽第19期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17114.html)
2026-06-01,賽事,,,「家族任務爭霸賽」延期與獎勵調整的通知,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17104.html)
2026-05-27,節慶／活動,,,五週年收官獻禮 訂製屬於你的心愛陪伴,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html)
2026-05-27,活動／營運,,,5月28日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17084.html)
2026-05-21,地圖／任務,,,《魔力寶貝：永恆初心》五週年活動第四彈 王者道場試煉開啟,12,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17074.html)
2026-05-20,活動／營運,,,5月21日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17064.html)
2026-05-20,寵物／秘寶,,,怦然心動這一刻，摯愛喵比特只為你而生,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17054.html)
2026-05-14,寵物／秘寶,,,關於寵物「影」屬性顯示異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17044.html)
2026-05-13,節慶／活動,,,五週年慶第三彈 黄金迷宫之雷影,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html)
2026-05-13,活動／營運,,,5月14日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17024.html)
2026-05-08,賽事,,,PVP爭霸賽第19期開啟預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16984.html)
2026-05-08,賽事,,,關於第19期PVP爭霸賽報名及賽程延期調整的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16974.html)
2026-05-06,節慶／活動,,,週年保底大獎翻倍 法蘭巡遊領好禮,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16954.html)
2026-05-06,活動／營運,,,5月7日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16944.html)
2026-05-04,寵物／秘寶,,,跨越凡塵的蛻變，凜冬巨龍破冰降世,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html)
2026-05-01,寵物／秘寶,,,關於魔力盲盒（27）概率的公告,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16924.html)
2026-04-30,賽事,,,任務爭霸賽第32季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16914.html)
2026-04-29,節慶／活動,,,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,14,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
2026-04-29,活動／營運,新職業,開放職業：御法劍仙,4月30日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16884.html)
2026-04-23,活動／營運,,,4月23日全服補償公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16854.html)
2026-04-22,寵物／秘寶,,,龍吟九天風雲起 魚躍櫻海夢染春末,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16844.html)
2026-04-22,活動／營運,,,4月23日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16834.html)
2026-04-16,賽事,,,PVP爭霸賽第18期抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16824.html)
2026-04-15,活動／營運,,,4月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16814.html)
2026-04-10,活動／營運,,,關於網頁「家族大廳」顯示異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16804.html)
2026-04-09,寵物／秘寶,,,神櫻綻放 春日女神限定召喚,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16794.html)
2026-04-08,活動／營運,,,4月9日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16784.html)
2026-04-03,活動／營運,,,關於網頁活動「新年慶典」領取獎勵延期的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16774.html)
2026-04-01,寵物／秘寶,,,聖光破曉 虛空之龍震撼來襲,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html)
2026-04-01,活動／營運,,,4月3日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16754.html)
2026-04-01,活動／營運,,,關於網頁家族暫時關閉的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16744.html)
2026-03-28,賽事,,,關於PVP爭霸賽第18期8進4重賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16734.html)
2026-03-25,寵物／秘寶,,,最強家族招募大作戰 貪慾牛魔限時來襲,19,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
2026-03-25,活動／營運,,,3月26日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16714.html)
2026-03-19,賽事,,,任務爭霸賽第31季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16704.html)
2026-03-18,活動／營運,,,3月19日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16694.html)
2026-03-12,職業／系統,,,連破試煉迴廊 傳承寵物珍貴技能,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16684.html)
2026-03-11,活動／營運,,,3月12日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16674.html)
2026-03-09,賽事,,,PVP爭霸賽第18期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16664.html)
2026-03-04,活動／營運,,,關於網頁活動「新年慶典」延期的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16654.html)
2026-03-03,寵物／秘寶,,,雪之冰華傳說 通往神域的覺醒門扉,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html)
2026-03-02,賽事,,,PVP爭霸賽第18期開啟預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16634.html)
2026-02-27,活動／營運,,,關於NPC「新年使者」異常關閉的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16624.html)
2026-02-26,節慶／活動,,,元宵兄弟情 法蘭共度團圓夜,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16614.html)
2026-02-25,活動／營運,,,2月26日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16604.html)
2026-02-24,活動／營運,,,官網站內信無法領取獎勵的修復公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16594.html)
2026-02-24,職業／系統,,,寵物技能諸刃LV12導師顯示異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16584.html)
2026-02-22,活動／營運,,,官網站內信領取獎勵異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16574.html)
2026-02-14,節慶／活動,,,馬年新春賀喜 祝福領好禮,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16564.html)
2026-02-12,寵物／秘寶,,,光之指引救贖之子 保底必得馬年限定寵物,17,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12,賽事,,,任務爭霸賽第30期開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16544.html)
2026-02-11,活動／營運,新任務,開放主線任務：救贖之子,2月12日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16534.html)
2026-02-04,活動／營運,,,「啟動器」版本更新指引,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_16514.html)
2026-02-04,寵物／秘寶,,,蛇舞寶箱大派對 限定好禮全集結,15,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16524.html)
2026-02-04,活動／營運,,,2月5日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16504.html)
2026-02-02,寵物／秘寶,,,累計消費活動上線,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16494.html)
2026-01-30,寵物／秘寶,,,駕馭禁忌之力 簽訂噬歲時序的傳說,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16484.html)
2026-01-30,活動／營運,,,2月2日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16474.html)
2026-01-28,活動／營運,,,1月29日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16464.html)
2026-01-23,活動／營運,,,NPC「奔旦一族」異常關閉的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16454.html)
2026-01-21,地圖／任務,,,黃金迷宮與神龍的傳說 保底必得限定黃金獸,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html)
2026-01-21,活動／營運,,,1月22日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16434.html)
2026-01-14,活動／營運,,,1月15日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16424.html)
2026-01-12,節慶／活動,,,關於修復活動聖誕樹異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16414.html)
2026-01-08,寵物／秘寶,,,春日同行 亞紀子與喵 迎春特典十連六折優惠,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16404.html)
2026-01-06,活動／營運,,,1月8日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16394.html)
2026-01-04,賽事,,,PVP爭霸賽第17期抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16384.html)
2026-01-01,寵物／秘寶,,,關於寵物「耶克爾」檔次異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16374.html)
2025-12-31,寵物／秘寶,,,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2025-12-31,活動／營運,,,1月1日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16354.html)
2025-12-24,寵物／秘寶,,,失蹤的馴鹿大作戰 與搗蛋大王的約定,16,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-24,活動／營運,,,12月25日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16334.html)
2025-12-17,活動／營運,,,12月18日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16324.html)
2025-12-12,寵物／秘寶,,,虛無暗淵之主 沉睡的紫獄龍王,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16314.html)
2025-12-12,活動／營運,,,12月12日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16304.html)
2025-12-11,活動／營運,,,關於女媧重石圖像顯示異常的問題,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16294.html)
2025-12-10,節慶／活動,,,惡龍大亂鬥 拯救聖誕火雞,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16284.html)
2025-12-10,活動／營運,,,12月11日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16274.html)
2025-12-05,節慶／活動,,,法蘭聖誕序曲 暖冬歸途獻豪禮,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16264.html)
2025-12-03,活動／營運,,,12月5日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16254.html)
2025-11-27,寵物／秘寶,,,埃爾美達樹之淚 決戰淺域龍神,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16244.html)
2025-11-26,活動／營運,新任務,開放家族任務：家族水晶鑄造,11月27日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16234.html)
2025-11-20,地圖／任務,,,玩轉小任務 轉盤樂翻天,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16224.html)
2025-11-19,活動／營運,,,11月20日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16214.html)
2025-11-17,賽事,,,PVP爭霸賽第17期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16204.html)
2025-11-13,寵物／秘寶,,,帝國傳奇現世 穿越千年的寶藏,11,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16194.html)
2025-11-12,活動／營運,,,11月13日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16184.html)
2025-11-10,賽事,,,任務爭霸賽第28季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16174.html)
2025-11-10,寵物／秘寶,,,跨越死亡冥域的契約 掌控不朽龍王之力,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16164.html)
2025-11-10,活動／營運,,,11月11日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16154.html)
2025-11-10,賽事,,,PVP爭霸賽第17期開啟預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16144.html)
2025-11-05,活動／營運,,,11月6日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16134.html)
2025-10-29,節慶／活動,,,勇闖寵物傳承聖殿 狂歡萬聖驚魂夜,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16124.html)
2025-10-29,活動／營運,新任務,開放寵物技能任務：寵物技能聖殿,10月30日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16114.html)
2025-10-22,活動／營運,,,10月23日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16094.html)
2025-10-21,活動／營運,,,關於魔力寶貝部分玩家登錄異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16084.html)
2025-10-20,賽事,,,PVP爭霸賽第16期抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16074.html)
2025-10-15,寵物／秘寶,,,王國遠征令啟程 解鎖寵物傳承之力,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16064.html)
2025-10-15,活動／營運,新任務,開放寵物技能前置任務：王國遠征軍；開放技能任務：心眼,10月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16054.html)
2025-10-10,寵物／秘寶,,,改造狂想曲 超越極限的雙重詠嘆,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16044.html)
2025-10-09,活動／營運,,,10月10日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16034.html)
2025-10-08,活動／營運,,,10月9日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16024.html)
2025-10-07,地圖／任務,,,關於任務「家族聖獸試煉」異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16014.html)
2025-10-01,地圖／任務,,,中秋月宮遇奇緣 嫦娥邀君解危局,10,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16004.html)
2025-09-30,活動／營運,,,10月2日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15984.html)
2025-09-26,活動／營運,,,9月26日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15974.html)
2025-09-25,活動／營運,,,關於9月25日的優化公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15964.html)
2025-09-24,活動／營運,,,9月25日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15944.html)
2025-09-22,賽事,,,關於PVP爭霸賽第16期重新開賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15924.html)
2025-09-20,賽事,,,關於PVP爭霸賽淘汰賽延期開賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15914.html)
2025-09-18,賽事,,,關於PVP爭霸賽第14、15期冠軍寵物屬性異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15904.html)
2025-09-18,活動／營運,,,9月18日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15894.html)
2025-09-18,職業／系統,,,關於技能連擊異常消失的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15884.html)
2025-09-17,寵物／秘寶,,,孵化家族至尊聖獸 海洋使徒的四方之契,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15874.html)
2025-09-17,活動／營運,新任務,開放任務：家族聖獸試煉,9月18日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15824.html)
2025-09-09,賽事,,,任務爭霸賽第27季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15814.html)
2025-09-09,寵物／秘寶,,,聖紋啟示錄 龍與騎士的誓約,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15804.html)
2025-09-08,活動／營運,,,9月9日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15794.html)
2025-09-04,寵物／秘寶,,,中元幽冥之瞳 骷髏王的王權迴響,11,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15784.html)
2025-09-03,活動／營運,,,9月4日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15774.html)
2025-08-28,賽事,,,PVP爭霸賽第16期開啟預告,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15764.html)
2025-08-28,節慶／活動,,,商城上架七夕特惠道具的公告,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15754.html)
2025-08-27,活動／營運,,,8月28日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15744.html)
2025-08-21,節慶／活動,,,七夕尋姻緣相思祈願箋 首日77折&77抽必得節日限定寵物,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15734.html)
2025-08-20,活動／營運,,,8月21日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15724.html)
2025-08-13,活動／營運,,,8月14日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15714.html)
2025-08-07,寵物／秘寶,,,血染千魂妖刀 白焰的救贖對決,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15704.html)
2025-08-06,地圖／任務,,,誕生24週年慶最終彈 勇者道場激鬥奪寶箱,12,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15694.html)
2025-08-06,活動／營運,,,8月7日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15684.html)
2025-07-30,活動／營運,,,7月31日不維護停機公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15674.html)
2025-07-24,節慶／活動,,,週年慶臨時維護補償公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15664.html)
2025-07-24,活動／營運,,,7月24日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15644.html)
2025-07-24,節慶／活動,,,《魔力寶貝》24週年誕生慶典 正式展開！,13,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15634.html)
2025-07-23,活動／營運,,,7月24日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15614.html)
2025-07-16,活動／營運,,,7月17日不維護停機公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15604.html)
2025-07-10,寵物／秘寶,,,盛夏之約 少女與人魚的夏日絮語,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15594.html)
2025-07-09,活動／營運,,,7月10日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15584.html)
2025-07-03,寵物／秘寶,,,地獄之門將啟！速奪紅魔寶箱，化身閻魔之主！,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15574.html)
2025-07-02,活動／營運,,,7月3日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15564.html)
2025-06-25,寵物／秘寶,,,黑潮巨獸謎蹤 深海龍王現世,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15554.html)
2025-06-25,活動／營運,新任務,開放任務：歎息之海,6月26日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15544.html)
2025-06-25,活動／營運,,,6月25日維護完成公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15534.html)
