日期,類別,重點標記,開放內容說明,公告,首次公開寵物,公告連結
2026-08-19,節慶／活動,,,星河無垠 情義無價 七夕限定召喚浪漫登場！,織女星、牛郎,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17664.html)
2026-08-08,寵物／秘寶,,,關於魔力盲盒（28）概率的公告,黃金虎人,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17624.html)
2026-07-29,節慶／活動,,,《魔力寶貝》25週年誕生慶典 正式開啟！,25週年慶地龍蜥、25週年慶寶石鼠、25週年慶水藍鼠、25週年慶熊熊、永恆蛋糕、白依、白依試做體,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)
2026-07-23,賽事,,,烽煙落定，巔峰加冕！第19屆PVP圓滿收官 抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17544.html)
2026-07-22,寵物／秘寶,,,奧菲兒的盛夏夜之約 雷鳴與野性的交響,奔雷獸、奧菲兒、水雷猴,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17534.html)
2026-07-09,寵物／秘寶,,,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,太晶沼澤龍蝦、太晶龍蝦霸王、青銅魚怪、黑潮龍蝦,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-08,地圖／任務,新任務,開放技能任務：太晶之謎,7月9日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17494.html)
2026-07-07,寵物／秘寶,,,湛藍的傳說 潮汐魟王降臨,湛藍飛魟、潮汐魟王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html)
2026-07-01,地圖／任務,,,家族任務賽 S2 賽季開啟 締造最強家族至高王座,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17464.html)
2026-06-24,職業／系統,,,蔚藍夏日邂逅檸黃飛魟 保底必得限定跟隨符,夕陽海葵、天青等煙魚、檸黃飛魟,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17444.html)
2026-06-13,賽事,,,【公告】第19期PVP爭霸賽延期舉辦的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17404.html)
2026-06-11,寵物／秘寶,,,月海迷蹤尋仙蹤 保底必得紅翼巨魟,拉扎紅魟、紅翼巨魟、紫海龍舟,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17344.html)
2026-06-11,賽事,,,任務爭霸賽第33季開啟,狂狐魔衛、狐丸,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17354.html)
2026-06-09,地圖／任務,新任務,開放技能任務：月讀之海,6月11日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17334.html)
2026-06-06,賽事,,,【公告】第19期PVP爭霸賽小組賽延期舉辦公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17314.html)
2026-06-04,寵物／秘寶,,,黑暗中的愛之極光 百合與白銀的永恆誓約,白銀格鬥士、白銀聖鬥士、百合聖騎士、百合騎士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-04,節慶／活動,,,五週年第一彈的「勇者秘寶十連抽」活動的點券全額返還發放完畢通知,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17304.html)
2026-06-01,賽事,,,PVP爭霸賽第19期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17114.html)
2026-05-27,節慶／活動,,,五週年收官獻禮 訂製屬於你的心愛陪伴,御法神神樂、青翼獵隼,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html)
2026-05-21,地圖／任務,,,《魔力寶貝：永恆初心》五週年活動第四彈 王者道場試煉開啟,使徒小鬧鐘、火之使徒,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17074.html)
2026-05-20,寵物／秘寶,,,怦然心動這一刻，摯愛喵比特只為你而生,摯愛喵比特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17054.html)
2026-05-13,節慶／活動,,,五週年慶第三彈 黄金迷宫之雷影,五週年黃蜂、影、御魂雷影、果栗鼠、鬼泣雷影,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html)
2026-05-08,賽事,,,PVP爭霸賽第19期開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16984.html)
2026-05-06,節慶／活動,,,週年保底大獎翻倍 法蘭巡遊領好禮,蕾米兒、黑潮水母,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16954.html)
2026-05-04,寵物／秘寶,,,跨越凡塵的蛻變，凜冬巨龍破冰降世,凜冬巨龍、凜冬龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html)
2026-05-01,寵物／秘寶,,,關於魔力盲盒（27）概率的公告,金牛座,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16924.html)
2026-04-30,賽事,,,任務爭霸賽第32季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16914.html)
2026-04-29,節慶／活動,,,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,初心花妖、天叢雲神樂、寶貝蛋糕、斑斑貘、永恆花仙、神樂、魔力蛋糕,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
2026-04-29,職業／系統,新職業,開放職業：御法劍仙,4月30日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16884.html)
2026-04-22,寵物／秘寶,,,龍吟九天風雲起 魚躍櫻海夢染春末,米拉魚人、羞羞倉鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16844.html)
2026-04-16,賽事,,,PVP爭霸賽第18期抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16824.html)
2026-04-09,寵物／秘寶,,,神櫻綻放 春日女神限定召喚,天叢雲櫻、櫻、花季倉鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16794.html)
2026-04-03,活動／營運,,,關於網頁活動「新年慶典」領取獎勵延期的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16774.html)
2026-04-01,寵物／秘寶,,,聖光破曉 虛空之龍震撼來襲,梅莉珊卓、虛空魔龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html)
2026-03-25,寵物／秘寶,,,最強家族招募大作戰 貪慾牛魔限時來襲,喵喵寶寶I、喵喵寶寶II、喵喵寶寶III、喵喵寶寶IV、巴力寶寶I、巴力寶寶II、巴力寶寶III、巴力寶寶IV、貪慾牛魔、賽拉芬寶寶I、賽拉芬寶寶II、賽拉芬寶寶III、賽拉芬寶寶IV、魔官遊獄石,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
2026-03-19,賽事,,,任務爭霸賽第31季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16704.html)
2026-03-12,職業／系統,,,連破試煉迴廊 傳承寵物珍貴技能,梅利莎、異型火蜂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16684.html)
2026-03-09,賽事,,,PVP爭霸賽第18期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16664.html)
2026-03-04,活動／營運,,,關於網頁活動「新年慶典」延期的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16654.html)
2026-03-03,寵物／秘寶,,,雪之冰華傳說 通往神域的覺醒門扉,天叢雲雪、雪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html)
2026-03-02,賽事,,,PVP爭霸賽第18期開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16634.html)
2026-02-26,節慶／活動,,,元宵兄弟情 法蘭共度團圓夜,殺龍之歐茲尼克、熱砂之歐茲那克、糯糯靴靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16614.html)
2026-02-14,節慶／活動,,,馬年新春賀喜 祝福領好禮,愛情氣球,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16564.html)
2026-02-12,寵物／秘寶,,,光之指引救贖之子 保底必得馬年限定寵物,噗栗君、噗栗大王、噗栗桑、噗栗醬、天叢雲舞、小錦人馬、改造冰原獨角獸、改造布偶夏莉、改造露比、改造飛馬公主、爆蛋嚕嚕、舞、赤血飛馬、露比、青墨海馬、鞭炮靴怪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
