活動日期,公告日,活動／期別,NPC,所需寵物,所需道具,獲得寵物,合成樹,入手方法,公告連結
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,太晶碎片研究員(費德奧亞海盆 71.130),任意等級的龍蝦霸王,"太晶之源碎片*500 金幣100,000G",太晶龍蝦霸王召喚書（概率80%） 太晶之源*1（概率20%）,"任意等級的龍蝦霸王 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶龍蝦霸王召喚書（概率80%） / └ 太晶之源×1（概率20%）",所需寵物：公告未另載；所需道具：完成公告所述任務取得：太晶之源碎片,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,太晶碎片研究員(費德奧亞海盆 71.130),任意等級的沼澤龍蝦,"太晶之源碎片*500 金幣100,000G",太晶沼澤龍蝦召喚書（概率80%） 太晶之源*1（概率20%),"任意等級的沼澤龍蝦 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶沼澤龍蝦召喚書（概率80%） / └ 太晶之源×1（概率20%)","所需寵物：公告未另載；所需道具：完成公告所述任務取得：太晶之源碎片、前置合成：任意等級的龍蝦霸王 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶龍蝦霸王召喚書（概率80%） / └ 太晶之源×1（概率20%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,太晶研究員(費德奧亞海盆 71.130),任意等級的太晶龍蝦霸王,"太晶之源*10 金幣100,000G",黑潮龍蝦召喚書（概率5%） 太晶龍蝦霸王召喚書（概率95%）,"任意等級的太晶龍蝦霸王 ＋ 太晶之源×10 ＋ 金幣100,000G ＝ / ├ 黑潮龍蝦召喚書（概率5%） / └ 太晶龍蝦霸王召喚書（概率95%）","所需寵物：前置合成：任意等級的龍蝦霸王 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶龍蝦霸王召喚書（概率80%） / └ 太晶之源×1（概率20%）；所需道具：前置合成：任意等級的龍蝦霸王 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶龍蝦霸王召喚書（概率80%） / └ 太晶之源×1（概率20%）、前置合成：任意等級的沼澤龍蝦 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶沼澤龍蝦召喚書（概率80%） / └ 太晶之源×1（概率20%)",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,太晶研究員(費德奧亞海盆 71.130),任意等級的太晶沼澤龍蝦,"太晶之源*10 金幣100,000G",黑潮龍蝦召喚書（概率1%） 太晶沼澤龍蝦召喚書（概率99%）,"任意等級的太晶沼澤龍蝦 ＋ 太晶之源×10 ＋ 金幣100,000G ＝ / ├ 黑潮龍蝦召喚書（概率1%） / └ 太晶沼澤龍蝦召喚書（概率99%）","所需寵物：前置合成：任意等級的沼澤龍蝦 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶沼澤龍蝦召喚書（概率80%） / └ 太晶之源×1（概率20%)；所需道具：前置合成：任意等級的龍蝦霸王 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶龍蝦霸王召喚書（概率80%） / └ 太晶之源×1（概率20%）、前置合成：任意等級的沼澤龍蝦 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶沼澤龍蝦召喚書（概率80%） / └ 太晶之源×1（概率20%)",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-07～2026-08-08,2026-07-07,湛藍的傳說 潮汐魟王降臨,NPC：潮汐祭司涅瑞斯（法蘭城魔法大學研究所 26.44）,Lv1的潮汐魟王,潮汐王冠*1,Lv1的潮汐魟王,Lv1的潮汐魟王 ＋ 潮汐王冠×1 ＝ Lv1的潮汐魟王,所需寵物：當期寶盒／活動抽取：潮汐魟王召喚書（0.1%）、向 NPC：引導者卡西烏斯（法蘭城魔法大學研究所 25.35） 交付 Lv1的湛藍飛魟＋湛藍之淚*188 取得：潮汐魟王召喚書(概率10%)、前置合成：Lv1的湛藍飛魟 ＋ 潮汐王冠×3 ＝ Lv1的潮汐魟王；所需道具：向 NPC：引導者卡西烏斯（法蘭城魔法大學研究所 25.35） 交付 Lv1的湛藍飛魟＋湛藍之淚*188 取得：潮汐王冠(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html)
2026-07-07～2026-08-08,2026-07-07,湛藍的傳說 潮汐魟王降臨,NPC：潮汐祭司涅瑞斯（法蘭城魔法大學研究所 26.44）,Lv1的湛藍飛魟,潮汐王冠*3,Lv1的潮汐魟王,Lv1的湛藍飛魟 ＋ 潮汐王冠×3 ＝ Lv1的潮汐魟王,所需寵物：當期寶盒／活動抽取：湛藍飛魟召喚書（1%）；所需道具：向 NPC：引導者卡西烏斯（法蘭城魔法大學研究所 25.35） 交付 Lv1的湛藍飛魟＋湛藍之淚*188 取得：潮汐王冠(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html)
2026-06-11～2026-07-16,2026-06-11,任務爭霸賽第33季開啟,瘋狂博士(法蘭城競技場 46.51）,Lv1的狐丸,"狐族設計圖ABCD 金幣100,000G",Lv1的狐丸,"Lv1的狐丸 ＋ 狐族設計圖ABCD ＋ 金幣100,000G ＝ Lv1的狐丸",所需寵物：當期寶盒／活動抽取：狐丸召喚書（2%）；所需道具：當期寶盒／活動抽取：狐族設計圖ABCD（23%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17354.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,NPC：天羽祭司（魔法大學研究所 30.7）,Lv1的百合騎士,純白誓約之冕*3,Lv1的百合聖騎士,Lv1的百合騎士 ＋ 純白誓約之冕×3 ＝ Lv1的百合聖騎士,所需寵物：當期寶盒／活動抽取：百合騎士召喚書（1%）；所需道具：向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的百合騎士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）、向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的白銀格鬥士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,NPC：天羽祭司（魔法大學研究所 30.7）,Lv1的百合聖騎士,純白誓約之冕*1,Lv1的百合聖騎士,Lv1的百合聖騎士 ＋ 純白誓約之冕×1 ＝ Lv1的百合聖騎士,所需寵物：當期寶盒／活動抽取：百合聖騎士召喚書（0.1%）、向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的百合騎士＋白銀百合印記*188 取得：百合聖騎士召喚書（概率10%）、前置合成：Lv1的百合騎士 ＋ 純白誓約之冕×3 ＝ Lv1的百合聖騎士；所需道具：向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的百合騎士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）、向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的白銀格鬥士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,NPC：天羽祭司（魔法大學研究所 30.7）,Lv1的白銀聖鬥士,純白誓約之冕*1,Lv1的白銀聖鬥士,Lv1的白銀聖鬥士 ＋ 純白誓約之冕×1 ＝ Lv1的白銀聖鬥士,所需寵物：當期寶盒／活動抽取：白銀聖鬥士召喚書（0.1%）、向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的白銀格鬥士＋白銀百合印記*188 取得：白銀聖鬥士召喚書（概率10%）、前置合成：Lv1的白銀格鬥士 ＋ 純白誓約之冕×3 ＝ Lv1的白銀聖鬥士；所需道具：向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的百合騎士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）、向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的白銀格鬥士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,NPC：天羽祭司（魔法大學研究所 30.7）,Lv1的白銀格鬥士,純白誓約之冕*3,Lv1的白銀聖鬥士,Lv1的白銀格鬥士 ＋ 純白誓約之冕×3 ＝ Lv1的白銀聖鬥士,所需寵物：當期寶盒／活動抽取：白銀格鬥士召喚書（1%）；所需道具：向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的百合騎士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）、向 NPC：天羽守望者（魔法大學研究所 31.8） 交付 Lv1的白銀格鬥士＋白銀百合印記*188 取得：純白誓約之冕（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-05-28～2026-06-11,2026-05-27,五週年收官獻禮 訂製屬於你的心愛陪伴,大法師安蕾雅（艾爾瑪城元素師家 216.188）,Lv1的神樂,"神樂之聖角*1 閃耀變異之源*10 50,000G金幣",Lv1的神樂 概率98% Lv1的天叢雲神樂 概率2%,"Lv1的神樂 ＋ 神樂之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的神樂（概率98%） / └ Lv1的天叢雲神樂（概率2%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html)
2026-05-28～2026-06-11,2026-05-27,五週年收官獻禮 訂製屬於你的心愛陪伴,大法師安蕾雅（艾爾瑪城元素師家 216.188）,Lv1的天叢雲神樂,"神樂之聖角*1 閃耀變異之源*10 50,000G金幣",Lv1的天叢雲神樂 概率70% Lv1的御法神神樂 概率30%,"Lv1的天叢雲神樂 ＋ 神樂之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的天叢雲神樂（概率70%） / └ Lv1的御法神神樂（概率30%）",所需寵物：向 馬年好運兌換員（法蘭城冒險者旅館 30.9） 以 神樂之聖角*50 兌換：天叢雲神樂召喚書；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html)
2026-05-21～2026-05-28,2026-05-21,《魔力寶貝：永恆初心》五週年活動第四彈 王者道場試煉開啟,大法師安蕾雅(艾爾瑪城元素師家 216.188）,任意等級的的烈焰元素使,火元素之卵*1 閃耀變異之源*10 50000G金幣,Lv1的烈焰元素使 概率95% Lv1的火之使徒 概率5%,"任意等級的的烈焰元素使 ＋ 火元素之卵×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的烈焰元素使（概率95%） / └ Lv1的火之使徒（概率5%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17074.html)
2026-05-14～2026-06-04,2026-05-13,五週年慶第三彈 黄金迷宫之雷影,大法師安蕾雅（艾爾瑪城元素師家 216.188）,Lv1的影,"雷影之聖角*1 閃耀變異之源*10 50,000G金幣",Lv1的影 概率97% Lv1的御魂雷影 概率2% Lv1的鬼泣雷影 概率1%,"Lv1的影 ＋ 雷影之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的影（概率97%） / ├ Lv1的御魂雷影（概率2%） / └ Lv1的鬼泣雷影（概率1%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html)
2026-05-07～2026-05-14,2026-05-06,週年保底大獎翻倍 法蘭巡遊領好禮,寵物改造研究員（法蘭城寵物研究大廳 14.8）,不需要,蕾米兒設計圖A*1 蕾米兒設計圖B*1 蕾米兒設計圖C*1 蕾米兒設計圖D*1 蕾米兒設計圖E*1 50000G金幣,LV1蕾米兒,"蕾米兒設計圖A×1 ＋ 蕾米兒設計圖B×1 ＋ 蕾米兒設計圖C×1 ＋ 蕾米兒設計圖D×1 ＋ 蕾米兒設計圖E×1 ＋ 金幣50,000G ＝ LV1蕾米兒",所需寵物：不需要；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16954.html)
2026-05-05～2026-06-06,2026-05-04,跨越凡塵的蛻變，凜冬巨龍破冰降世,NPC：凜冬大祭司梅薇絲（法蘭城魔法大學研究所 43.49）,Lv1的虛空魔龍,凜冬之怒*1,Lv1的凜冬龍王,Lv1的虛空魔龍 ＋ 凜冬之怒×1 ＝ Lv1的凜冬龍王,所需寵物：公告未另載；所需道具：向 NPC：凜冬祭司維瑟瑞克（法蘭城魔法大學研究所 44.50） 交付 Lv1的凜冬巨龍＋極寒龍晶*188 取得：凜冬之怒(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html)
2026-05-05～2026-06-06,2026-05-04,跨越凡塵的蛻變，凜冬巨龍破冰降世,NPC：凜冬大祭司梅薇絲（法蘭城魔法大學研究所 43.49）,Lv1的凜冬巨龍,凜冬之怒*3,Lv1的凜冬龍王,Lv1的凜冬巨龍 ＋ 凜冬之怒×3 ＝ Lv1的凜冬龍王,所需寵物：當期寶盒／活動抽取：凜冬巨龍召喚書（1%）；所需道具：向 NPC：凜冬祭司維瑟瑞克（法蘭城魔法大學研究所 44.50） 交付 Lv1的凜冬巨龍＋極寒龍晶*188 取得：凜冬之怒(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html)
2026-04-30～2026-05-14,2026-04-29,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,大法師安蕾雅（艾爾瑪城元素師家 216.188）,Lv1的神樂,"神樂之聖角*1 閃耀變異之源*10 50,000G金幣",Lv1的神樂 概率98% Lv1的天叢雲神樂 概率2%,"Lv1的神樂 ＋ 神樂之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的神樂（概率98%） / └ Lv1的天叢雲神樂（概率2%）",所需寵物：公告所列任務獎品輪換：神樂召喚書（23%）；所需道具：公告所列任務獎品輪換：神樂之聖角（23%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
