名字,屬性,概率
完全結晶體的聖龍寶石,武器鑲嵌：命中+10，必殺-10；防具鑲嵌：命中+10，敏捷-30，防禦-10%,0.5%
接近完美的聖龍寶石,武器鑲嵌：命中+9，必殺-9；防具鑲嵌：命中+9，敏捷-27，防禦-9%,1%
非常優良的聖龍寶石,武器鑲嵌：命中+8，必殺-8；防具鑲嵌：命中+8，敏捷-24，防禦-8%,2%
優良的聖龍寶石,武器鑲嵌：命中+7，必殺-7；防具鑲嵌：命中+7，敏捷-21，防禦-7%,4%
還不錯的聖龍寶石,武器鑲嵌：命中+6，必殺-6；防具鑲嵌：命中+6，敏捷-18，防禦-6%,8%
聖龍寶石,武器鑲嵌：命中+5，必殺-5；防具鑲嵌：命中+5，敏捷-15，防禦-5%,16%
有點破損的聖龍寶石,武器鑲嵌：命中+4，必殺-4；防具鑲嵌：命中+4，敏捷-12，防禦-4%,17%
破破的聖龍寶石,武器鑲嵌：命中+3，必殺-3；防具鑲嵌：命中+3，敏捷-9，防禦-3%,17%
破損的很嚴重的聖龍寶石,武器鑲嵌：命中+2，必殺-2；防具鑲嵌：命中+2，敏捷-6，防禦-2%,17%
聖龍寶石的碎片,武器鑲嵌：命中+1，必殺-1；防具鑲嵌：命中+1，敏捷-3，防禦-1%,17.5%
