名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,公告日,公告連結,image,任務用途
奧菲兒,人形系,43,6,6,20,50,9,125,地10,超強石化魔法LV10、強力恢復魔法LV10、超強補血魔法LV7、潔淨魔法LV6,2026-07-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17534.html),/img/專屬寵物/奧菲兒.gif,
奔雷獸,野獸系,35,46,10,27,7,8,125,風10,突襲之舞LV12、裂空斬LV10、諸刃LV13,2026-07-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17534.html),/img/專屬寵物/奔雷獸.gif,
水雷猴,野獸系,26,19,21,18,39,8,123,地1水9,混亂衝擊波LV4,2026-07-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17534.html),/img/專屬寵物/水雷猴.gif,
黑潮龍蝦,昆蟲系,50,36,9,21,9,8,125,火10,氣功彈LV4、連擊LV11、裂空斬LV10,2026-07-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html),/img/專屬寵物/黑潮龍蝦.gif,
太晶龍蝦霸王,昆蟲系,35,50,14,20,6,8,125,火9風1,氣功彈LV2、恢復魔法LV6、攻擊反彈LV5,2026-07-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html),/img/專屬寵物/太晶龍蝦霸王.gif,
太晶沼澤龍蝦,昆蟲系,29,47,26,14,7,8,123,地8水2,潛龍殺LV11,2026-07-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html),/img/專屬寵物/太晶沼澤龍蝦.gif,
青銅魚怪,金屬系,38,39,23,10,13,8,123,風1地9,連擊LV10,2026-07-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html),/img/專屬寵物/青銅魚怪.gif,
潮汐魟王,飛行系,47,47,8,15,8,8,125,水10,裂空斬LV10、乾坤一擲LV13、潛龍殺LV12,2026-07-07,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html),/img/專屬寵物/潮汐魟王.gif,
湛藍飛魟,飛行系,40,40,12,19,12,8,125,水7火3,乾坤一擲LV11、裂空斬LV10,2026-07-07,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html),/img/專屬寵物/潮汐魟王.gif,
檸黃飛魟,飛行系,46,46,10,17,6,8,125,風10,氣功彈LV4、連擊LV11、諸刃LV11,2026-06-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17444.html),/img/專屬寵物/檸黃飛魟.gif,
天青等煙魚,金屬系,39,44,22,10,10,8,125,風1地9,諸刃LV11、明鏡止水LV11,2026-06-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17444.html),/img/專屬寵物/天青等煙魚.gif,
夕陽海葵,植物系,29,10,17,22,45,8,125,火8風2,混亂衝擊波LV4,2026-06-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17444.html),/img/專屬寵物/夕陽海葵.gif,
狐丸,人形系,46,41,9,20,9,8,125,火8風2,裂空斬LV10、護衛LV11、諸刃LV12 (技能個數隨機),2026-06-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17354.html),/img/專屬寵物/狐丸.gif,
狂狐魔衛,金屬系,37,39,25,12,12,8,125,風2地8,潛龍殺LV10,2026-06-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17354.html),/img/專屬寵物/狂狐魔衛.gif,
紅翼巨魟,飛行系,34,6,20,20,45,8,125,火10,強力補血魔法LV7、超強昏睡魔法LV10、混亂衝擊波LV10、昏睡攻擊LV12,2026-06-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17344.html),/img/專屬寵物/紅翼巨魟.gif,[月海迷宮](/任務攻略/練功專區/月海迷宮) 與海底行者卡薩對話可傳送至迷宮頂樓
