名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,image,任務用途,新聞來源
僵屍,不死系,,,,,,,,,,,,mlbb_info_4443.txt
勝利女神,飛行系,34,6,16,24,45,,125,地2風8,攻擊、防禦、潔淨魔法LV3,,,mlbb_news_10114.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦、潛龍殺Lv3,,,mlbb_news_10114.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_10114.txt
炎魔龍骨,不死系,17,6,12,48,42,,125,水5火5,攻擊、防禦、超強石化魔法Lv5、強力混亂魔法Lv7,,,mlbb_news_14144.txt
萬聖鬼斧,不死系,31,48,13,25,8,,125,風10,攻擊、防禦、裂空斬Lv10、諸刃Lv11,,,mlbb_news_14144.txt
萬聖食屍鬼,不死系,41,37,16,21,10,,125,火7風3,攻擊、防禦、乾坤一擲Lv11、昏睡攻擊Lv11,,,mlbb_news_14144.txt
假面騎士,不死系,20,40,17,40,8,,125,地10,攻擊、防禦、乾坤一擲Lv11、石化攻擊Lv11,,,mlbb_news_14144.txt
萬聖假面,不死系,35,10,16,19,45,,125,地9水1,攻擊、防禦、攻擊吸收Lv5、強力石化魔法Lv5,,,mlbb_news_14144.txt
改造鐮刀魔,不死系,38,10,17,16,44,,125,地10,攻擊、防禦、混亂衝擊波Lv10、攻擊吸收Lv5,,,mlbb_news_14144.txt
改造暗黑僧侶,不死系,38,44,17,16,10,,125,水10,攻擊、防禦、諸刃Lv11、攻擊反彈Lv5,,,mlbb_news_14144.txt
改造斬首者,不死系,16,38,17,44,10,,125,火10,攻擊、防禦、突襲之舞Lv10、魔法反彈Lv5,,,mlbb_news_14144.txt
改造冥界死神,不死系,16,10,17,38,44,,125,風10,攻擊、防禦、混亂衝擊波Lv10、魔法吸收Lv5,,,mlbb_news_14144.txt
符能青鸞,飛行系,23,40,10,46,6,,125,地10,攻擊、防禦,,,mlbb_news_6143.txt
屠龍鬥士,人形系,51,24,30,13,6,,124,地8水2,攻擊、防禦,,,mlbb_news_6143.txt
紫翎,野獸系,20,6,13,45,40,,124,水5火5,攻擊、防禦,,,mlbb_news_6143.txt
牛鬼,人形系,24,29,24,29,14,,120,地8水2,攻擊、防禦,,,mlbb_news_6203.txt
強襲牛鬼,人形系,28,50,21,20,6,,125,地8水2,攻擊、防禦,,,mlbb_news_6203.txt
龍蝦霸王,昆蟲系,37,50,16,16,6,,125,火9風1,攻擊、防禦,,,mlbb_news_6223.txt
沼澤龍蝦,昆蟲系,29,47,26,14,7,,123,地8水2,攻擊、防禦,,,mlbb_news_6223.txt
海龍蝦,昆蟲系,31,45,23,16,8,,123,水8火2,攻擊、防禦,,,mlbb_news_6223.txt
烈焰龍蝦,昆蟲系,28,48,19,21,7,,123,火8風2,攻擊、防禦,,,mlbb_news_6223.txt
烈風龍蝦,昆蟲系,27,46,18,24,8,,123,地2風8,攻擊、防禦,,,mlbb_news_6223.txt
青銅刺豚,金屬系,14,39,30,22,15,,120,地7風3,攻擊、防禦,,,mlbb_news_6223.txt
火頸龍,龍系,24,16,15,28,37,,120,水3火7,攻擊、防禦,,,mlbb_news_6223.txt
牛角寄居蟹,昆蟲系,18,9,31,17,35,,110,火4風6,攻擊、防禦,,,mlbb_news_6223.txt
萬聖南瓜精靈,植物系,18,6,22,31,48,,125,地5風5,攻擊、防禦,,,mlbb_news_6303.txt
晨曦南瓜怪,植物系,15,33,15,45,15,,123,火2風8,攻擊、防禦,,,mlbb_news_6303.txt
白晝南瓜怪,植物系,45,15,33,15,15,,123,地2水8,攻擊、防禦,,,mlbb_news_6303.txt
黃昏南瓜怪,植物系,15,45,15,33,15,,123,水2火8,攻擊、防禦,,,mlbb_news_6303.txt
暮夜南瓜怪,植物系,15,15,45,15,33,,123,地8風2,攻擊、防禦,,,mlbb_news_6303.txt
旋律影子,特殊系,24,28,22,19,27,,120,水10,攻擊、防禦,,,mlbb_news_6373.txt
噩夢旋律影子,特殊系,23,38,8,50,6,,125,水10,攻擊、防禦,,,mlbb_news_6373.txt
魷魚霸王,特殊系,13,6,12,46,48,,125,水10,攻擊、防禦,,,mlbb_news_6373.txt
呆萌魷魚,特殊系,13,9,23,36,42,,123,地7水3,攻擊、防禦,,,mlbb_news_6373.txt
冷酷魷魚,特殊系,15,9,21,34,44,,123,水7火3,攻擊、防禦,,,mlbb_news_6373.txt
暴躁魷魚,特殊系,12,9,20,37,45,,123,火7風3,攻擊、防禦,,,mlbb_news_6373.txt
瘋狂魷魚,特殊系,17,9,15,39,43,,123,風7地3,攻擊、防禦,,,mlbb_news_6373.txt
閃光魷魚王,特殊系,30,52,15,22,6,,125,火10,攻擊、防禦,,,mlbb_news_6373.txt
水母霸王,飛行系,42,9,11,17,46,,125,風5地5,攻擊、防禦,,,mlbb_news_6413.txt
雷暴娃娃水母,飛行系,47,6,11,46,15,,125,水5火5,攻擊、防禦,,,mlbb_news_6413.txt
晴天娃娃水母,飛行系,36,9,23,13,42,,123,地9水1,攻擊、防禦,,,mlbb_news_6413.txt
小雨娃娃水母,飛行系,35,9,23,12,44,,123,水9火1,攻擊、防禦,,,mlbb_news_6413.txt
大雪娃娃水母,飛行系,34,9,20,15,45,,123,火9風1,攻擊、防禦,,,mlbb_news_6413.txt
多雲娃娃水母,飛行系,34,9,21,16,43,,123,風9地1,攻擊、防禦,,,mlbb_news_6413.txt
嗜血巡遊鯊,飛行系,31,42,15,19,13,,120,水1火9,攻擊、防禦,,,mlbb_news_6413.txt
迷魂草,植物系,29,17,15,22,37,,120,水6火4,攻擊、防禦,,,mlbb_news_6413.txt
飛刺海馬,龍系,13,36,19,33,19,,120,火3風7,攻擊、防禦,,,mlbb_news_6413.txt
致幻海葵,植物系,28,14,22,13,33,,110,地4水6,攻擊、防禦,,,mlbb_news_6413.txt
迷幻海葵,植物系,32,13,23,11,31,,110,風4地6,攻擊、防禦,,,mlbb_news_6413.txt
愛絲精靈,人形系,52,30,17,18,8,,125,地10,攻擊、防禦,,,mlbb_news_6533.txt
絲諾精靈,人形系,30,52,17,18,8,,125,水10,攻擊、防禦,,,mlbb_news_6533.txt
聖誕精靈,人形系,14,42,14,47,8,,125,火10,攻擊、防禦,,,mlbb_news_6533.txt
雪兒精靈,人形系,14,8,14,42,47,,125,風10,攻擊、防禦,,,mlbb_news_6533.txt
絲諾波波,特殊系,22,35,22,22,22,,123,地5水5,攻擊、防禦,,,mlbb_news_6533.txt
聖誕波波,特殊系,22,22,22,35,22,,123,水5火5,攻擊、防禦,,,mlbb_news_6533.txt
雪兒波波,特殊系,22,22,22,22,35,,123,火5風5,攻擊、防禦,,,mlbb_news_6533.txt
聖誕小熊,野獸系,24,24,24,24,24,,120,風10,攻擊、防禦,,,mlbb_news_6533.txt
