技能說明,技能等級,專屬耗魔
以極低的傷害攻擊前排目標，後排目標將受到90%的傷害；有20%的概率混亂2回合,1,10
以極低的傷害攻擊前排目標，後排目標將受到105%的傷害；有20%的概率混亂2回合,2,15
以極低的傷害攻擊前排目標，後排目標將受到120%的傷害；有20%的概率混亂2回合,3,20
以極低的傷害攻擊前排目標，後排目標將受到135%的傷害；有25%的概率混亂2回合,4,25
以極低的傷害攻擊前排目標，後排目標將受到150%的傷害；有25%的概率混亂2回合,5,30
以極低的傷害攻擊前排目標，後排目標將受到165%的傷害；有30%的概率混亂2回合,6,35
以極低的傷害攻擊前排目標，後排目標將受到180%的傷害；有35%的概率混亂2回合,7,40
以極低的傷害攻擊前排目標，後排目標將受到195%的傷害；有35%的概率混亂2回合,8,45
以極低的傷害攻擊前排目標，後排目標將受到210%的傷害；有40%的概率混亂2回合,9,50
以極低的傷害攻擊前排目標，後排目標將受到225%的傷害；有40%的概率混亂2回合,10,55
以極低的傷害攻擊前排目標，後排目標將受到240%的傷害；有45%的概率混亂2回合,11,60
以極低的傷害攻擊前排目標，後排目標將受到255%的傷害；有45%的概率混亂2回合,12,65
