技能,職業歸屬,官網來源
裂空斬,劍士專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8614.html) / [官網資料調整來源1](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9954.html) / [官網資料調整來源2](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12564.html)
飛刃亂舞,馴獸師專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html) / [官網資料調整來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8774.html)
聖騎之譽,騎士專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8704.html)
隔山打牛,格鬥家專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html)
魔法屏障,無專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8854.html)
混亂衝擊波,咒術師專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8814.html)
潛龍殺,戰斧專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8944.html) / [官網資料調整來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16194.html)
必殺狙擊,弓箭手專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
突襲之舞,劍士專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html) / [官網資料調整來源1](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9624.html) / [官網資料調整來源2](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15344.html)
劇毒攻,飼養師專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9834.html)
燕斬,刀客專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
鋒上魂,刀客專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
嘲諷,騎士專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11704.html) / [官網資料調整來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14874.html)
鬥志昂揚魔法,咒術專屬技能,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html)
刻印,無專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14934.html)
精神衝擊波,無專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
心眼,弓箭手專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16064.html)
變身,御法劍仙專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
月讀,御法劍仙專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17344.html)
砂之鎧,無專屬職業,[官網資料來源](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
