等級,名稱,材料,能力,說明,販店價,image
1,小刀,銅條(4)、印度輕木(20),攻擊+9~+18 必殺+3,用途廣的小劍。,220,/img/武器/小刀.gif
1,銳刃小刀,銅條(4)、鐵條(4)、樅(20),攻擊+14~+27 必殺+3,有尖銳尖端的小劍。,350,/img/武器/銳刃小刀.gif
2,圓盤小刀,銅條(6)、鐵條(3)、樅(20)、木棉布(3),攻擊+20~+36 必殺+3,手把兩邊有圓盤的小刀。,450,/img/武器/銳刃小刀.gif
2,細刃擲刀,鐵條(7)、銀條(3)、樅(20)、黃月木(20)、木棉布(4),攻擊+25~+45 必殺+3,劍身細又長的小刀。,550,/img/武器/細刃擲刀.gif
3,滑翔小刀,鐵條(8)、銀條(5)、樅(20)、黃月木(20)、毛氈(4),攻擊+32~+54 必殺+3,專門投擲的小刀。,650,/img/武器/滑翔小刀.gif
3,細直刃小刀,銀條(7)、純銀條(5)、黃月木(20)、鐵杉(20)、毛氈(7),攻擊+38~+63 必殺+3,直又有尖銳尖端的小刀。,750,/img/武器/細直刃小刀.gif
4,耳柄小刀,銀條(8)、純銀條(7)、黃月木(20)、鐵杉(20)、棉(7),攻擊+47~+72 必殺+3,柄像耳朵形狀的小刀。,850,/img/武器/耳柄小刀.gif
4,騎士小刀,純銀條(8)、金條(7)、鐵杉(20)、琵琶木(20)、棉(8),攻擊+53~+81 必殺+3,最後一擊用的小刀。,950,/img/武器/騎士小刀.gif
5,忍者飛鏢,鋁條(6)、純銀條(5)、白金條(5)、鐵杉(20)、赤松(20),攻擊+66~+110 敏捷+1~+6 必殺+3 命中+2 閃躲+2,可以拿來當鏟子或鑿子用，多種用途的忍者武器。,800,/img/武器/忍者飛鏢.gif
5,球鍔小刀,純銀條(7)、金條(8)、鐵杉(20)、琵琶木(20)、細線(8),攻擊+63~+90 必殺+3,有球狀金屬的男性用小刀。,1100,/img/武器/球鍔小刀.gif
5,雙刃小刀,純銀條(8)、金條(7)、白金條(7)、鐵杉(20)、赤松(20),攻擊+69~+99 必殺+3,兩側有刃部直的大型小刀。,1200,/img/武器/雙刃小刀.gif
6,觸角小刀,幻之鋼條(15)、琵琶木(20)、赤松(20),攻擊+88~+117 必殺+3,柄頭像觸角的小刀。,1400,/img/武器/銳刃小刀.gif
6,闊刃小刀,純銀條(8)、金條(7)、白金條(8)、琵琶木(20)、赤松(20),攻擊+81~+108 必殺+3,寬又兩側有刃部的直小刀。,1300,/img/武器/雙刃小刀.gif
7,兇殺刀,白金條(10)、幻之鋼條(10)、鐵杉(20)、赤松(20)、朴(20),攻擊+101~+135 必殺+3,有複雜型狀刀身，危險投擲小刀。,1500,/img/武器/兇殺刀.gif
7,水龍的小刀,生鏽的短劍(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),攻擊+129 命中+25 明鏡止水所需魔力減少50% 耐久300,寄宿有海神的魔力的短劍。,無法販售,/img/武器/水龍的小刀.gif
7,漢拉提小刀,幻之鋼條(10)、赤松(20)、朴(20)、細線(10)、神眼(1),攻擊+116~+126 必殺+3 命中+15 閃躲-15,柄上兩端都有刀的特殊小刀。,1500,/img/武器/漢拉提小刀.gif
8,切肉小刀,幻之鋼條(20)、赤松(20)、朴(20)、杉(20)、魔族的水晶(1),攻擊+50 敏捷+15 必殺+18 命中+15 閃躲+15,S字狀彎曲的切肉小刀。,1600,
8,古傳小刀,幻之銀條(14)、黃月木(20)、鐵杉(20)、赤松(20)、朴(20),攻擊+115~+153 必殺+3,兩邊刃部的傳統大小刀。,1600,/img/武器/古傳小刀.gif
8,疾速短刀+,幻之銀條(12)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+110~+140 必殺+1~+5 命中+1~+3 耐久150~+190 生產系晉升任務Ⅲ,有複雜型狀刀身，危險投擲小刀。,1500,/img/武器/兇殺刀.gif
9,手裡劍,勒格耐席鉧條(15)、朴(20)、杉(20)、鋼騎之礦(1)、誓言之證(1),攻擊+117~+151 必殺+6 命中+3 陽炎所需消耗魔力減少30%,回轉投擲，特殊暗殺用武器。,3600,/img/武器/手裡劍.gif
9,華麗小刀,幻之銀條(20)、赤松(20)、朴(20)、杉(20)、絲柏(20),攻擊+137~+171 必殺+3,有豪華裝飾的小刀。,2800,
10,勾爪擲刀,勒格耐席鉧條(15)、朴(20)、杉(20)、絲柏(20)、梣(20),攻擊+161~+189 必殺+3,有新月型勾的投擲小刀。,4300,/img/武器/勾爪擲刀.gif
10,幻之匕首,奧利哈鋼條(10)、梣(20)、神眼(1)、鋼騎之礦(1)、誓言之證(1),攻擊+190~+210 必殺-3,幻之金製的瀟灑小刀。,5000,
