等級,名稱,材料,能力,說明,販店價,image
1,威力短弓,銅條(2)、印度輕木(20)、樅(20)、麻布(3)、木棉布(2),攻擊+17~+33,短距離中，發揮威力的短弓箭。,350,/img/武器/威力短弓.gif
1,輕型弓,銅條(3)、印度輕木(20)、麻布(1),攻擊+11~+22,好用普及的短弓箭。,220,
2,獵弓,鐵條(4)、樅(20)、黃月木(20)、麻布(3)、木棉布(6),攻擊+30~+55,聲音小的狩獵用單弓。,550,/img/武器/獵弓.gif
2,短戰弓,鐵條(2)、印度輕木(20)、樅(20)、麻布(5)、木棉布(4),攻擊+24~+44,攜帶方便的步兵用短弓。,450,/img/武器/短戰弓.gif
3,強弓,銀條(8)、印度輕木(20)、樅(20)、黃月木(20)、毛氈(7),攻擊+40~+66,用3種素材加強強度的單弓。,600,/img/武器/強弓.gif
3,格鬥弓,銀條(9)、樅(20)、黃月木(20)、鐵杉(20)、毛氈(9),攻擊+46~+77,高威力戰鬥用合成弓。,700,/img/武器/格鬥弓.gif
4,狙擊弓,純銀條(10)、樅(20)、黃月木(20)、鐵杉(20)、毛氈(10),攻擊+57~+88,據說百發百中的弓。,900,/img/武器/格鬥弓.gif
4,超強狙擊弓,純銀條(11)、黃月木(20)、鐵杉(20)、琵琶木(20)、棉(11),攻擊+64~+99,有羽毛裝飾，高精度的弓。,900,/img/武器/超強狙擊弓.gif
5,殺手長弓,純銀條(9)、金條(11)、鐵杉(20)、琵琶木(20)、毛氈(5),攻擊+77~+110,具有破壞力的長弓。,1100,/img/武器/殺手長弓.gif
5,米斯特汀之弓,鋁條(19)、金條(15)、茱萸木(20)、赤松(20)、琵琶木(20),攻擊+77~+122 閃躲+1~+3,看起來好像裝飾品，但是精準度高而攻擊力強的弓。,800,/img/武器/米斯特汀之弓.gif
5,衝擊弓,銀條(5)、金條(19)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+85~+121,用弓與箭的共振來發出衝擊波的弓。,1300,/img/武器/強弓.gif
6,巨弓,金條(12)、白金條(11)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+99~+132,有壓迫感的大弓。,1500,/img/武器/巨弓.gif
6,長格鬥弓,金條(13)、白金條(12)、琵琶木(20)、赤松(20)、朴(20),攻擊+107~+143,不容易壞掉，結實的長弓。,1700,/img/武器/短戰弓.gif
7,月光長弓,白金條(8)、幻之鋼條(16)、琵琶木(20)、赤松(20)、朴(20),攻擊+123~+165,像美麗新月般閃亮的弓。,1900,/img/武器/月光長弓.gif
7,水龍之弓,生鏽的弓(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),攻擊+165 必殺+2 命中+20 耐久200,寄宿有海神的魔力的弓。,無法販售,/img/武器/水龍之弓.gif
7,破邪長弓,白金條(10)、幻之鋼條(10)、絹布(6)、朴(20)、誓言之證(1),攻擊120~+130 命中+10 必殺+2,裂開黑夜的長弓。,1800,/img/武器/短戰弓.gif
8,原始石弓,白金條(20)、幻之鋼條(14)、朴(20)、杉(20)、魔族的水晶(1),攻擊+170~+187 命中+15 亂射所需消耗魔力增加100%,用腹部力量去拉弓弦，傳統的巨弓。,2000,/img/武器/原始石弓.gif
8,月光之弓+,幻之銀條(20)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+130~+160 命中+1~+5 生產系晉升任務Ⅲ,像美麗新月般閃亮的弓。,1900,/img/武器/月光長弓.gif
8,重弦弓,幻之鋼條(11)、幻之銀條(12)、赤松(20)、朴(20)、杉(20),攻擊+140~+187,為了拉緊弓弦，裝了特殊工具的巨弓。,2100,/img/武器/重弦弓.gif
9,平行弓,幻之鋼條(15)、幻之銀條(15)、朴(20)、杉(20)、絲柏(20),攻擊+167~+209,高威力，高精度的石弓。,3200,/img/武器/平行弓.gif
9,靈魂之弓,幻之銀條(15)、勒格耐席鉧條(10)、杉(20)、絲柏(20)、鋼騎之礦(2),攻擊+165 亂射所需消耗魔力減少20%,射中了就會出必殺的長弓。,4200,/img/武器/靈魂之弓.gif
10,摘星之弓,幻之銀條(20)、勒格耐席鉧條(10)、杉(20)、絲柏(20)、梣(20),攻擊+196~+231,據說能射到星星，距離超長的長弓。,5200,/img/武器/摘星之弓.gif
10,魔彈,勒格耐席鉧條(6)、奧利哈鋼條(10)、絲柏(20)、梣(20)、魔族的水晶(4),攻擊+195 命中+5 陽炎所需消耗魔力減少20%,據說是怪物愛用的長弓。,6500,/img/武器/魔彈.gif
