扭蛋機地點,物品名稱,機率,等級,耐久,屬性
龍年驚喜扭蛋,辰龍戰士徽章*1,0.1%,,,大幅增加偷襲概率，生命+300
龍年驚喜扭蛋,黯星物質*1,0.1%,,,星辰套裝重要的材料
龍年驚喜扭蛋,綠蒲團團召喚書*1,0.1%,,,使用後可隨機召喚一隻『LV1綠蒲團團』作為自己的寵物。
龍年驚喜扭蛋,烈風翼龍召喚書*1,0.1%,,,使用後可隨機召喚一隻『LV1烈風翼龍』作為自己的寵物。
龍年驚喜扭蛋,硝石蟲召喚書*1,0.6%,,,使用後可隨機召喚一隻『LV1硝石蟲』作為自己的寵物。
龍年驚喜扭蛋,大地翼龍召喚書,2%,,,使用後可隨機召喚一隻『LV1大地翼龍』作為自己的寵物。
龍年驚喜扭蛋,寒冰翼龍召喚書*1,2%,,,使用後可隨機召喚一隻『LV1寒冰翼龍』作為自己的寵物。
龍年驚喜扭蛋,火焰翼龍召喚書*1,2%,,,使用後可隨機召喚一隻『LV1火焰翼龍』作為自己的寵物。
龍年驚喜扭蛋,精靈城捲軸*1,5%,,,使用後可抵達精靈城。
龍年驚喜扭蛋,變身卡（寒冰翼龍）*1,5%,,,角色使用後可變成寒冰翼龍。
龍年驚喜扭蛋,變身卡（水龍蜥）*1,5%,,,角色使用後可變成水龍蜥。
龍年驚喜扭蛋,變身卡（口袋龍）*1,5%,,,角色使用後可變成口袋龍。
龍年驚喜扭蛋,鞭炮（綁）*1,5%,,,年獸山脈外出旅行的必備用品
龍年驚喜扭蛋,硝石蟲的卡片*1,7%,,,用於登錄寵物圖鑒的卡片
龍年驚喜扭蛋,小神龍之力*2,7%,,,用於進化龍寶的重要材料
龍年驚喜扭蛋,年獸山脈捲軸（綁）*1,10%,,,消耗一張可以抵達年獸山脈
龍年驚喜扭蛋,大地翼龍的卡片*1,10%,,,用於登錄寵物圖鑒的卡片
龍年驚喜扭蛋,寒冰翼龍的卡片*1,10%,,,用於登錄寵物圖鑒的卡片
龍年驚喜扭蛋,火焰翼龍的卡片*1,10%,,,用於登錄寵物圖鑒的卡片
龍年驚喜扭蛋,小神龍之力*1,14%,,,用於進化龍寶的重要材料
"普通扭蛋機：法蘭城(152,166)",鼠王扭蛋娃娃,1%,5,150,敏捷10魔攻50
"普通扭蛋機：法蘭城(152,166)",大地翼龍扭蛋娃娃,3%,4,100,防禦20抗魔20
"普通扭蛋機：法蘭城(152,166)",巨人扭蛋娃娃,3%,4,100,閃躲12生命160
"普通扭蛋機：法蘭城(152,166)",烈風之刃扭蛋娃娃,7%,3,80,反擊10
"普通扭蛋機：法蘭城(152,166)",寶石鼠扭蛋娃娃,7%,3,80,敏捷10魔力50
"普通扭蛋機：法蘭城(152,166)",石怪扭蛋娃娃,7%,3,80,防禦20
"普通扭蛋機：法蘭城(152,166)",小蝙蝠扭蛋娃娃,18%,3,80,防禦10抗遺忘5
"普通扭蛋機：法蘭城(152,166)",小石像怪扭蛋娃娃,18%,3,80,魔力50抗魔10
"普通扭蛋機：法蘭城(152,166)",哥布林扭蛋娃娃,18%,3,80,反擊5生命100
"普通扭蛋機：法蘭城(152,166)",使魔扭蛋娃娃,18%,3,80,
"普通扭蛋機：伊爾村(33,69)",地精扭蛋娃娃,1%,4,100,攻擊10防禦10魔力30魔攻10抗魔10
"普通扭蛋機：伊爾村(33,69)",大地翼龍扭蛋娃娃,3%,4,100,防禦20抗魔20
"普通扭蛋機：伊爾村(33,69)",巨人扭蛋娃娃,3%,4,100,閃躲12生命160
"普通扭蛋機：伊爾村(33,69)",烈風之刃扭蛋娃娃,7%,3,80,反擊10
"普通扭蛋機：伊爾村(33,69)",寶石鼠扭蛋娃娃,7%,3,80,敏捷10魔力50
"普通扭蛋機：伊爾村(33,69)",石怪扭蛋娃娃,7%,3,80,防禦20
"普通扭蛋機：伊爾村(33,69)",黃蜂扭蛋娃娃,18%,3,80,敏捷10閃躲5
"普通扭蛋機：伊爾村(33,69)",樹精扭蛋娃娃,18%,3,80,生命140抗酒醉3
"普通扭蛋機：伊爾村(33,69)",史萊姆扭蛋娃娃,18%,3,80,回復15生命50
"普通扭蛋機：伊爾村(33,69)",火蜘蛛扭蛋娃娃,18%,3,80,魔攻10抗遺忘5
"普通扭蛋機：亞留特村(49,49)",改造殭屍扭蛋娃娃,1%,4,100,抗酒醉20抗毒20
"普通扭蛋機：亞留特村(49,49)",大地翼龍扭蛋娃娃,3%,4,100,防禦20抗魔20
"普通扭蛋機：亞留特村(49,49)",巨人扭蛋娃娃,3%,4,100,閃躲12生命160
"普通扭蛋機：亞留特村(49,49)",烈風之刃扭蛋娃娃,7%,3,80,反擊10
"普通扭蛋機：亞留特村(49,49)",寶石鼠扭蛋娃娃,7%,3,80,敏捷10魔力50
"普通扭蛋機：亞留特村(49,49)",石怪扭蛋娃娃,7%,3,80,防禦20
"普通扭蛋機：亞留特村(49,49)",殭屍扭蛋娃娃,18%,3,80,抗毒10
"普通扭蛋機：亞留特村(49,49)",地獄看門犬扭蛋娃娃,18%,3,80,
"普通扭蛋機：亞留特村(49,49)",冰冷樹精扭蛋娃娃,18%,3,80,生命140抗混亂3
"普通扭蛋機：亞留特村(49,49)",鳥人扭蛋娃娃,18%,3,80,敏捷10魔力50
"普通扭蛋機：維諾亞村(65,44)",水精扭蛋娃娃,1%,,,
"普通扭蛋機：維諾亞村(65,44)",大地翼龍扭蛋娃娃,3%,4,100,防禦20抗魔20
