技能範圍,技能分類,技能名稱,最高等級,技能來源,簡介,學習資訊,價格
char,戰鬥攻擊技能,連擊,LV 15,經典技能,可連續作二次以上的物理攻擊，技能越高連續攻擊次數越高,"法蘭城的冒險者旅館(238,64)1F找紅月(37,7)學習的",100G
char,戰鬥攻擊技能,諸刃,LV 12,經典技能,降低防禦力和精神力來提高物理攻擊力,"法蘭城的冒險者旅館(238,64)1F找艾吉(31,23)學習",100G
char,戰鬥攻擊技能,反擊,LV 12,經典技能,被敵人攻擊後立刻反擊回去，技能等級越高威力越強,"法蘭城競技場(122,161)後台找深紅(39,13)學習",100G
char,戰鬥攻擊技能,崩擊,LV 12,經典技能,給防禦狀態的敵人重大的傷害,"伊爾村(682,343)的裝備店(35,25)找海拉姆(12,4)學習",100G
char,戰鬥攻擊技能,亂射,LV 12,經典技能,固定射出技能等級+2支的箭，但威力漸低,"索奇亞沙漠(528,328)找夏瓦特學習",5000G
char,戰鬥攻擊技能,氣功彈,LV 12,經典技能,給予對象前後列位置一體或數體的傷害，依技能等級改變攻擊數,"法蘭城的競技場(122,161)主廳找哈德(15,56)學習",100G
char,戰鬥攻擊技能,乾坤一擲,LV 12,經典技能,降低命中率來提高物理攻擊力,"法蘭城的安奇摩酒吧(102,131)找伍捷(11,13)學習",100G
char,戰鬥攻擊技能,混亂攻擊,LV 10,經典技能,攻擊命中後，有一定機率使敵人狀態變化，技能等級影響狀態種類,"索奇亞島的獅子之穴(380,324)找鬥士姆特 請參考 格鬥士就職 任務",4400G
char,戰鬥攻擊技能,因果報應,LV 12,經典技能,犧牲體力提升回力標的攻擊力，總損傷值越高HP損傷越大,1.完成任務：[禁地尋蹤](/職業技能任務/禁地尋蹤因果報應)；戰鬥後與因果報應（70.57）對話習得,6000G
char,戰鬥防禦技能,陽炎,LV 12,經典技能,減少防禦力以提升迴避率，技能等級越高，防禦力下降越多,"法蘭城內裡謝裡亞堡 二樓客房(79,71)找薩比(9,3)學習",100G
char,戰鬥防禦技能,護衛,LV 12,經典技能,能代替目標承受敵人的攻擊，技能等級越高傷害越低,"芙蕾雅島法蘭城內公寓(182,132) 找 希比爾(24,12)學習",100G
char,戰鬥防禦技能,聖盾,LV 12,經典技能,同時減低物理和魔法攻擊的損傷，技能等級越高傷害降低越多 (裝備盾牌限定),"芙蕾雅島伊爾村(682,343) 舊金山酒吧(32,65)找托瑪斯(23,16)學習",100G
char,戰鬥防禦技能,攻擊魔法防禦,LV 1,經典技能,可防禦魔法攻擊（如同普通防禦，但僅限於魔法攻擊） (使用後無法躲避物理攻擊),"芙蕾雅島法蘭城內 競技場112,161) 治癒廣場 找多羅伊斯(32,6)學習",100G
char,戰鬥輔助技能,暗殺,LV 12,經典技能,一定機率將敵人一擊擊倒 (普通攻擊發動限定，被動技能) 士兵可學至四級,烏克蘭村忍者之家三樓找黑暗的月影 請參考 忍者就職 任務,5000G
char,戰鬥輔助技能,戰慄襲心,LV 12,經典技能,可以扣損目標的魔力值，技能等級越高，所扣損的魔力值越多 (裝備弓箭、小刀、回力標不能使用),"聖拉魯卡村(135,219) 民家(24,48)找福司凱爾學習",100G
char,戰鬥輔助技能,明鏡止水,LV 12,經典技能,集中精神回復一定比例的體力，技能等級和最大生命值越高，回復比例上限越高。 (注意：和回復力無關) 無限定，格鬥士消耗魔力減半,打倒改造殭屍學習 請參考 改造殭屍 任務,100G
char,戰鬥輔助技能,石化抵抗,LV 12,經典技能,對石化狀態的抵抗性增加，技能等級影響狀態變化回合減少 (被動技能),"沙蓮娜海底洞窟咒術師的據點(10,13) 找抗石化之書學習",5000G
char,戰鬥輔助技能,遺忘抵抗,LV 12,經典技能,對遺忘狀態的抵抗性增加，技能等級影響狀態變化回合減少 (被動技能),"沙蓮娜海底洞窟咒術師的據點(15,9) 找抗遺忘之書學習",5000G
char,戰鬥輔助技能,混亂抵抗,LV 12,經典技能,對混亂狀態的抵抗性增加，技能等級影響狀態變化回合減少 (被動技能),"沙蓮娜海底洞窟咒術師的據點(14,8) 找抗混亂之書學習",5000G
