技能,適用,等級,魔力消耗,成功率倍率,作用範圍,效果,學習資訊
連擊,人物,11,,,,4 下攻擊，單次 57%（合計 228%）,
諸刃,人物,1,10,,,減少防禦力和精神力5%，而提升攻擊力7%,
諸刃,人物,2,18,,,減少防禦力和精神力10%，而提升攻擊力14%,
諸刃,人物,3,26,,,減少防禦力和精神力15%，而提升攻擊力21%,
諸刃,人物,4,34,,,減少防禦力和精神力20%，而提升攻擊力28%,
諸刃,人物,5,42,,,減少防禦力和精神力25%，而提升攻擊力35%,
諸刃,人物,6,50,,,減少防禦力和精神力30%，而提升攻擊力42%,
諸刃,人物,7,58,,,減少防禦力和精神力35%，而提升攻擊力49%,
諸刃,人物,8,66,,,減少防禦力和精神力40%，而提升攻擊力56%,
諸刃,人物,9,74,,,減少防禦力和精神力45%，而提升攻擊力63%,
諸刃,人物,10,82,,,減少防禦力和精神力50%，而提升攻擊力70%,
諸刃,人物,11,90,,,減少防禦力和精神力55%，而提升攻擊力77%（推估）,
諸刃,人物,12,98,,,減少防禦力和精神力60%，而提升攻擊力84%（推估）,
反擊,人物,1,5,,,給予物理攻擊0.8倍的傷害,
反擊,人物,2,9,,,給予物理攻擊0.9倍的傷害,
反擊,人物,3,13,,,給予物理攻擊1.0倍的傷害,
反擊,人物,4,17,,,給予物理攻擊1.1倍的傷害,
反擊,人物,5,21,,,給予物理攻擊1.2倍的傷害,
反擊,人物,6,25,,,給予物理攻擊1.3倍的傷害,
反擊,人物,7,29,,,給予物理攻擊1.4倍的傷害,
反擊,人物,8,33,,,給予物理攻擊1.5倍的傷害,
反擊,人物,9,37,,,給予物理攻擊1.6倍的傷害,
反擊,人物,10,41,,,給予物理攻擊1.7倍的傷害,
反擊,人物,11,45,,,給予物理攻擊1.8倍的傷害（推估）,
反擊,人物,12,49,,,給予物理攻擊1.9倍的傷害（推估）,
崩擊,人物,1,5,,,給防禦中的對象1.20倍傷害,
崩擊,人物,2,9,,,給防禦中的對象1.43倍傷害,
崩擊,人物,3,13,,,給防禦中的對象1.68倍傷害,
崩擊,人物,4,17,,,給防禦中的對象1.95倍傷害,
崩擊,人物,5,21,,,給防禦中的對象2.24倍傷害,
崩擊,人物,6,25,,,給防禦中的對象2.55倍傷害,
崩擊,人物,7,29,,,給防禦中的對象2.88倍傷害,
崩擊,人物,8,33,,,給防禦中的對象3.23倍傷害,
崩擊,人物,9,37,,,給防禦中的對象3.60倍傷害,
崩擊,人物,10,41,,,給防禦中的對象3.99倍傷害,
崩擊,人物,11,45,,,給防禦中的對象4.38倍傷害（推估）,
崩擊,人物,12,49,,,給防禦中的對象4.77倍傷害（推估）,
亂射,人物,1,5,,,3支攻擊，與同對象威力遞減,
亂射,人物,2,10,,,4支攻擊，與同對象威力遞減,
亂射,人物,3,15,,,5支攻擊，與同對象威力遞減,
亂射,人物,4,20,,,6支攻擊，與同對象威力遞減,
