等級,名稱,材料,能力,說明,販店價,image
1,木製大型回力鏢,銅條(4)、印度輕木(20),攻擊+12~+23,很重，大型的回力鏢。,220,/img/武器/木製大型回力鏢.gif
1,青銅回力鏢,銅條(7)、印度輕木(20)、樅(20),攻擊+18~+35,青銅製回力鏢。,350,/img/武器/青銅回力鏢.gif
2,彩光回力鏢,銅條(9)、鐵條(6)、印度輕木(20)、樅(20)、黃月木(20),攻擊+32~+58,發出各種光的回力鏢。,500,/img/武器/彩光回力鏢.gif
2,追跡者,銅條(7)、鐵條(4)、印度輕木(20)、樅(20),攻擊+25~+46,操作簡單的大型回力鏢。,450,/img/武器/追跡者.gif
3,暗殺回力鏢,銀條(5)、樅(20)、黃月木(20)、麻布(8)、木棉布(6),攻擊+41~+69,可從死角飛過去的回力鏢。,600,/img/武器/暗殺回力鏢.gif
3,殺敵回力鏢,銀條(12)、樅(20)、黃月木(20)、鐵杉(20)、麻布(10),攻擊+49~+81,切到敵人深處的回力鏢。,700,/img/武器/暗殺回力鏢.gif
4,獅子回力鏢,樅(20)、黃月木(20)、鐵杉(20)、毛氈(10)、棉(11),攻擊+60~+92,模仿獅子的回力鏢。,800,/img/武器/獅子回力鏢.gif
4,銳角回力鏢,純銀條(11)、黃月木(20)、鐵杉(20)、琵琶木(20)、毛氈(15),攻擊+68~+104,快速迴轉的回力鏢。,950,/img/武器/獅子回力鏢.gif
5,北斗之鎌刀,鋁條(6)、茱萸木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+85~+135 必殺+1~+5 閃躲+1,名為「諸神之鎌」的圓形投擲武器。,800,/img/武器/北斗之鎌刀.gif
5,翼鹿回力鏢,黃月木(20)、鐵杉(20)、琵琶木(20)、毛氈(15)、細線(10),攻擊+81~+115,模仿有翅膀的鹿的回力鏢。,1100,/img/武器/翼鹿回力鏢.gif
5,阿修塔羅回力鏢,金條(20)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+89~+127,那裡都可飛到的回力鏢。,1200,/img/武器/阿修塔羅回力鏢.gif
6,蛇獅回力鏢,白金條(17)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+104~+138,模仿獅子之回力鏢。,1300,/img/武器/蛇獅回力鏢.gif
6,鶇回力鏢,白金條(17)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+113~+150,模仿大鶇的回力鏢。,1400,
7,冰龍,生鏽的投擲武器(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),攻擊+173 精神+10 必殺+20 耐久300,寄宿有海神的魔力的投具,無法販售,/img/武器/冰龍.gif
7,閃光回力鏢,白金條(8)、幻之鋼條(10)、赤松(20)、朴(20)、鋼騎之礦(1),攻擊+130~+140 必殺+15,閃爍閃亮的回力標。,1500,/img/武器/閃光回力鏢.gif
7,雄翼牛回力鏢,金條(10)、幻之鋼條(10)、琵琶木(20)、赤松(20)、朴(20),攻擊+130~+173,模仿有翅膀的公牛之回力鏢。,1500,
8,凶豹回力鏢,白金條(10)、幻之鋼條(12)、赤松(20)、朴(20)、杉(20),攻擊+147~+196,模仿惡豹的姿勢的回力鏢。,1600,
8,熊翼回力鏢+,幻之銀條(15)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+130~+155 敏捷+10~+20 閃躲+1~+3 生產系晉升任務Ⅲ,模仿有翅膀的公牛之回力鏢。,,
8,赤獅回力鏢,幻之銀條(10)、鐵杉(20)、朴(20)、細線(10)、魔族的水晶(1),攻擊+130~+160 陽炎所需消耗魔力減少30%,模仿紅色獅子的回力鏢。,1600,/img/武器/赤獅回力鏢.gif
9,天使之翼,幻之鋼條(10)、幻之銀條(10)、朴(20)、杉(20)、絲柏(20),攻擊+175~+219,模仿天使翅膀的回力鏢。,2400,/img/武器/天使之翼.gif
9,普利辛回力鏢,勒格耐席鉧條(10)、杉(20)、絲柏(20)、鋼騎之礦(1)、魔族的水晶(1),攻擊+220~+230 閃躲-5 陽炎所需消耗魔力減少20%,可用來防御的回力鏢。,2700,/img/武器/普利辛回力鏢.gif
10,天秤回力鏢,奧利哈鋼條(10)、絲柏(20)、梣(20)、火焰之魂(4)、誓言之證(2),攻擊+236~+242 防禦+5 命中+5 閃躲+1,以燃燒天秤的形狀為模型所做成的回力鏢。,4500,/img/武器/天秤回力鏢.gif
10,治癒回力鏢,勒格耐席鉧條(15)、杉(20)、絲柏(20)、梣(20),攻擊+216~+242,治療主人的回力鏢。,3500,/img/武器/治癒回力鏢.gif
