等級,名稱,材料,能力,說明,販店價,image
1,白飯,飯碗(5)、神聖米(5),魔力值回復約30點,,每組5,/img/料理/白飯.gif
1,神聖美奶滋,鹽(1)、神聖油(2)、神聖醋(2)、雞蛋(2),,,每組212,/img/料理/神聖美奶滋.gif
1,美奶滋芝麻拌飯,芝麻娃娃(1)、神聖美奶滋(3)、白飯(3),魔力值回復約300點,,,/img/料理/美奶滋芝麻拌飯.gif
1,蕃茄醬,蕃茄(5)、瓶子(1),魔力值回復約30點,很酸的蕃茄醬，吃一口舌頭就會麻掉。,無法販售,/img/料理/蕃茄醬.gif
1,蛋飯,白飯(3)、雞蛋(10),魔力值回復約50點,,,/img/料理/蛋飯.gif
1,麵包,小麥粉(16)、牛奶(10)、鹽(5),魔力值回復約100點,非常好吃的熱呼呼的麵包。,每組300,/img/料理/麵包.gif
2,法國麵包,小麥粉(20)、牛奶(20)、鹽(20),魔力值回復約200點,脆脆的外皮加上軟酥的餡，香味迷人的法國麵包。,每組600,/img/料理/法國麵包.gif
2,蛋包飯,雞蛋(10)、牛奶(15)、鹽(5)、芹菜(1)、蕃茄醬(1),魔力值回復約150點,以最新鮮的蛋製成的半熟蛋包飯。,每組450,/img/料理/蛋包飯.gif
3,炒麵,小麥粉(20)、鹽(10)、海苔(20)、薑(12),魔力值回復約250點,香噴噴的醬汁配上手工麵條，可引以為傲的好吃炒麵。,每組750,/img/料理/炒麵.gif
3,猛毒的餌,必死的劇藥(1)、牛肉(20),,下過毒的牛肉，普通人只要吃上一口就會死。,,/img/料理/猛毒的餌.gif
3,青椒肉絲,青椒(20)、鹽(10)、竹筍(20)、牛肉(20),魔力值回復約300點,融合牛肉與青椒的人間美味：青椒肉絲。,每組900,/img/料理/青椒肉絲.gif
4,燒雞,鹽(20)、雞肉(20)、胡椒(20)、檸檬草(20),魔力值回復約350點,柔軟的燉雞肉，口感十分黏稠。,每組1050,/img/料理/燒雞.gif
4,親子丼,雞蛋(20)、蔥(20)、醬油(20)、雞肉(20)、米(20),魔力值回復約400點,熱騰騰的飯上放有半熟的蛋和剛起鍋的雞肉之人間美味。,每組1200,/img/料理/親子丼.gif
5,星鰻飯糰,鹽(20)、醬油(20)、海苔(20)、星鰻(20)、米(20),魔力值回復約500點,酥軟的魚肉，彷彿會在舌頭上溶化一般。,每組1500,/img/料理/星鰻飯糰.gif
5,漢堡,雞蛋(20)、蔥(20)、蕃茄醬(3)、牛肉(20),魔力值回復約450點,黏稠的食感令人吃過還想再吃。,每組1350,/img/料理/漢堡.gif
5,醬油豬骨拉麵,小麥粉(20)、雞蛋(20)、醬油(20)、海苔(20)、豬肉(20),魔力值回復約400點,濃厚的醬油味加上豬骨湯頭，風味絕佳。,每組210,/img/料理/醬油豬骨拉麵.gif
6,壽喜鍋,蔥(20)、鹽(20)、醬油(20)、牛肉(20)、砂糖(20),魔力值回復約600點,肉料理的帝王。,每組1800,/img/料理/壽喜鍋.gif
6,炒麵麵包,法國麵包(1)、炒麵(1),魔力值回復約550點,融合法國麵包與炒麵的超級美食。,每組1650,/img/料理/炒麵麵包.gif
7,咖哩飯,蔥(20)、雞肉(20)、馬鈴薯(20)、米(20)、咖哩塊(10),魔力值回復約650點,香味十分迷人，在法蘭大多用雞肉來煮。,每組1950,/img/料理/咖哩飯.gif
7,水龍料理,水龍的鰭(1),容易親近度+10 製作一次三個 (堆疊上限20個),寄宿有海神的魔力的料理。,無法販售,/img/料理/水龍料理.gif
7,韓式泡菜飯,雞蛋(10)、鹽(20)、牛肉(20)、米(20)、辣椒(20),魔力值回復約700點,異國來的夢幻料理。,每組2100,/img/料理/韓式泡菜飯.gif
8,牛排,鹽(20)、胡椒(10)、馬鈴薯(10)、高級奶油(20)、霜降牛肉(20),魔力值回復約800點,花很多時間才作出來的肉類料理。,每組2400,/img/料理/牛排.gif
8,螃蟹鍋,蔥(20)、醬油(20)、馬鈴薯(20)、辣椒(20)、螃蟹(10),魔力值回復約750點,冬天最HOT的料理。,每組2250,/img/料理/螃蟹鍋.gif
8,魅惑的哈密瓜麵包,小麥粉(20)、牛奶(20)、砂糖(20)、魔法紅蘿蔔(10)、阿巴尼斯哈密瓜(3),遇敵率上升 (限芙蕾雅島使用) 生產系晉升任務Ⅲ,有一股香甜氣味的哈蜜瓜麵包。,每組1200,/img/料理/魅惑的哈密瓜麵包.gif
9,豪華壽司組,雞蛋(20)、醬油(20)、海苔(20)、伊勢蝦(15)、海膽(15),魔力值回復約900點,將人間所有美味放在一起的高級料理。,每組2700,/img/料理/豪華壽司組.gif
9,醋飯壽司,海苔(20)、星鰻(20)、米(20)、螃蟹(20)、伊勢蝦(10),魔力值回復約850點,以各種海鮮作成的東方料理。,每組2550,/img/料理/醋飯壽司.gif
10,魚翅湯,雞蛋(20)、蔥(20)、鹽(20)、胡椒(20)、魚翅(20),魔力值回復約1000點,"用傳說中的夢幻食材""魚翅""做成的湯。",每組3000,/img/料理/魚翅湯.gif
10,鱉料理,辣椒(20)、螃蟹(20)、伊勢蝦(10)、海膽(10)、甲魚(20),魔力值回復約1200點,"用傳說中的夢幻食材""鱉""做成的料理。",每組3600,/img/料理/鱉料理.gif
11,韓式甜品,銀露蜂王漿(20)、牛奶(40)、砂糖(20)、巧克力(5)、櫻桃(40),魔力值回復約1400點,,,
12,日式海鮮飯,翡翠玉米(20)、醬油(20)、伊勢蝦(20)、螃蟹(20)、深海魷魚(20),魔力值回復約1600點,,,
