等級,名稱,類型,材料,能力,說明,販店價,image,材料圖,初心專屬
1,勇氣之斧,單手武器,銅條(4)、鐵條(3)、印度輕木(20),攻擊+22~+44 防禦-3 敏捷-7~-9 必殺+18,鐵製的小斧頭，被稱為成人的證明。,370,/img/武器/勇氣之斧.gif,,
1,手斧,單手武器,銅條(4)、印度輕木(20),攻擊+15~+29 防禦-2 敏捷-5~-6 必殺+18,作得很精緻的手斧。,220,/img/武器/手斧.gif,,
2,寬手斧,單手武器,銅條(7)、鐵條(4)、印度輕木(20)、樅(20),攻擊+32~+58 防禦-4 敏捷-10~-12 必殺+18,寬手斧。,470,/img/武器/寬手斧.gif,,
2,戰鬥手斧,單手武器,鐵條(10)、銀條(5)、印度輕木(20)、樅(20),攻擊+40~+73 防禦-5 敏捷-12~-15 必殺+18,於近身戰時方可發揮威力之手斧。,650,/img/武器/手斧.gif,,
3,格鬥手斧,單手武器,銅條(9)、鐵條(5)、銀條(5)、黃月木(20),攻擊+52~+87 防禦-6 敏捷-14~-18 必殺+18,用於近身戰的長柄手斧。,700,,,
3,鋼斧,單手武器,銅條(10)、鐵條(9)、純銀條(4)、黃月木(20),攻擊+61~+102 防禦-7 敏捷-17~-22 必殺+18,鋼鐵製的重戰斧。,800,/img/武器/手斧.gif,,
4,長戰斧,單手武器,銅條(8)、鐵條(8)、銀條(7)、純銀條(3)、鐵杉(20),攻擊+75~+116 防禦-8 敏捷-19~-25 必殺+18,容易使用的長柄斧頭。,900,/img/武器/長戰斧.gif,,
4,雙刃斧,單手武器,鐵條(10)、銀條(7)、純銀條(5)、金條(4)、印度輕木(20),攻擊+85~+131 防禦-9 敏捷-16~-27 必殺+18,好上手的戰鬥用雙頭斧。,1000,/img/武器/雙刃斧.gif,,
5,鉤爪斧,單手武器,銀條(10)、純銀條(10)、金條(5)、樅(20)、琵琶木(20),攻擊+102~+145 防禦-10 敏捷-26~-30 必殺+18,尖端有鉤的捕捉用斧頭。,1400,/img/武器/鉤爪斧.gif,,
5,鑽保雷格之斧,雙手武器,鐵條(10)、鋁條(7)、純銀條(7)、白金條(2)、琵琶木(20),攻擊+100~+168 防禦-10 敏捷-24~-30 必殺+18 反擊+1~+4 命中+3,雖然看起來又厚又重，但切砍起來相當銳利的戰斧。,900,/img/武器/鑽保雷格之斧.gif,,
5,闊刃斧,單手武器,鐵條(10)、銀條(10)、純銀條(10)、白金條(2)、琵琶木(20),攻擊+112~+160 防禦-11 敏捷-26~-33 必殺+18,刃部寬的巨大戰鬥斧頭。,1500,/img/武器/闊刃斧.gif,,
6,大型闊刃斧,雙手武器,銀條(8)、純銀條(10)、金條(10)、幻之鋼條(3)、赤松(20),攻擊+142~+189 防禦-13 敏捷-33~-39 必殺+18,刃部很寬的巨大戰鬥斧。,1800,/img/武器/雙刃斧.gif,,
6,彎月大戰斧,雙手武器,純銀條(10)、金條(10)、白金條(6)、黃月木(20)、赤松(20),攻擊+131~+174 防禦-12 敏捷-30~-36 必殺+18,有著彎月型斧刃的巨大戰斧。,1600,/img/武器/彎月大戰斧.gif,,
7,大型雙刃斧,雙手武器,鐵條(20)、白金條(12)、幻之鋼條(6)、琵琶木(20)、赤松(20),攻擊+164~+220 防禦-15 敏捷-36~-42 必殺+18,大型雙頭戰鬥斧頭。,1900,/img/武器/雙刃斧.gif,,
7,水龍之斧,雙手武器,生鏽的斧(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),攻擊+220 防禦+25 必殺+18 耐久300,寄宿有海神的魔力的斧。,無法販售,/img/武器/水龍之斧.gif,,
7,超大皇帝斧,雙手武器,純銀條(20)、白金條(10)、幻之鋼條(10)、朴(20)、誓言之證(1),攻擊+120~+145 防禦-14 敏捷-34~-40 必殺+36,讓人驚訝的大斧頭。,2000,/img/武器/闊刃斧.gif,,
8,大型雙刃斧+,雙手武器,幻之鋼條(20)、幻之銀條(12)、杉(20)、永久冰石(20)、藍龍之鱗(20),攻擊+168~+225 防禦-10~-15 敏捷-28~-40 必殺+18 反擊+1~+3 耐久200~+250 生產系晉升任務Ⅲ,大型雙頭戰鬥斧頭。,1900,/img/武器/雙刃斧.gif,,
8,新月斧,雙手武器,金條(13)、白金條(10)、幻之銀條(10)、赤松(20)、朴(20),攻擊+174~+232 防禦-16 敏捷-40~-48 必殺+18,有重量壓迫感的長柄巨大斧頭。,2000,/img/武器/新月斧.gif,,
8,米諾陶斯戰斧,雙手武器,純銀條(10)、幻之鋼條(10)、幻之銀條(10)、杉(20)、魔族的水晶(1),攻擊+200~+245 防禦-70 必殺+18,牛頭怪曾經使用的巨大戰鬥斧頭。,2200,/img/武器/米諾陶斯戰斧.gif,,
9,彎月長柄斧,雙手武器,金條(10)、幻之銀條(10)、勒格耐席鉧條(10)、絲柏(20)、誓言之證(2),攻擊+221~+276 防禦-29 敏捷-50~-51 必殺+21 乾坤一擲所需消耗魔力減少15%,長又彎曲的斧頭的長柄斧頭。,4000,/img/武器/彎月長柄斧.gif,,
9,薄刃鉤爪斧,雙手武器,白金條(10)、幻之鋼條(10)、勒格耐席鉧條(10)、朴(20)、杉(20),攻擊+221~+276 防禦-19 敏捷-46~-57 必殺+18,又薄又寬的刃部，尖端有勾的長柄斧頭。,3500,,,
10,處刑斧,雙手武器,奧利哈鋼條(14)、梣(20)、鋼騎之礦(2)、魔族的水晶(2)、誓言之證(2),攻擊+305~+310 防禦-40 敏捷-70 必殺+18 乾坤一擲所需消耗魔力減少20%,處死用很利的雙手斧頭。,6500,/img/武器/處刑斧.gif,,
10,金屬重斧,雙手武器,幻之鋼條(10)、幻之銀條(10)、奧利哈鋼條(8)、杉(20)、絲柏(20),攻擊+259~+305 防禦-21 敏捷-54~-63 必殺+18,全部用金屬做的，非常重的斧頭。,5500,/img/武器/鑽保雷格之斧.gif,,
11A,戰爭板斧,,梣(20)、喜馬拉斯礦條(5)、勒格耐席鉧條(20)、奧利哈鋼條(5),攻擊+298~345、敏捷-60~69、防禦-31、必殺+18,,,,/img/存檔截圖/11A-戰爭板斧.webp,是
11B,鳳尾重斧,,鋼騎之礦(2)、深海的水晶(2)、桐木(40)、喜馬拉斯礦條(10)、弗羅爾達礦條(8),攻擊+279~378、敏捷-65~94、防禦-20~70、必殺+8~24、命中-5~18、生命+10~152,,,,/img/存檔截圖/11B-鳳尾重斧.webp,是
12A,聖月之斧,,鋼騎之礦(2)、桐木(40)、奧利哈鋼條(10)、烏鐵木(40)、弗羅爾達礦條(10),攻擊+342~388、敏捷-62~72、防禦-48、必殺+18,,,,/img/存檔截圖/12A-聖月之斧.webp,是
12B,鬥龍血斧：納齊亞克,,火焰之魂(5)、深海的水晶(3)、失落的聖斧器靈(1)、鋼騎之礦(3)、幽冥礦條(8),攻擊+318~434、敏捷-54~98、防禦-31~82、必殺+18~30、生命+20~251、命中-3~24,,,,/img/存檔截圖/12B-鬥龍血斧納齊亞克.webp,是
