等級,名稱,類型,材料,能力,說明,販店價,image,材料圖,初心專屬
1,權杖,單手武器,銅條(6)、鐵條(2)、印度輕木(20),攻擊+5~+10 精神+5 魔攻+11~+12,中型單純杖。,350,/img/武器/權杖.gif,,
1,短杖,單手武器,銅條(4)、印度輕木(20),攻擊+5 精神+4~+5 魔攻+11~+14,小型單純杖。,220,/img/武器/短杖.gif,,
2,大地之杖,單手武器,鐵條(10)、印度輕木(20)、樅(20),攻擊+5 精神+8~+10 魔攻+42~+48,以大地之力量鍛煉的杖。,450,/img/武器/大地之杖.gif,,
2,激流權杖,單手武器,鐵條(12)、印度輕木(20)、樅(20)、黃月木(20),攻擊+11~+20 精神+5 魔攻+42~+45,以激烈水流鍛煉的中型杖。,500,,,
3,魔之手杖,單手武器,鐵條(14)、銀條(2)、印度輕木(20)、樅(20)、黃月木(20),攻擊+5 精神+10~+15 魔攻+73~+82,方便使出魔法的長杖。,600,,,
3,魔之權杖,單手武器,鐵條(11)、銀條(8)、印度輕木(20)、黃月木(20)、鐵杉(20),攻擊+19~+30 精神+5 魔攻+73~+77,方便使出魔法的中型杖。,700,/img/武器/魔之權杖.gif,,
4,賢者手杖,單手武器,銀條(10)、純銀條(10)、印度輕木(20)、樅(20)、鐵杉(20),攻擊+5 精神+15~+20 魔攻+104~+116,賢者之長杖。,800,/img/武器/賢者手杖.gif,,
4,賢者權杖,單手武器,銀條(12)、純銀條(12)、樅(20)、鐵杉(20)、琵琶木(20),攻擊+28~+40 精神+5 魔攻+104~+110,賢者之中型杖。,950,/img/武器/賢者權杖.gif,,
5,琥珀杖,單手武器,金條(16)、樅(20)、黃月木(20)、鐵杉(20)、琵琶木(20),攻擊+5 精神+20~+25 魔攻+135~+150,琥珀色閃亮的杖。,1100,/img/武器/琥珀杖.gif,,
5,琥珀權杖,單手武器,金條(17)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+37~+50 精神+5 魔攻+135~+142,琥珀色閃亮的中型杖。,1200,/img/武器/琥珀權杖.gif,,
5,魔晶之杖,雙手武器,鋁條(7)、茱萸木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+38~+51 防禦+5 精神+5 回復+1~+6 魔攻+135~+142,此杖同時具有威嚴的外表以及優越的直接攻擊力。,800,/img/武器/魔晶之杖.gif,,
6,元素之杖,單手武器,白金條(16)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+5 精神+24~+30 魔攻+166~+184,精靈形狀的杖。,1400,,,
6,神聖之杖,單手武器,白金條(17)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+46~+60 精神+5 魔攻+166~+175,受過神官祝福的杖。,1600,/img/武器/神聖之杖.gif,,
7,怒音之杖,單手武器,幻之鋼條(18)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+5 精神+28~+35 魔攻+197~+218,揮打也發不出聲音的杖。,1700,/img/武器/怒音之杖.gif,,
7,水龍之杖,單手武器,生鏽的杖(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),攻擊+70 精神+35 魔攻+218 耐久200,寄宿有海神的魔力的杖,無法販售,/img/武器/水龍之杖.gif,,
7,隱者之杖,單手武器,白金條(12)、幻之鋼條(9)、琵琶木(20)、赤松(20)、朴(20),攻擊+55~+70 精神+5 魔攻+197~+207,隱者形狀的中型杖。,1700,,,
8,光明短杖,單手武器,白金條(10)、幻之鋼條(12)、赤松(20)、朴(20)、杉(20),攻擊+5 精神+32~+40 魔攻+228~+252,好人用的短杖。,1800,/img/武器/光明短杖.gif,,
8,惡魔之杖,單手武器,幻之鋼條(10)、幻之銀條(7)、赤松(20)、朴(20)、杉(20),攻擊+64~+80 精神+5 魔攻+228~+240,惡魔形狀的杖。,1800,/img/武器/惡魔之杖.gif,,
8,落雷權杖+,單手武器,幻之銀條(15)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+50~+70 精神+28~+35 魔攻+197~+208 耐久300~+350 生產系晉升任務Ⅲ,隱者形狀的中型杖。,1700,,,
9,天使之杖,單手武器,幻之銀條(15)、杉(20)、絲柏(20),攻擊+72~+90 精神+5 魔攻+259~+272,天使形狀的杖。,2100,/img/武器/天使之杖.gif,,
9,太陽短杖,單手武器,幻之銀條(15)、杉(20)、絲柏(20),攻擊+5 精神+36~+45 魔攻+259~+286,太陽形狀的長杖。,2100,/img/武器/太陽短杖.gif,,
10,星屑短杖,單手武器,勒格耐席鉧條(15)、絲柏(20)、梣(20),攻擊+85~+100 精神+5 魔攻+290~+305,宿有冥王之力的短杖。,4100,/img/武器/星屑短杖.gif,,
10,聖者之杖,單手武器,奧利哈鋼條(10)、絲柏(20),攻擊+5 精神+43~+50 魔攻+290~+320,天使翅膀形狀的杖。,4500,/img/武器/聖者之杖.gif,,
11A,冥神短杖,,梣(40)、幻之銀條(5)、勒格耐席鉧條(10)、奧利哈鋼條(10),攻擊+5、精神+48~55、魔攻+325~358,,,,/img/存檔截圖/11A-冥神短杖.webp,是
11B,翡翠長杖,,鋼騎之礦(3)、深海的水晶(1)、桐木(40)、喜馬拉斯礦條(10)、弗羅爾達礦條(10),攻擊+5~116、精神+5~69、魔攻+301~354、生命+5~127、防禦+5~15,,,,/img/存檔截圖/11B-翡翠長杖.webp,是
12A,救贖法杖,,梣(20)、桐木(40)、烏鐵木(40)、地的水晶碎片(20)、幽冥礦條(3),攻擊+102~119、精神+52~61、魔攻+321~361,,,,/img/存檔截圖/12A-救贖法杖.webp,是
12B,聖耀之矛：輪迴天舞,,誓言之證(5)、深海的水晶(5)、失落的聖杖器靈(1)、烏鐵木(40)、幽冥礦條(5),攻擊+5~152、精神+25~80、魔攻+311~388、生命+9~178、回復+3~13、閃躲-1~5,,,,/img/存檔截圖/12B-聖耀之矛輪迴天舞.webp,是
