等級,名稱,材料,能力,說明,販店價,image,初心專屬
1,攻城槍,銅條(5)、鐵條(3)、印度輕木(20),攻擊+15~+30 反擊+6 命中+3,兩端都尖的城堡用長柄槍。,370,/img/武器/攻城槍.gif,
1,短矛,銅條(4)、印度輕木(20),攻擊+10~+20 反擊+6 命中+3,用途很廣的短槍。,220,/img/武器/短矛.gif,
2,刺槍,銅條(7)、鐵條(4)、印度輕木(20)、樅(20),攻擊+22~+40 反擊+6 命中+3,輕又長，方便操作的槍。,450,/img/武器/刺槍.gif,
2,金屬槍,銅條(8)、鐵條(5)、印度輕木(20)、樅(20),攻擊+28~+50 反擊+6 命中+3,中央有手把，全金屬做的槍。,550,/img/武器/金屬槍.gif,
3,長柄尖槍,鐵條(8)、銀條(6)、純銀條(5)、樅(20)、黃月木(20),攻擊+42~+70 反擊+6 命中+3,有長又尖尖端部的長柄槍。,700,/img/武器/長柄彎槍.gif,
3,長柄彎槍,銅條(10)、鐵條(6)、銀條(3)、樅(20)、黃月木(20),攻擊+36~+60 反擊+6 命中+3,柄上有新月型刃部的長柄武器。,600,/img/武器/長柄彎槍.gif,
4,穗槍,鐵條(8)、銀條(7)、純銀條(7)、黃月木(20)、鐵杉(20),攻擊+52~+80 反擊+6 命中+3,有樹葉型很利刃部的長槍。,800,/img/武器/攻城槍.gif,
4,雙叉戟,銀條(10)、純銀條(10)、金條(3)、黃月木(20)、鐵杉(20),攻擊+59~+90 反擊+6 命中+3,尖端有分叉的捕捉用長柄武器。,900,,
5,偃月刀,鐵條(10)、鋁條(5)、茱萸木(20)、鐵杉(20)、琵琶木(20),攻擊+87~+126 防禦+1~+5 反擊+8 命中+4,長柄刀的一種。因裝飾華麗而顯得略重。,800,/img/武器/偃月刀.gif,
5,護衛槍,銀條(15)、金條(10)、黃月木(20)、鐵杉(20)、琵琶木(20),攻擊+70~+100 反擊+6 命中+3,衛兵用，有裝飾的長槍。,1100,,
5,騎士槍,銀條(15)、白金條(10)、樅(20)、鐵杉(20)、琵琶木(20),攻擊+77~+110 反擊+6 命中+3,騎士用像刺槍的長柄槍。,1300,/img/武器/騎士槍.gif,
6,大砍槍,純銀條(7)、金條(8)、白金條(10)、琵琶木(20)、赤松(20),攻擊+90~+120 反擊+6 命中+3,有勾鐮刀狀的槍。,1500,,
6,長尖槍,金條(9)、白金條(10)、幻之鋼條(5)、鐵杉(20)、赤松(20),攻擊+98~+130 反擊+6 命中+3,尖端極尖，專門刺殺用的槍。,1700,/img/武器/金屬槍.gif,
7,水龍之槍,生鏽的槍(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),攻擊+140 敏捷+50 必殺+12 命中+6 耐久300,寄宿有海神的魔力的槍。,無法販售,/img/武器/水龍之槍.gif,
7,蠍槍,銀條(15)、白金條(10)、幻之鋼條(8)、黃月木(20)、朴(20),攻擊+105~+140 反擊+6 命中+3,改造進化的特殊槍。,1800,/img/武器/蠍槍.gif,
7,雙刃槍,白金條(10)、幻之鋼條(14)、赤松(20)、朴(20)、鋼騎之礦(1),攻擊+120~+125 反擊+12 命中+6,有分叉刀部的槍。,1900,/img/武器/雙刃槍.gif,
8,東方長刺鎗,白金條(9)、幻之鋼條(9)、幻之銀條(10)、杉(20)、魔族的水晶(1),攻擊+140 反擊+6 閃躲-4 命中+8 耐久300~+350,中間有手把，末端有金屬箍的長槍。,2100,/img/武器/東方長刺鎗.gif,
8,蠍槍+,幻之鋼條(17)、幻之銀條(13)、杉(20)、永久冰石(20)、藍龍之鱗(20),攻擊+110~+148 反擊+5~+7 命中+3~+5 耐久200~+250 生產系晉升任務Ⅲ,改造進化的特殊槍。,1800,/img/武器/蠍槍.gif,
8,闊刃槍,幻之銀條(20)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+120~+160 反擊+6 命中+3,有長三角錘形狀尖端的步兵槍。,2000,/img/武器/金屬槍.gif,
9,原始槍,幻之鋼條(10)、幻之銀條(10)、勒格耐席鉧條(10)、絲柏(20)、鋼騎之礦(2),攻擊+180~+190 反擊+9 命中+5 閃躲-3 諸刃 所需消耗魔力減少20%,有巨大尖端部的傳統槍。,4300,/img/武器/原始槍.gif,
9,鉤爪槍,勒格耐席鉧條(15)、琵琶木(20)、赤松(20)、朴(20)、杉(20),攻擊+152~+190 反擊+6 命中+3,有尖銳尖端及鉤子的槍。,3600,,
