等級,名稱,分類,類型,材料,能力,說明,販店價,image
1,長劍,劍,單手武器,銅條(4)、印度輕木(20),攻擊+12~+24,堅固的巨大寬劍。,220,/img/武器/長劍.gif
1,闊劍,劍,單手武器,銅條(4)、鐵條(3)、印度輕木(20),攻擊+18~+36,堅固的寬鐵劍。,280,/img/武器/闊劍.gif
1,勇氣之斧,斧,單手武器,銅條(4)、鐵條(3)、印度輕木(20),攻擊+22~+44 防禦-3 敏捷-7~-9 必殺+18,鐵製的小斧頭，被稱為成人的證明。,370,/img/武器/勇氣之斧.gif
1,手斧,斧,單手武器,銅條(4)、印度輕木(20),攻擊+15~+29 防禦-2 敏捷-5~-6 必殺+18,作得很精緻的手斧。,220,/img/武器/手斧.gif
1,攻城槍,槍,單手武器,銅條(5)、鐵條(3)、印度輕木(20),攻擊+15~+30 反擊+6 命中+3,兩端都尖的城堡用長柄槍。,370,/img/武器/攻城槍.gif
1,短矛,槍,單手武器,銅條(4)、印度輕木(20),攻擊+10~+20 反擊+6 命中+3,用途很廣的短槍。,220,/img/武器/短矛.gif
1,威力短弓,弓,雙手武器,銅條(2)、印度輕木(20)、樅(20)、麻布(3)、木棉布(2),攻擊+17~+33,短距離中，發揮威力的短弓箭。,350,/img/武器/威力短弓.gif
1,輕型弓,弓,雙手武器,銅條(3)、印度輕木(20)、麻布(1),攻擊+11~+22,好用普及的短弓箭。,220,/img/武器/輕型弓.gif
1,權杖,杖,單手武器,銅條(6)、鐵條(2)、印度輕木(20),攻擊+5~+10 精神+5 魔攻+11~+12,中型單純杖。,350,/img/武器/權杖.gif
1,短杖,杖,單手武器,銅條(4)、印度輕木(20),攻擊+5 精神+4~+5 魔攻+11~+14,小型單純杖。,220,/img/武器/短杖.gif
1,木製大型回力鏢,投擲武器,雙手武器,銅條(4)、印度輕木(20),攻擊+12~+23,很重，大型的回力鏢。,220,/img/武器/木製大型回力鏢.gif
1,青銅回力鏢,投擲武器,雙手武器,銅條(7)、印度輕木(20)、樅(20),攻擊+18~+35,青銅製回力鏢。,350,/img/武器/青銅回力鏢.gif
1,小刀,小刀,雙手武器,銅條(4)、印度輕木(20),攻擊+9~+18 必殺+3,用途廣的小劍。,220,/img/武器/小刀.gif
1,銳刃小刀,小刀,雙手武器,銅條(4)、鐵條(4)、樅(20),攻擊+14~+27 必殺+3,有尖銳尖端的小劍。,350,/img/武器/銳刃小刀.gif
2,火舌劍,劍,單手武器,銅條(7)、鐵條(5)、樅(20)、黃月木(20),攻擊+33~+60,擁有火焰形狀的劍身，威力強大的劍。,500,/img/武器/火舌劍.gif
2,突刺劍,劍,單手武器,銅條(5)、鐵條(4)、印度輕木(20),攻擊+26~+48,十分細長的細劍。,350,/img/武器/突刺劍.gif
