扭蛋機地點,物品名稱,機率,等級,耐久,屬性
盲盒26,寒冰奇美拉扭蛋娃娃,0.5%,,,精神+30，生命+500
盲盒26,紅翼奇美拉扭蛋娃娃,0.5%,,,精神+100，抗昏睡+15
盲盒26,疾風奇美拉扭蛋娃娃,0.5%,,,敏捷+100，抗石化+15
盲盒26,七夕水藍鼠召喚書,1%,,,使用後可隨機召喚一隻『LV1七夕水藍鼠』作為自己的寵物。
盲盒26,露比扭蛋娃娃,1%,,,精神+15，魔力+150，魔攻+15
盲盒26,阿魯巴斯扭蛋娃娃,1%,,,回復+30，生命+350
盲盒26,綠先生扭蛋娃娃,1%,,,防禦+20，回復+20，生命+150，抗魔+20
盲盒26,歐茲那克扭蛋娃娃,1%,,,攻擊+30，必殺+10，命中+10
盲盒26,歐茲尼克扭蛋娃娃,1%,,,攻擊+30，反擊+10，閃避+10
盲盒26,海賊王扭蛋娃娃,1%,,,抗毒+10，抗昏睡+10，抗石化+10，抗酒醉+10，抗混亂+10，抗遺忘+10
盲盒26,牛鬼扭蛋娃娃,1%,,,攻擊+20，防禦+20，生命+200
盲盒26,晨曦南瓜怪扭蛋娃娃,2.5%,,,抗遺忘+15，抗石化+15
盲盒26,白晝南瓜怪扭蛋娃娃,2.5%,,,抗昏睡+15，抗混亂+15
盲盒26,黃昏南瓜怪扭蛋娃娃,2.5%,,,抗毒+15，抗混亂+15
盲盒26,暮夜南瓜怪扭蛋娃娃,2.5%,,,抗酒醉+15，抗石化+15
盲盒26,鳥人扭蛋娃娃,9%,,,魔力+50，敏捷+10
盲盒26,幻歌妖扭蛋娃娃,9%,,,魔力+50，回復+10
盲盒26,狠毒鳥人扭蛋娃娃,9%,,,魔力+50，防禦+10
盲盒26,烈風鳥人扭蛋娃娃,9%,,,魔力+50，抗魔+10
盲盒26,黑暗鳥人扭蛋娃娃,8.5%,,,魔力+50，魔攻+10
盲盒26,惡魔螃蟹扭蛋娃娃,9%,,,抗石化+4，防禦+12
盲盒26,水晶螃蟹扭蛋娃娃,9%,,,抗石化+4，攻擊+12
盲盒26,鐵剪螃蟹扭蛋娃娃,9%,,,抗石化+4，魔防+12
盲盒26,黃金螃蟹扭蛋娃娃,9%,,,抗石化+4，魔攻+12
盲盒25,大地奇美拉扭蛋娃娃,0.5%,,,攻擊+100，抗混亂+15
盲盒25,雨型妖犬召喚書,1%,,,使用後可隨機召喚一隻『LV1雨型妖犬』作為自己的寵物。
盲盒25,地行布卡召喚書,1%,,,使用後可隨機召喚一隻『LV1地行布卡』作為自己的寵物。
盲盒25,雨型妖犬扭蛋娃娃,3%,,,敏捷+20，抗毒+5
盲盒25,樹精布卡扭蛋娃娃,3%,,,敏捷+20，抗昏睡+5
盲盒25,寄生布卡扭蛋娃娃,3%,,,敏捷+20，抗石化+5
盲盒25,布卡扭蛋娃娃,3%,,,敏捷+20，抗酒醉+5
盲盒25,地行布卡扭蛋娃娃,3%,,,敏捷+20，抗混亂+5
