等級,名稱,材料,能力,說明,販店價,image
1,小圓盾,銅條(4)、麻布(1),防禦+6~+11 閃躲-5 抗魔+10~+12,直接受到敵人攻擊的輕量又小的盾牌。,220,/img/防具/小圓盾.gif
1,小型盾,銅條(6)、樅(20),防禦+9~+17 閃躲-5 抗魔+8~+10,攜帶方便的小型盾牌。,250,/img/防具/小型盾.gif
2,板盾,銅條(8)、印度輕木(20)、樅(20),防禦+12~+22 閃躲-5 抗魔+20~+24,三張薄的木板合在一起的大型盾牌。,300,/img/防具/板盾.gif
2,鳶盾,銅條(7)、鐵條(3)、印度輕木(20)、黃月木(20),防禦+15~+28 閃躲-5 抗魔+16~+20,風箏形狀的長方形盾牌。,350,/img/防具/鳶盾.gif
3,哥特盾,銅條(3)、鐵條(4)、銀條(4)、純銀條(3)、黃月木(20),防禦+23~+39 閃躲-5 抗魔+24~+30,有美麗裝飾的美美盾牌。,450,/img/防具/哥特盾.gif
3,漩渦重盾,鐵條(7)、銀條(3)、印度輕木(20)、樅(20)、黃月木(20),防禦+20~+33 閃躲-5 抗魔+30~+36,有螺旋狀花樣的圓形大盾牌。,400,/img/防具/漩渦重盾.gif
4,士兵盾,銅條(4)、鐵條(4)、銀條(4)、純銀條(4)、鐵杉(20),防禦+29~+44 閃躲-5 抗魔+40~+48,裝甲兵用的很素但性能高的盾牌。,520,/img/防具/士兵盾.gif
4,重盾,銅條(2)、鐵條(2)、銀條(3)、純銀條(5)、金條(5),防禦+33~+50 閃躲-5 抗魔+32~+40,全金屬做的圓形大盾牌。,600,/img/防具/重盾.gif
5,反光之盾,鐵條(6)、銀條(6)、金條(4)、白金條(3),防禦+43~+61 閃躲-5 抗魔+40~+50,可藏在後面的大盾牌。,1100,/img/防具/反光之盾.gif
5,聖者之盾,鋁條(3)、純銀條(2)、金條(2)、白金條(2)、茱萸木(20),防禦+26~+29 命中-3 閃躲-5 抗魔+50~+55 魔力+100~+120,能夠提高裝備者精神力量的盾。,520,/img/防具/聖者之盾.gif
5,蜥蝪盾,鐵條(6)、銀條(5)、純銀條(4)、金條(3)、琵琶木(20),防禦+39~+55 閃躲-5 抗魔+50~+60,菱形金屬疊起來做的盾牌。,1000,/img/防具/蜥蝪盾.gif
6,獅子盾,銀條(8)、金條(4)、幻之鋼條(4)、琵琶木(20)、赤松(20),防禦+54~+72 閃躲-5 抗魔+48~+60,有獅子花樣的盾牌。,1300,/img/防具/獅子盾.gif
6,風之盾,純銀條(6)、金條(6)、白金條(4)、赤松(20),防禦+50~+67 閃躲-5 抗魔+60~+72,有羽毛花樣的盾牌，很輕，很好用。,1200,/img/防具/風之盾.gif
7,水龍之盾,生鏽的盾(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),攻擊+20 防禦+100 耐久200,寄宿有海神的魔力的盾。,無法販售,/img/防具/水龍之盾.gif
7,防守之盾,鐵條(5)、銀條(5)、純銀條(5)、白金條(5)、幻之鋼條(5),防禦+58~+77 閃躲-5 抗魔+70~+84,白銀做的盾牌。,1350,/img/防具/防守之盾.gif
7,黃金之盾,金條(5)、白金條(5)、幻之鋼條(15)、鋼騎之礦(1),防禦+82~+103 命中-10 閃躲-5 抗魔+70,花很多錢做的豪華盾牌，很重。,1350,/img/防具/黃金之盾.gif
8,力量之盾,幻之銀條(20)、魔族的水晶(1),防禦+60 閃躲+8 抗魔+32~+40 耐久200,由強烈魔力所保護的盾牌。,1400,/img/防具/力量之盾.gif
8,鏡之盾,銀條(6)、純銀條(6)、幻之銀條(10),防禦+66~+88 閃躲-5 抗魔+80~+96,像鏡子般，什麼都照的漂亮的盾牌。,1400,/img/防具/鏡之盾.gif
8,防禦之盾+,幻之鋼條(9)、幻之銀條(10)、杉(20)、永久冰石(20)、藍龍之鱗(20),防禦+59~+79 攻擊+5~+20 抗魔+64~+80 耐久180~+230 生產系晉升任務Ⅲ,白銀做的盾牌。,1350,/img/防具/防守之盾.gif
9,漆黑之盾,純銀條(5)、幻之鋼條(5)、幻之銀條(5)、勒格耐席鉧條(5),防禦+84~+105 閃躲-5 抗魔+90~+108,隱藏黑暗魔力的盾牌。,2300,/img/防具/漆黑之盾.gif
9,火龍之盾,白金條(5)、勒格耐席鉧條(10)、鋼騎之礦(1)、魔族的水晶(3),防禦+60 魔力-50 命中+2 閃躲+10 抗魔+36~+45,用火龍的皮做的很強之盾牌。,2600,/img/防具/火龍之盾.gif
10,勇者之盾,金條(10)、奧利哈鋼條(8)、魔族的水晶(5)、誓言之證(3),防禦+90 魔力+80 抗石化+20 抗魔+90 反擊所需消耗魔力減少25%,傳說中的開啟者之盾牌。,4200,/img/防具/勇者之盾.gif
10,黑暗之盾,幻之鋼條(5)、幻之銀條(5)、勒格耐席鉧條(5)、奧利哈鋼條(3),防禦+99~+116 閃躲-5 抗魔+115 聖盾所需消耗魔力減少25%,有負之力量的的渾沌之盾牌。,3500,/img/防具/黑暗之盾.gif
