分區,路線,標記,適合等級,地點,副標,簡稱,怪物,怪物等級,練技等級,一次幾隻,建議水晶,註,怎麼去,進入條件,來源
新手區,新手推薦路線,,1~5,法蘭城東門外,過橋前,,哥布林、迷你蝙蝠,1~5,,1~4,火風 / 純火 / 純風,怕 3 開剛創角打不贏樹精，可以在這邊繞一下,待補,,
新手區,,,-,哥布林之家,,,哥布林、紅帽哥布林,3~9,,1~10,風地,,待補,,
新手區,新手推薦路線,,3~9,法蘭城樹精區,,樹精區,樹精,5~7,,1~4,地水 / 純水,固定 48 魔石配 2 級卡，怪好打又近，前期新手聖地 / 過橋後走太遠會遇到黃蜂，敏高打人痛,待補,,
新手區,,,-,城內的地下迷宮,,靈堂,幽靈、漂浮炸彈,9~16,,1~5,風地 / 火風,固96魔石，前期賺錢聖地,待補,等級：10 級以上；時段：清晨及黃昏,[巴哈姆特哈啦板](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2162)
新手區,,,-,牛鬼的洞窟,芙蕾雅,,哥布林、紅帽哥布林、土蜘蛛,待補,,待補,待補,96 魔石、有寶箱、怪物種類多 / 1F~4F 及以後樓層怪物相同,待補,時段：夜間,[巴哈姆特哈啦板](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2162) / [巴哈姆特哈啦板／等級分布](https://forum.gamer.com.tw/C.php?bsn=70151&snA=407) / [巴哈姆特哈啦板／水晶配戴](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2235)
新手區,,,-,霞之洞窟,,,寶貝炸彈、水果蝙蝠,待補,,待補,待補,有寶箱，魔石一進去 48、往下走後面 96 / 迷宮位置不固定，藏在伊爾村外黃蜂區附近 / 1~3F、3~8F、8F 以後怪物相同,待補,,[巴哈姆特哈啦板](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2162) / [巴哈姆特哈啦板／等級分布](https://forum.gamer.com.tw/C.php?bsn=70151&snA=407)
新手區,新手推薦路線,,9~12,哈巴魯東邊洞穴,,,火蜘蛛、史萊姆,7~10,,1~10,水火,怪物數量多，建議組隊3人以上,待補,,
新手區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,10~15,地下通道,,倉庫,惡夢鼠、風蜘蛛,16~20,,1~8,地水,,待補,密語：冒險之心永不歇止,
低等區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,15~25,里歐波多洞窟,,里洞,地獄看門犬、虎人、寶貝炸彈、水果蝙蝠,20~24,,1~10,地水,怪好打又近，有老手帶 2 小時能升到 25,待補,費用：入場費 300G/人,
低等區,,,-,奇怪的洞窟,芙蕾雅,奇洞,地獄看門犬、殭屍、腐屍,16~19,,待補,風地,要過熊弟才能到，前期大多用偷渡,待補,,[巴哈姆特精華文](https://forum.gamer.com.tw/Co.php?bsn=70151&sn=39583) / [巴哈姆特哈啦板](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2162) / [巴哈姆特哈啦板／水晶配戴](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2235)
低等區,限時活動路線,限時,20~40,大地鼠寵物島,,,虎人、掃把蝙蝠、風蜘蛛、寶貝炸彈、鳥人 等各屬性 1 級寶寶,26~35,,待補,待補,,[里謝里雅堡門前老鼠傳送師](/任務攻略/限時活動/週年慶寵物島),階級：正職,[寵物島詳細資料](/任務攻略/限時活動/週年慶寵物島)
低等區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,25~32,神木禁地,外,神木外,殺人蜂、妖花,28~32,,1~8,純火 / 火風 / 水火,,待補,物品：通行證（隊長）；等級：25 級以上,
低等區,限時活動路線,限時,30~50,火焰鼠寵物島,,,地獄看門犬、胖蝙蝠、紅蠍、人魔草、液態史萊姆 等各屬性 1 級寶寶,36~45,,待補,待補,,[里謝里雅堡門前老鼠傳送師](/任務攻略/限時活動/週年慶寵物島),階級：王宮或資深,[寵物島詳細資料](/任務攻略/限時活動/週年慶寵物島)
低等區,新手推薦路線,,32~36,神木禁地,內,神木內,赤熊、沼澤樹精,32~35,,1~10,火風,,待補,等級：25 級以上,
低等區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,36~45,積雪的山路,,雪山,喪屍、地獄妖犬,39~42,,1~8,風地,喪屍專挑血量圍攻,傳送至阿巴尼斯村,傳送限制：戰鬥系 36 級、生產系 25 級以上,
低等區,限時活動路線,限時,40~60,惡夢鼠寵物島,,,赤目黑熊、水藍鳥魔、死亡蜂、藍色口臭鬼、漂浮炸彈 等各屬性 1 級寶寶,45~55,,待補,待補,,[里謝里雅堡門前老鼠傳送師](/任務攻略/限時活動/週年慶寵物島),階級：王宮或資深,[寵物島詳細資料](/任務攻略/限時活動/週年慶寵物島)
低等區,,,42~55,詛咒的迷宮聖詔三,,聖詔三,迷你石像怪、寶貝炸彈,47~49,,1~8,水火,,待補,任務：前置王戰；等級：50 級以上,[巴哈姆特哈啦板／水晶配戴](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2235)
低等區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,45~50,炎之洞窟,炎洞一,,迷你蝙蝠、果凍史萊姆、火焰鼠,39~44,,1~8,待補,,待補,等級：45 級以上,
低等區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,45~50,炎之洞窟,炎洞二,,迷你蝙蝠、果凍史萊姆、火焰鼠（地獄獵犬、羅剎）,45~47,,1~10,待補,,待補,等級：45 級以上,
