技能,見習,正式,王宮,師範,大師
補血 魔法,2,2,2,2,2
強力補血魔法,2,2,2,2,2
超強補血魔法,2,2,2,2,2
氣絕 回復,2,2,2,2,2
隕石 魔法,2,2,2,2,3
冰凍 魔法,2,2,2,2,3
火焰 魔法,2,2,2,2,3
風刃 魔法,2,2,2,2,3
強力隕石魔法,2,2,2,2,3
強力冰凍魔法,2,2,2,2,3
強力火焰魔法,2,2,2,2,3
強力風刃魔法,2,2,2,2,3
超強隕石魔法,2,2,2,2,3
超強冰凍魔法,2,2,2,2,3
超強火焰魔法,2,2,2,2,3
-,-,-,-,-,-
超強風刃魔法,2,2,2,2,3
中毒 魔法,2,2,2,2,3
昏睡 魔法,2,2,2,2,3
石化 魔法,2,2,2,2,3
酒醉 魔法,2,2,2,2,3
混亂 魔法,2,2,2,2,3
遺忘 魔法,2,2,2,2,3
強力中毒魔法,2,2,2,2,3
強力昏睡魔法,2,2,2,2,3
強力石化魔法,2,2,2,2,3
強力酒醉魔法,2,2,2,2,3
強力混亂魔法,2,2,2,2,3
強力遺忘魔法,2,2,2,2,3
超強中毒魔法,2,2,2,2,3
超強昏睡魔法,2,2,2,2,3
-,-,-,-,-,-
超強石化魔法,2,2,2,2,3
超強酒醉魔法,2,2,2,2,3
超強混亂魔法,2,2,2,2,3
超強遺忘魔法,2,2,2,2,3
吸血 魔法,2,2,2,2,3
攻擊 吸收,2,2,2,2,3
魔法 吸收,2,2,2,2,3
攻擊 反彈,2,2,2,2,3
魔法 反彈,2,2,2,2,3
攻擊 無效,2,2,2,2,3
魔法 無效,2,2,2,2,3
恢復 魔法,2,2,2,2,3
強力恢復魔法,2,2,2,2,3
超強恢復魔法,2,2,2,2,3
潔淨 魔法,2,2,2,2,3
-,-,-,-,-,-
屬性反轉魔法,2,2,2,2,3
大地的 祈禱,2,2,2,2,3
海洋的祈禱,2,2,2,2,3
火焰的祈禱,2,2,2,2,3
雲群的祈禱,2,2,2,2,3
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
