名稱,分類,子分類,等級,說明,入手方式,image
剛硬巨劍,武器,劍,9,由硬鋼製成的長劍。,製造：[劍](/生產製造/武器/劍),/img/武器/剛硬巨劍.gif
巨劍,武器,劍,7,單手可斬擊，雙手可突擊的戰鬥實用劍。,製造：[劍](/生產製造/武器/劍),/img/武器/雙手劍.gif
曲刀,武器,劍,10,需要力量大的人才拿的動的超巨劍。,製造：[劍](/生產製造/武器/劍),/img/武器/曲刀.gif
格鬥劍,武器,劍,5,適用於對戰的改良寬劍。,製造：[劍](/生產製造/武器/劍),/img/武器/闊劍.gif
水龍之劍,武器,劍,7,寄宿有海神的魔力的劍。,製造：[劍](/生產製造/武器/劍),/img/武器/水龍之劍.gif
火舌劍,武器,劍,2,擁有火焰形狀的劍身，威力強大的劍。,製造：[劍](/生產製造/武器/劍),/img/武器/火舌劍.gif
突刺劍,武器,劍,2,十分細長的細劍。,製造：[劍](/生產製造/武器/劍),/img/武器/突刺劍.gif
細刃重劍,武器,劍,9,劍身很細，劍柄卻又重又長的兩手劍。,製造：[劍](/生產製造/武器/劍),/img/武器/細刃重劍.gif
細柄短劍,武器,劍,8,劍身很細柄很短的輕巧劍。,製造：[劍](/生產製造/武器/劍),/img/武器/細柄短劍.gif
護身短劍,武器,劍,8,裝飾過度的防身用短劍。,製造：[劍](/生產製造/武器/劍),/img/武器/護身短劍.gif
豬牙劍,武器,劍,6,劍身像豬牙的細劍。,製造：[劍](/生產製造/武器/劍),/img/武器/豬牙劍.gif
鎖刃劍,武器,劍,4,為了用來造其他劍的特殊劍。,製造：[劍](/生產製造/武器/劍),/img/武器/鎖刃劍.gif
長劍,武器,劍,1,堅固的巨大寬劍。,製造：[劍](/生產製造/武器/劍),/img/武器/長劍.gif
長軍刀,武器,劍,7,劍身寬廣的防禦劍。,製造：[劍](/生產製造/武器/劍),/img/武器/長軍刀.gif
長軍刀+,武器,劍,8,劍身寬廣的防禦劍。,製造：[劍](/生產製造/武器/劍),/img/武器/長軍刀.gif
長鍔劍,武器,劍,5,容易攜帶且重防禦的長柄兩手劍。,製造：[劍](/生產製造/武器/劍),/img/武器/雙手劍.gif
闊劍,武器,劍,1,堅固的寬鐵劍。,製造：[劍](/生產製造/武器/劍),/img/武器/闊劍.gif
雙刃長劍,武器,劍,4,細長、劍身寬、而且又銳利的兩刃劍。,製造：[劍](/生產製造/武器/劍),/img/武器/雙刃長劍.gif
雙刃闊劍,武器,劍,6,劍身寬廣的短劍。,製造：[劍](/生產製造/武器/劍),/img/武器/雙刃闊劍.gif
雙手劍,武器,劍,3,柄很長的兩手持大劍。,製造：[劍](/生產製造/武器/劍),/img/武器/雙手劍.gif
青龍刀,武器,劍,10,劍身刻有龍形的單手劍。,製造：[劍](/生產製造/武器/劍),/img/武器/青龍刀.gif
麵包劍,武器,劍,3,長柄的劍，不但很重也很堅固。,製造：[劍](/生產製造/武器/劍),/img/武器/長劍.gif
黑作太刀,武器,劍,5,不加裝飾，實戰用的直刀。因黑漆塗製的刀鞘而得名。,製造：[劍](/生產製造/武器/劍),/img/武器/黑作太刀.gif
兇殺刀,武器,小刀,7,有複雜型狀刀身，危險投擲小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/兇殺刀.gif
切肉小刀,武器,小刀,8,S字狀彎曲的切肉小刀。,製造：[小刀](/生產製造/武器/小刀),
勾爪擲刀,武器,小刀,10,有新月型勾的投擲小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/勾爪擲刀.gif
古傳小刀,武器,小刀,8,兩邊刃部的傳統大小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/古傳小刀.gif
圓盤小刀,武器,小刀,2,手把兩邊有圓盤的小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/銳刃小刀.gif
小刀,武器,小刀,1,用途廣的小劍。,製造：[小刀](/生產製造/武器/小刀),/img/武器/小刀.gif
幻之匕首,武器,小刀,10,幻之金製的瀟灑小刀。,製造：[小刀](/生產製造/武器/小刀),
忍者飛鏢,武器,小刀,5,可以拿來當鏟子或鑿子用，多種用途的忍者武器。,製造：[小刀](/生產製造/武器/小刀),/img/武器/忍者飛鏢.gif
手裡劍,武器,小刀,9,回轉投擲，特殊暗殺用武器。,製造：[小刀](/生產製造/武器/小刀),/img/武器/手裡劍.gif
水龍的小刀,武器,小刀,7,寄宿有海神的魔力的短劍。,製造：[小刀](/生產製造/武器/小刀),/img/武器/水龍的小刀.gif
滑翔小刀,武器,小刀,3,專門投擲的小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/滑翔小刀.gif
漢拉提小刀,武器,小刀,7,柄上兩端都有刀的特殊小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/漢拉提小刀.gif
球鍔小刀,武器,小刀,5,有球狀金屬的男性用小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/球鍔小刀.gif
疾速短刀+,武器,小刀,8,有複雜型狀刀身，危險投擲小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/兇殺刀.gif
細刃擲刀,武器,小刀,2,劍身細又長的小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/細刃擲刀.gif
細直刃小刀,武器,小刀,3,直又有尖銳尖端的小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/細直刃小刀.gif
耳柄小刀,武器,小刀,4,柄像耳朵形狀的小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/耳柄小刀.gif
華麗小刀,武器,小刀,9,有豪華裝飾的小刀。,製造：[小刀](/生產製造/武器/小刀),
觸角小刀,武器,小刀,6,柄頭像觸角的小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/銳刃小刀.gif
銳刃小刀,武器,小刀,1,有尖銳尖端的小劍。,製造：[小刀](/生產製造/武器/小刀),/img/武器/銳刃小刀.gif
闊刃小刀,武器,小刀,6,寬又兩側有刃部的直小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/雙刃小刀.gif
雙刃小刀,武器,小刀,5,兩側有刃部直的大型小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/雙刃小刀.gif
騎士小刀,武器,小刀,4,最後一擊用的小刀。,製造：[小刀](/生產製造/武器/小刀),/img/武器/騎士小刀.gif
原始石弓,武器,弓,8,用腹部力量去拉弓弦，傳統的巨弓。,製造：[弓](/生產製造/武器/弓),/img/武器/原始石弓.gif
威力短弓,武器,弓,1,短距離中，發揮威力的短弓箭。,製造：[弓](/生產製造/武器/弓),/img/武器/威力短弓.gif
巨弓,武器,弓,6,有壓迫感的大弓。,製造：[弓](/生產製造/武器/弓),/img/武器/巨弓.gif
平行弓,武器,弓,9,高威力，高精度的石弓。,製造：[弓](/生產製造/武器/弓),/img/武器/平行弓.gif
強弓,武器,弓,3,用3種素材加強強度的單弓。,製造：[弓](/生產製造/武器/弓),/img/武器/強弓.gif
摘星之弓,武器,弓,10,據說能射到星星，距離超長的長弓。,製造：[弓](/生產製造/武器/弓),/img/武器/摘星之弓.gif
月光之弓+,武器,弓,8,像美麗新月般閃亮的弓。,製造：[弓](/生產製造/武器/弓),/img/武器/月光長弓.gif
月光長弓,武器,弓,7,像美麗新月般閃亮的弓。,製造：[弓](/生產製造/武器/弓),/img/武器/月光長弓.gif
格鬥弓,武器,弓,3,高威力戰鬥用合成弓。,製造：[弓](/生產製造/武器/弓),/img/武器/格鬥弓.gif
殺手長弓,武器,弓,5,具有破壞力的長弓。,製造：[弓](/生產製造/武器/弓),/img/武器/殺手長弓.gif
水龍之弓,武器,弓,7,寄宿有海神的魔力的弓。,製造：[弓](/生產製造/武器/弓),/img/武器/水龍之弓.gif
狙擊弓,武器,弓,4,據說百發百中的弓。,製造：[弓](/生產製造/武器/弓),/img/武器/格鬥弓.gif
獵弓,武器,弓,2,聲音小的狩獵用單弓。,製造：[弓](/生產製造/武器/弓),/img/武器/獵弓.gif
短戰弓,武器,弓,2,攜帶方便的步兵用短弓。,製造：[弓](/生產製造/武器/弓),/img/武器/短戰弓.gif
破邪長弓,武器,弓,7,裂開黑夜的長弓。,製造：[弓](/生產製造/武器/弓),/img/武器/短戰弓.gif
米斯特汀之弓,武器,弓,5,看起來好像裝飾品，但是精準度高而攻擊力強的弓。,製造：[弓](/生產製造/武器/弓),/img/武器/米斯特汀之弓.gif
衝擊弓,武器,弓,5,用弓與箭的共振來發出衝擊波的弓。,製造：[弓](/生產製造/武器/弓),/img/武器/強弓.gif
超強狙擊弓,武器,弓,4,有羽毛裝飾，高精度的弓。,製造：[弓](/生產製造/武器/弓),/img/武器/超強狙擊弓.gif
輕型弓,武器,弓,1,好用普及的短弓箭。,製造：[弓](/生產製造/武器/弓),
重弦弓,武器,弓,8,為了拉緊弓弦，裝了特殊工具的巨弓。,製造：[弓](/生產製造/武器/弓),/img/武器/重弦弓.gif
長格鬥弓,武器,弓,6,不容易壞掉，結實的長弓。,製造：[弓](/生產製造/武器/弓),/img/武器/短戰弓.gif
靈魂之弓,武器,弓,9,射中了就會出必殺的長弓。,製造：[弓](/生產製造/武器/弓),/img/武器/靈魂之弓.gif
魔彈,武器,弓,10,據說是怪物愛用的長弓。,製造：[弓](/生產製造/武器/弓),/img/武器/魔彈.gif
冰龍,武器,投擲武器,7,寄宿有海神的魔力的投具,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/冰龍.gif
凶豹回力鏢,武器,投擲武器,8,模仿惡豹的姿勢的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),
北斗之鎌刀,武器,投擲武器,5,名為「諸神之鎌」的圓形投擲武器。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/北斗之鎌刀.gif
天使之翼,武器,投擲武器,9,模仿天使翅膀的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/天使之翼.gif
天秤回力鏢,武器,投擲武器,10,以燃燒天秤的形狀為模型所做成的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/天秤回力鏢.gif
彩光回力鏢,武器,投擲武器,2,發出各種光的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/彩光回力鏢.gif
普利辛回力鏢,武器,投擲武器,9,可用來防御的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/普利辛回力鏢.gif
暗殺回力鏢,武器,投擲武器,3,可從死角飛過去的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/暗殺回力鏢.gif
木製大型回力鏢,武器,投擲武器,1,很重，大型的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/木製大型回力鏢.gif
殺敵回力鏢,武器,投擲武器,3,切到敵人深處的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/暗殺回力鏢.gif
