名稱,分類,子分類,等級,耐久度,生命,魔力,攻擊,防禦,敏捷,精神,回復,命中,必殺,反擊,閃避,魔攻,魔防,抗毒,抗睡,抗石,抗昏,抗混,抗醉,特殊功能,相關任務,入手方式,image,新聞來源
傳送石優待證,,,,,,,,,,,,,,,,,,,,,,,,,,透過彩券獲得,,mlbb_info_4443.txt
兔耳嚇人箱設計圖,,,,,,,,,,,,,,,,,,,,,,,,將兔耳嚇人箱改造成陰影,,透過彩券獲得,,mlbb_info_4443.txt
彩券,,,,,,,,,,,,,,,,,,,,,,,,可獲得水藍鼠、水精、風精、地精、火精等寵物以及傳送石優待證、兔耳嚇人箱設計圖等道具,,法蘭城彩券系列,,mlbb_info_4443.txt
通行證,,,,,,,,,,,,,,,,,,,,,,,,前往28級初期練功地點（隊長持有即可）,,前置任務獲取,,mlbb_info_4443.txt
設計圖,,,,,,,,,,,,,,,,,,,,,,,,對寵物進行改造（如僵屍、烈風哥布林、兔耳嚇人箱改造成陰影）,,寵物改造系列任務,,mlbb_info_4443.txt
魔石,,,,,,,,,,,,,,,,,,,,,,,,各村莊NPC回收價格無變動，提供玩家盈餘收入,,,,mlbb_info_4493.txt
裝備,裝備,,,,,,,,,,,,,,,,,,,,,,,可使用販售魔石之盈餘收入購買高級裝備,,購買,,mlbb_info_4493.txt
料理,恢復品,料理,,,,,,,,,,,,,,,,,,,,,,可使用販售魔石之盈餘收入購買高級料理,,購買,,mlbb_info_4493.txt
銀行擴充道具,便利道具,,,,,,,,,,,,,,,,,,,,,,,擴充銀行物品欄（評估規劃中；遊戲初期預計提供兩頁銀行存放欄位）,,,,mlbb_info_4493.txt
卡時,系統道具,補償道具,,,,,,,,,,,,,,,,,,,,,,伺服器問題清檔後向全體勇者補償,,官方補償,,mlbb_news_4573.txt
特別道具,特殊道具,補償道具,,,,,,,,,,,,,,,,,,,,,,伺服器問題清檔後向全體勇者補償的特別道具,,官方補償,,mlbb_news_4573.txt
預約禮品,禮品,,,,,,,,,,,,,,,,,,,,,,,,,事前登錄,,mlbb_news_4583.txt
生產系生產的物品,生產物品,,,,,,,,,,,,,,,,,,,,,,,向NPC出售的價格提高到原價的8折,,生產系職業生產,,mlbb_news_4583.txt
嫉妒女神蘋果（綁）,道具,,,,,,,,,,,,,,,,,,,,,,,無法交易道具,,商城購買,,mlbb_notice_4833.txt
卡時小撲滿(30 min)（綁）,道具,,,,,,,,,,,,,,,,,,,,,,,無法交易道具,,商城購買,,mlbb_notice_4833.txt
開服特惠大禮盒,禮盒,,,,,,,,,,,,,,,,,,,,,,,僅需1點券即可獲得初心頭飾、初心者活力飲料、初心補給袋等實用道具。每個會員賬號限購1個，道具均無法交易。,,開服期間商城特惠購買（截止期為6月30日 24:00）,,mlbb_notice_4833.txt
初心頭飾,頭飾,,,,+50,+30,,,,,,+3,+3,+3,+3,,,,,,,,,佩戴後可獲得稱號：魔力初心者,,開服特惠大禮盒,,mlbb_notice_4833.txt
初心者活力飲料,道具,,,,,,,,,,,,,,,,,,,,,,,,,開服特惠大禮盒,,mlbb_notice_4833.txt
初心補給袋,道具,,,,,,,,,,,,,,,,,,,,,,,,,開服特惠大禮盒,,mlbb_notice_4833.txt
爭霸賽第四期冠軍頭飾,頭飾,頭飾,,,250-300,200-250,25-50,25-50,,25-50,,10-15,,,10-15,,,,,,,,,綁定,,PVP爭霸賽第四期冠軍獎勵,,mlbb_news_10114.txt
