等級,名稱,材料,能力,說明,販店價,image
1,護心甲,銅條(4)、鐵條(3)、印度輕木(20),防禦+16~+32 閃躲-10 抗魔+4~+6,保護胸部的板子。,300,/img/防具/護心甲.gif
1,軟皮甲,銅條(3)、印度輕木(20)、鹿皮(20),防禦+11~+21 閃躲-10 抗魔+6~+8,皮做的輕盔甲。,220,/img/防具/軟皮甲.gif
2,輕型鎧甲,銅條(4)、鐵條(5)、銀條(3)、鹿皮(20),防禦+29~+53 閃躲-10 抗魔+8~+12,輕而且通氣性高的盔甲。,450,/img/防具/輕型鎧甲.gif
2,青銅鎧甲,銅條(7)、鐵條(2)、印度輕木(20)、樅(20),防禦+23~+42 閃躲-10 抗魔+12~+16,銅製的盔甲肩膀上有突起部。,400,
3,環甲,銅條(5)、鐵條(4)、銀條(5)、純銀條(4)、樅(20),防禦+44~+74 閃躲-10 抗魔+12~+18,連結金屬圈圈的盔甲。,700,/img/防具/環甲.gif
3,輕型鎖鍊甲,銅條(6)、鐵條(10)、黃月木(20),防禦+38~+63 閃躲-10 抗魔+18~+24,鏈子般的輕量鐵做的防具。,550,/img/防具/輕型鎖鍊甲.gif
4,金屬皮甲,鐵條(6)、銀條(9)、純銀條(8)、黃月木(20)、琵琶木(20),防禦+62~+95 閃躲-10 抗魔+16~+24 耐久320~+430,把金屬小片縫在皮上的盔甲。,1000,/img/防具/金屬皮甲.gif
4,鋼鐵鎧甲,鐵條(13)、銀條(4)、純銀條(2)、黃月木(20),防禦+55~+84 閃躲-10 抗魔+24~+32,鍛煉過的鋼鐵製盔甲。,900,/img/防具/鋼鐵鎧甲.gif
5,劍齒鎧甲,鐵條(3)、鋁條(6)、金條(5)、白金條(4)、茱萸木(20),防禦+100~+110 抗魔+18~+28 必殺-5 反擊+8 閃躲-10 使用護衛技能時同時發動反擊,專為保護重要人物的騎士們所開發的鎧甲。,900,
5,索狀鎧甲,鐵條(5)、銀條(5)、純銀條(8)、金條(10)、琵琶木(20),防禦+81~+116 閃躲-10 抗魔+20~+30,鋼製鍵子編織的盔甲。,1300,/img/防具/環甲.gif
5,長型金屬鎧甲,鐵條(5)、銀條(10)、純銀條(7)、金條(5)、鐵杉(20),防禦+74~+105 閃躲-10 抗魔+30~+40,很多長方形金屬片疊起來做的盔甲。,1200,
6,重鐵板甲,銀條(5)、純銀條(5)、金條(5)、白金條(10)、琵琶木(20),防禦+95~+126 閃躲-10 抗魔+36~+48,板金疊起來做的盔甲。,1700,/img/防具/鋼鐵鎧甲.gif
6,鐵板半身甲,銀條(6)、純銀條(6)、金條(6)、白金條(10)、赤松(20),防禦+103~+137 閃躲-10 抗魔+24~+36,改造鐵板做的上半身保護盔甲。,1700,/img/防具/鐵板半身甲.gif
7,實戰鎧甲,鐵條(20)、金條(5)、白金條(5)、幻之鋼條(8)、赤松(20),防禦+110~+147 閃躲-10 抗魔+42~+56,重視實戰的全身盔甲。,1800,/img/防具/實戰鎧甲.gif
7,水龍鎧甲,生鏽的鎧(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),防禦+170 抗毒+65 耐久200,寄宿有海神的魔力的鎧甲。,無法販售,/img/防具/水龍鎧甲.gif
7,黃金鎧甲,純銀條(10)、金條(10)、白金條(10)、幻之鋼條(10)、蔓陀羅草的皮(1),防禦+20 精神+50 閃躲-5 抗魔+40,為了提高強度，與某素材合成的盔甲。,1800,/img/防具/黃金鎧甲.gif
8,實戰鎧甲+,幻之銀條(15)、幻之鋼條(13)、朴(10)、永久冰石(20)、藍龍之鱗(20),防禦+115~+155 閃躲-5~-10 敏捷-5~-10 抗魔+24~+40 耐久280~+350 生產系晉升任務Ⅲ,重視實戰的全身盔甲。,1800,/img/防具/實戰鎧甲.gif
8,重金屬鎧甲,鐵條(20)、幻之鋼條(10)、幻之銀條(10),防禦+126~+179 閃躲-10 抗魔+48~+64,全身用金屬包起來的強固盔甲。,1900,/img/防具/重金屬鎧甲.gif
8,野獸之鎧,銀條(15)、幻之鋼條(20)、赤松(20)、風龍蜥的甲殼(1),防禦+130~+140 抗魔+16~+24 耐久350~+400,動物強固皮做的盔甲。,1900,/img/防具/野獸之鎧.gif
9,亡靈鎧甲,鐵條(20)、幻之鋼條(10)、幻之銀條(10)、勒格耐席鉧條(12)、魔族的水晶(5),防禦+160 閃躲+10 抗毒化+3 抗睡眠+3 抗石化+3 抗魔+12,受魔族詛咒的鎧甲。,5200,/img/防具/亡靈鎧甲.gif
9,帝王之鎧,幻之鋼條(10)、幻之銀條(10)、勒格耐席鉧條(10)、杉(20),防禦+160~+200 閃躲-10 抗魔+27~+36,統一世界的人曾用過的盔甲。,4300,/img/防具/帝王之鎧.gif
10,漆黑之鎧,白金條(5)、幻之鋼條(5)、幻之銀條(10)、勒格耐席鉧條(10)、奧利哈鋼條(5),防禦+188~+221 閃躲-10 抗魔+70~+80,防禦力強大眾神之盔甲。,6200,/img/防具/漆黑之鎧.gif
10,騎士鎧甲,金條(20)、勒格耐席鉧條(10)、奧利哈鋼條(10)、鋼騎之礦(5)、魔族的水晶(5),攻擊-15 防禦+240 閃躲-7 抗魔+50~+60,據說諸神曾穿過的盔甲。,7600,/img/防具/騎士鎧甲.gif
