等級,名稱,材料,能力,說明,販店價,image,初心專屬
1,羽毛袍,鹿皮(20)、麻布(4)、印度輕木(10),防禦+4~+8 魔力+40~+50,以輕量羽毛做的袍。,220,/img/防具/羽毛袍.gif,
1,輕皮袍,鹿皮(20)、麻布(5)、木棉布(4)、印度輕木(10),防禦+6~+12 魔力+60~+75,以輕量皮做的袍。,370,/img/防具/輕皮袍.gif,
2,網袍,鹿皮(20)、麻布(2)、木棉布(10)、樅(10),防禦+9~+16 魔力+80~+100,以棉網狀編織的袍。,470,/img/防具/網袍.gif,
2,風袍,鹿皮(20)、麻布(4)、木棉布(10)、毛氈(2)、樅(10),防禦+11~+20 魔力+100~+125,以輕量羽毛做的袍，很輕。,550,/img/防具/風袍.gif,
3,環袍,鐵條(8)、麻布(5)、毛氈(7)、棉(3)、黃月木(10),防禦+17~+28 魔力+140~+175,以圈型鐵包起來的袍。,700,/img/防具/環袍.gif,
3,硬皮袍,鹿皮(20)、麻布(7)、木棉布(8)、毛氈(5)、黃月木(10),防禦+14~+24 魔力+120~+150,有點悶熱但以結實皮做的袍。,650,/img/防具/輕皮袍.gif,
4,月亮之袍,鹿皮(20)、麻布(6)、毛氈(10)、細線(11)、鐵杉(10),防禦+23~+36 魔力+180~+225,寫滿了魔法文字的袍。,890,/img/防具/月亮之袍.gif,
4,烏鴉之袍,鹿皮(20)、麻布(10)、毛氈(10)、棉(6)、鐵杉(10),防禦+21~+32 魔力+160~+200,能聽懂魔女的話，織進烏鴉羽毛的袍。,800,/img/防具/網袍.gif,
4,狐皮披風,狐皮(4)、樅(2)、棉(20)、莎蓮娜線(4),防禦+17~+22 敏捷+7~12 抗昏睡+1~+2、抗混亂+1~+2 抗酒醉+1~+2、抗石化+1~+2 抗毒+1~+2、抗遺忘+1~+2 魔力+47~+59,據說是忍者飛翔時穿在身上的斗篷。,,/img/防具/狐皮披風.gif,
5,東方法衣,鹿皮(20)、麻布(10)、棉(10)、絹布(11)、鐵杉(10),防禦+28~+40 魔力+200~+250,滿是水晶的水晶的袍。,1100,/img/防具/環袍.gif,
5,治癒之袍,鋁條(4)、純銀條(4)、茱萸木(40)、棉(3)、絹布(7),防禦+68~+75 魔力+151~+174 回復+8,以能治癒百病的泉水為名，擁有治療能力的袍。,800,/img/防具/治癒之袍.gif,
5,聖堂之袍,純銀條(5)、鹿皮(20)、麻布(5)、絹布(15)、琵琶木(10),防禦+31~+44 魔力+220~+275,法蘭大聖堂公認的袍。,1300,/img/防具/聖堂之袍.gif,
6,戰鬥長袍,白金條(5)、鹿皮(20)、棉(20)、細線(6)、赤松(10),防禦+39~+52 魔力+260~+325,戰鬥用的實用袍。,1700,/img/防具/戰鬥長袍.gif,
