等級,名稱,材料,能力,說明,販店價,image,初心專屬
1,硬皮頭盔,鹿皮(20)、麻布(2),防禦+6~+11 抗魔+5~+7,硬皮做的頭盔。,140,/img/防具/硬皮頭盔.gif,
1,銅製頭盔,銅條(3)、麻布(3),防禦+9~+17 抗魔+3~+5,銅做的頭盔，薄但重。,200,/img/防具/銅製頭盔.gif,
2,銅鐵皮盔,銅條(5)、鐵條(3)、麻布(2)、木棉布(2),防禦+15~+28 抗魔+6~+10,用鐵與銅加強的皮製頭盔。,320,/img/防具/銅鐵皮盔.gif,
2,鐵板布盔,銅條(4)、鐵條(2)、麻布(3),防禦+12~+22 抗魔+10~+14,鐵板做，用布包起來的帽子型頭盔。,260,/img/防具/鐵板布盔.gif,
3,金屬護額,銅條(4)、鐵條(5)、銀條(3)、木棉布(2),防禦+20~+33 抗魔+15~+21,放鐵板在額頭上的頭巾。,400,/img/防具/金屬護額.gif,
3,鐵製頭盔,銅條(3)、鐵條(10)、銀條(3)、毛氈(1),防禦+23~+39 抗魔+9~+15,鐵製頭盔。,480,/img/防具/鐵製頭盔.gif,
4,角飾頭盔,銅條(5)、鐵條(5)、銀條(5)、純銀條(5)、棉(2),防禦+33~+50 抗魔+12~+20,有裝飾角的頭盔。,660,,
4,霸葛頭盔,銅條(4)、鐵條(4)、銀條(5)、純銀條(5),防禦+29~+44 抗魔+20~+28,有帽緣與額頭鐵板的頭盔。,550,/img/防具/霸葛頭盔.gif,
5,聖騎士之盔,鋁條(3)、純銀條(4)、金條(4)、茱萸木(20),防禦+42~+52 命中+6 閃躲-5 抗魔+35~+39,以高潔的騎士為名的頭盔，外型密閉，容易集中精神。,550,/img/防具/聖騎士之盔.gif,
5,葛理克頭盔,純銀條(5)、金條(5)、棉(5)、細線(5),防禦+43~+61 抗魔+15~+25,保護臉部的頭盔。,1200,/img/防具/葛理克頭盔.gif,
5,開放式頭盔,純銀條(5)、金條(8)、棉(5),防禦+39~+55 抗魔+25~+35,露出臉部的頭盔。,1000,/img/防具/開放式頭盔.gif,
6,利刃頭盔,金條(5)、白金條(5)、細線(5)、絹布(5),防禦+54~+72 抗魔+18~+30,頭頂有銳利刃部的頭盔。,1500,,
6,巴比克頭盔,金條(5)、白金條(8)、細線(5),防禦+50~+66 抗魔+30~+42,邊邊很寬的頭盔。,1400,/img/防具/巴比克頭盔.gif,
7,水龍之盔,生鏽的頭盔(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),防禦+110 耐久200 護衛所需消耗魔力減少50%,寄宿有海神的魔力的頭盔。,無法販售,/img/防具/水龍之盔.gif,
7,鋼製頭盔,白金條(5)、幻之鋼條(5)、細線(9)、琵琶木(20)、朴(20),防禦+62~+83 抗魔+24~+38,頭頂部與頭部後面受保護的鋼製頭盔。,1550,/img/防具/鋼製頭盔.gif,
7,騎士頭盔,金條(8)、白金條(4)、幻之鋼條(5)、絹布(4)、鋼騎之礦(1),防禦+60 抗魔+28~+42 護衛所需消耗魔力減少25%,騎士用的頭盔。,1550,/img/防具/騎士頭盔.gif,
8,博流蓋爾頭盔,幻之鋼條(5)、幻之銀條(5)、絹布(5)、朴(20)、誓言之證(5),防禦+65 命中-5 閃躲+25 抗魔+10,有羽毛裝飾的鐵製的頭盔。,1600,/img/防具/博流蓋爾頭盔.gif,
