等級,部位,屬性,取得方式
10,聖誕頌歌長劍,攻擊+(278~323)，必殺+(1~5)，命中+(1~5)，裂空斬耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌巨斧,攻擊+(297~361)，敏捷-(70~80)，防禦-40，必殺+21，潛龍殺耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌長槍,攻擊+(244~302)，防禦+(10~30)，命中+5，反擊+5，聖盾耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌法杖,攻擊+(58~141)，精神+(54~75)，魔攻+(225~285)，魔力+(50~100)，精神衝擊波耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌長弓,攻擊+(245~279)，命中+(1~5)，閃躲+(1~5)，亂射耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌小刀,攻擊+(215~258)，閃躲+(1~5)，命中+(1~5)，飛刃亂舞耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌迴力標,攻擊+(255~311)，敏捷+(12~33)，必殺+(1~7)，因果報應耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌太刀,攻擊+(244~299)，必殺+(1~10)，反擊-(1~10)，鋒上魂耗魔減少5%,聖誕頌歌武器寶箱
10,聖誕頌歌披風,攻擊+(102~144)，防禦+(20~40)，必殺+(1~7),聖誕頌歌武器寶箱
10,聖誕頌歌項鏈,生命+(50~100)，防禦+(20~40),聖誕頌歌首飾寶箱
10,聖誕頌歌戒指,魔力+(100~150)，回復+(10~20),聖誕頌歌首飾寶箱
