武器,增益效果,負面效果
劍/斧/戟/太刀,生命+1000，回復+80,攻擊-50，敏捷-30，命中-15，抗石化-30
劍/斧/戟/太刀,生命+800，敏捷+120,防禦-50，攻擊-50，必殺-15，抗昏睡-30
劍/斧/戟/太刀,生命+800，攻擊+350,防禦-50，敏捷-50，命中-15，抗混亂-30
劍/斧/戟/太刀,生命+1200，魔力+1000,回復-50，敏捷-50，閃避-15，抗石化-30
劍/斧/戟/太刀,攻擊+400，必殺+20,回復-50，防禦-50，閃避-15，抗混亂-30
劍/斧/戟/太刀,攻擊+400，敏捷+100,防禦-50，回復-50，必殺-15，抗昏睡-30
劍/斧/戟/太刀,攻擊+400，命中+20,敏捷-50，回復-50，閃避-15，抗石化-30
劍/斧/戟/太刀,攻擊+400，回復+100,防禦-50，敏捷-50，閃避-15，抗石化-30
劍/斧/戟/太刀,魔力+1200，命中+20,敏捷-50，回復-50，閃避-15，抗昏睡-30
劍/斧/戟/太刀,攻擊+200，抗石化+25，抗遺忘+25,防禦-50，敏捷-50，閃避-15，抗混亂-30
劍/斧/戟/太刀,攻擊+200，抗昏睡+25，抗混亂+25,防禦-50，敏捷-50，命中-15，抗遺忘-30
劍/斧/戟/太刀,魔力+1000，抗石化+25，抗遺忘+25,防禦-50，敏捷-50，閃避-15，抗混亂-30
劍/斧/戟/太刀,魔力+1000，抗昏睡+25，抗混亂+25,攻擊-50，敏捷-50，命中-15，抗遺忘-30
劍/斧/戟/太刀,生命+1000，抗石化+25，抗遺忘+25,防禦-50，敏捷-50，閃避-15，抗混亂-30
劍/斧/戟/太刀,生命+1000，抗昏睡+25，抗混亂+25,攻擊-50，敏捷-50，命中-15，抗遺忘-30
劍/斧/戟/太刀,抗昏睡+40，抗混亂+40，抗石化+40，抗遺忘+40,敏捷-50，防禦-50，回復-50，必殺-15
弓/標/小刀/披風,生命+1200，回復+60,攻擊-60，敏捷-40，閃避-15，抗石化-30
弓/標/小刀/披風,生命+1000，敏捷+100,防禦-50，攻擊-50，必殺-15，抗昏睡-30
弓/標/小刀/披風,生命+1000，攻擊+250,防禦-50，敏捷-50，命中-15，抗混亂-30
弓/標/小刀/披風,生命+1000，魔力+1100,回復-50，敏捷-50，閃避-15，抗石化-30
弓/標/小刀/披風,攻擊+400，必殺+20,回復-50，防禦-50，閃避-15，抗混亂-30
弓/標/小刀/披風,攻擊+400，敏捷+100,防禦-50，回復-50，必殺-15，抗昏睡-30
弓/標/小刀/披風,攻擊+400，命中+20,敏捷-50，回復-50，閃避-15，抗石化-30
弓/標/小刀/披風,攻擊+400，回復+100,防禦-50，敏捷-50，閃避-15，抗石化-30
弓/標/小刀/披風,魔力+1200，命中+20,敏捷-50，回復-50，閃避-15，抗昏睡-30
弓/標/小刀/披風,攻擊+200，抗石化+25，抗遺忘+25,防禦-50，敏捷-50，閃避-15，抗混亂-30
弓/標/小刀/披風,攻擊+200，抗昏睡+25，抗混亂+25,防禦-50，敏捷-50，命中-15，抗遺忘-30
弓/標/小刀/披風,魔力+1000，抗石化+25，抗遺忘+25,防禦-50，敏捷-50，閃避-15，抗混亂-30
弓/標/小刀/披風,魔力+1000，抗昏睡+25，抗混亂+25,攻擊-50，敏捷-50，命中-15，抗遺忘-30
弓/標/小刀/披風,生命+1000，抗石化+25，抗遺忘+25,防禦-50，敏捷-50，閃避-15，抗混亂-30
弓/標/小刀/披風,生命+1000，抗昏睡+25，抗混亂+25,攻擊-50，敏捷-50，命中-15，抗遺忘-30
弓/標/小刀/披風,抗昏睡+40，抗混亂+40，抗石化+40，抗遺忘+40,敏捷-50，防禦-50，回復-50，必殺-15
杖,生命+800，回復+100，隨機一種魔法耗魔減少20%,防禦-50，敏捷-50，閃避-15，抗石化-30
杖,生命+1200，敏捷+80，隨機一種魔法耗魔減少20%,防禦-50，回復-40，閃避-15，抗昏睡-30
杖,生命+1200，精神+100，隨機一種魔法耗魔減少20%,防禦-50，敏捷-50，命中-15，抗混亂-30
杖,生命+1000，魔力+1200，隨機一種魔法耗魔減少20%,回復-50，敏捷-50，閃避-15，抗石化-30
杖,生命+1000，防禦+200，隨機一種魔法耗魔減少20%,回復-50，防禦-50，閃避-15，抗混亂-30
杖,魔力+1200，閃避+20，隨機一種魔法耗魔減少20%,防禦-50，回復-50，必殺-15，抗昏睡-30
杖,魔力+1200，回復+100，隨機一種魔法耗魔減少20%,防禦-50，敏捷-50，精神-50，抗混亂-30
杖,精神+100，回復+200，隨機一種魔法耗魔減少20%,防禦-50，敏捷-50，閃避-15，抗石化-30
杖,魔力+1200，敏捷+100，隨機一種魔法耗魔減少20%,防禦-50，回復-50，精神-50，抗昏睡-30
杖,精神+100，抗石化+30，抗遺忘+30，隨機一種魔法耗魔減少20%,防禦-50，敏捷-50，閃避-15，抗混亂-30
杖,防禦+200，抗昏睡+25，抗混亂+25，隨機一種魔法耗魔減少20%,精神-50，敏捷-50，閃避-15，抗遺忘-30
杖,魔力+1000，抗石化+25，抗遺忘+25，隨機一種魔法耗魔減少20%,防禦-50，敏捷-50，閃避-15，抗混亂-30
杖,魔力+1000，抗昏睡+25，抗混亂+25，隨機一種魔法耗魔減少20%,精神-50，敏捷-50，閃避-15，抗遺忘-30
杖,生命+1000，抗石化+25，抗遺忘+25，隨機一種魔法耗魔減少20%,防禦-50，敏捷-50，閃避-15，抗混亂-30
杖,生命+1000，抗昏睡+25，抗混亂+25，隨機一種魔法耗魔減少20%,精神-50，敏捷-50，閃避-15，抗遺忘-30
杖,抗昏睡+40，抗混亂+40，抗石化+40，抗遺忘+40，隨機一種魔法耗魔減少20%,敏捷-50，防禦-50，回復-50，必殺-15
