技能,見習,正式,王宮,師範,大師
補血 魔法,4,6,8,10,12
強力補血魔法,4,6,8,10,12
超強補血魔法,4,6,8,10,12
氣絕 回復,4,6,8,10,12
隕石 魔法,2,4,5,6,7
冰凍 魔法,2,4,5,6,7
火焰 魔法,2,4,5,6,7
風刃 魔法,2,4,5,6,7
強力隕石魔法,2,4,5,6,7
強力冰凍魔法,2,4,5,6,7
強力火焰魔法,2,4,5,6,7
強力風刃魔法,2,4,5,6,7
超強隕石魔法,2,4,5,6,7
超強冰凍魔法,2,4,5,6,7
超強火焰魔法,2,4,5,6,7
超強風刃魔法,2,4,5,6,7
中毒 魔法,2,2,2,2,3
昏睡 魔法,2,4,5,6,7
石化 魔法,2,2,2,2,3
酒醉 魔法,2,2,2,2,3
混亂 魔法,2,2,2,2,3
遺忘 魔法,2,4,5,6,7
強力中毒魔法,2,2,2,2,3
強力昏睡魔法,2,4,5,6,7
強力石化魔法,2,2,2,2,3
強力酒醉魔法,2,2,2,2,3
強力混亂魔法,2,2,2,2,3
強力遺忘魔法,2,4,5,6,7
超強中毒魔法,2,2,2,2,3
超強昏睡魔法,2,4,5,6,7
超強石化魔法,2,2,2,2,3
超強酒醉魔法,2,2,2,2,3
超強混亂魔法,2,2,2,2,3
超強遺忘魔法,2,4,5,6,7
吸血 魔法,2,2,2,2,3
攻擊 吸收,2,2,2,2,3
魔法 吸收,2,2,2,2,3
攻擊 反彈,2,2,2,2,3
魔法 反彈,2,2,2,2,3
攻擊 無效,2,2,2,2,3
魔法 無效,2,2,2,2,3
恢復 魔法,4,4,5,6,7
強力恢復魔法,2,4,5,6,6
超強恢復魔法,2,4,5,6,6
潔淨 魔法,4,4,5,6,6
屬性反轉魔法,2,3,4,4,4
大地的 祈禱,2,3,4,4,5
海洋的祈禱,2,3,4,4,5
火焰的祈禱,2,3,4,4,5
雲群的祈禱,2,3,4,4,5
