等級,名稱,材料,能力,說明,販店價,image,初心專屬
1A,月影刃(雙手),海洋變異能量塊(2)、銅條(4)、印度輕木(20),攻擊+25~+31、必殺+3~+4、命中-2~-5,,,,是
2A,彤刀(雙手),海洋變異能量塊(3)、鐵條(8)、銅條(5),攻擊+25~+31、必殺+3~+4、命中-2~-5,,,,是
2B,凝露刀(雙手),海洋變異能量塊(3)、樅(20)、銀條(5)、鐵條(8),攻擊+32~+48、防禦-13~-18、命中+3~+4,,,,是
3A,熾刀(雙手),海洋變異能量塊(4)、鐵條(8)、銅條(6),攻擊+64~+74、回復+3、反擊-3~-4,,,,是
3B,飄渺刀(雙手),海洋變異能量塊(4)、銀條(8)、純銀條(6)、黃月木(20),攻擊+61~+78、防禦-13~-18、反擊+2~+5,,,,是
4A,湛雲刀(雙手),海洋變異能量塊(5)、鐵條(7)、銀條(5)、樅(20),攻擊+88~+102、必殺+5~+7、命中-3~-7,,,,是
4B,夜刀(雙手),海洋變異能量塊(5)、純銀條(10)、金條(6)、鐵杉(20),攻擊+95~+126、防禦-15~-25、必殺+4,,,,是
5A,琉璃刃(雙手),海洋變異能量塊(6)、銀條(7)、純銀條(6)、黃月木(20),攻擊+116~+133、敏捷-4~-5、閃躲+6~+7,,,,是
5B,嶄華(雙手),海洋變異能量塊(6)、金條(10)、白金條(7)、琵琶木(20),攻擊+121~+157、防禦-29~-31、回復+3~+4,,,,是
6A,翡翠鋒(雙手),純銀條(10)、金條(8)、鐵杉(20)、琵琶木(20)、妖草的血(1),攻擊+132~+164、必殺+4~+8、命中-4~-7；資料數過少，資料僅供參考,,,,是
6B,補遺刀(雙手),黑曜石(1)、白金條(12)、幻之鋼條(7)、琵琶木(20)、赤松(20),攻擊+180、防禦-31、敏捷+6；資料數過少，資料僅供參考,,,,是
7A,緋弧刃(雙手),金條(10)、白金條(10)、琵琶木(20)、赤松(20)、鋼騎之礦(1),攻擊+181、精神-8、反擊+9；資料數過少，資料僅供參考,,,,是
7B,馬彎刀(雙手),灰鑽石(1)、幻之鋼條(12)、幻之銀條(8)、赤松(20)、朴(20),攻擊+203、防禦-33、閃躲+8；資料數過少，資料僅供參考,,,,是
8A,流川刀(雙手),白金條(7)、幻之鋼條(8)、赤松(20)、朴(20)、火焰之魂(1),攻擊+191、必殺+10、命中-7；資料數過少，資料僅供參考,,,,是
8B,百刃(雙手),通靈珠(1)、幻之銀條(14)、勒格耐席鉧條(8)、朴(20)、杉(20),攻擊+239、防禦-26、必殺+7；資料數過少，資料僅供參考,,,,是
9A,樸歸刀(雙手),幻之鋼條(9)、幻之銀條(10)、朴(20)、杉(20)、鋼騎之礦(2),攻擊+199、敏捷+12、閃躲-9；資料數過少，資料僅供參考,,,,是
9B,華刃(雙手),黑曜石(3)、勒格耐席鉧條(14)、奧利哈鋼條(9)、杉(20)、絲柏(20),攻擊+227、防禦-42、命中+5(燕斬耗魔-20%)；資料數過少，資料僅供參考,,,,是
10A,晶刀(雙手),幻之銀條(10)、勒格耐席鉧條(8)、杉(20)、絲柏(20)、誓言之證(2),攻擊+236、必殺+8、命中-10；資料數過少，資料僅供參考,,,,是
10B,月華斬(雙手),灰鑽石(3)、奧利哈鋼條(16)、魔族的水晶(9)、絲柏(20)、梣(20),攻擊+256、防禦-31、閃躲+12；資料數過少，資料僅供參考,,,,是
11A,冰心刀(雙手),風龍蜥的甲殼(2)、絲柏(20)、梣(20)、奧利哈鋼條(10)、勒格耐席鉧條(10),範圍尚未確認；實際製造案例：攻擊+250、回復+7、反擊-11、耐久270/270（玩家提供截圖）；資料數過少，資料僅供參考,,,,是
11B,碧月刀(雙手),通靈珠(3)、白狼蛛絲(20)、梣(20)、幽冥礦條(10)、魔族的水晶(16),攻擊+362、防禦-41、回復+7、耐久143；資料數過少，資料僅供參考,,,,是
12A,丹心刀(雙手),鋼騎之礦(4)、白狼蛛絲(20)、梣(20)、魔族的水晶(10)、幽冥礦條(6),攻擊257~312、必殺7~15、命中-7~-15；資料數過少，資料僅供參考,,,,是
12B,盪月刀(雙手),失落的太刀器靈(1)、白狼蛛絲(20)、深海的水晶(5)、烏鐵木(10)、幽冥礦條(18),攻擊298~368、防禦-30~-60、敏捷7~14、生命+（11~168）、反擊-3~+15；資料數過少，資料僅供參考,,,,是
