配方ID,順序,種類,名稱,名稱狀態,數量,機率,等級條件,等級,條件備註,原文
fusion-a0002,1,寵物,太晶龍蝦霸王,已對應寵物表,,80%,,,,太晶龍蝦霸王召喚書（概率80%）
fusion-a0002,2,道具,太晶之源,已對應道具庫,1,20%,,,,太晶之源×1（概率20%）
fusion-a0003,1,寵物,太晶沼澤龍蝦,已對應寵物表,,80%,,,,太晶沼澤龍蝦召喚書（概率80%）
fusion-a0003,2,道具,太晶之源,已對應道具庫,1,20%,,,,太晶之源×1（概率20%)
fusion-a0004,1,寵物,黑潮龍蝦,已對應寵物表,,5%,,,,黑潮龍蝦召喚書（概率5%）
fusion-a0004,2,寵物,太晶龍蝦霸王,已對應寵物表,,95%,,,,太晶龍蝦霸王召喚書（概率95%）
fusion-a0005,1,寵物,黑潮龍蝦,已對應寵物表,,1%,,,,黑潮龍蝦召喚書（概率1%）
fusion-a0005,2,寵物,太晶沼澤龍蝦,已對應寵物表,,99%,,,,太晶沼澤龍蝦召喚書（概率99%）
fusion-a0006,1,寵物,潮汐魟王,已對應寵物表,,,指定,1,,Lv1的潮汐魟王
fusion-a0007,1,寵物,潮汐魟王,已對應寵物表,,,指定,1,,Lv1的潮汐魟王
fusion-a0008,1,寵物,狐丸,已對應寵物表,,,指定,1,,Lv1的狐丸
fusion-a0009,1,寵物,百合聖騎士,已對應寵物表,,,指定,1,,Lv1的百合聖騎士
fusion-a0010,1,寵物,百合聖騎士,已對應寵物表,,,指定,1,,Lv1的百合聖騎士
fusion-a0011,1,寵物,白銀聖鬥士,已對應寵物表,,,指定,1,,Lv1的白銀聖鬥士
fusion-a0012,1,寵物,白銀聖鬥士,已對應寵物表,,,指定,1,,Lv1的白銀聖鬥士
fusion-a0013,1,寵物,神樂,已對應寵物表,,98%,指定,1,,Lv1的神樂（概率98%）
fusion-a0013,2,寵物,天叢雲神樂,已對應寵物表,,2%,指定,1,,Lv1的天叢雲神樂（概率2%）
fusion-a0014,1,寵物,天叢雲神樂,已對應寵物表,,70%,指定,1,,Lv1的天叢雲神樂（概率70%）
fusion-a0014,2,寵物,御法神神樂,已對應寵物表,,30%,指定,1,,Lv1的御法神神樂（概率30%）
fusion-a0015,1,寵物,烈焰元素使,已對應寵物表,,95%,指定,1,,Lv1的烈焰元素使（概率95%）
fusion-a0015,2,寵物,火之使徒,已對應寵物表,,5%,指定,1,,Lv1的火之使徒（概率5%）
fusion-a0016,1,寵物,影,已對應寵物表,,97%,指定,1,,Lv1的影（概率97%）
fusion-a0016,2,寵物,御魂雷影,已對應寵物表,,2%,指定,1,,Lv1的御魂雷影（概率2%）
fusion-a0016,3,寵物,鬼泣雷影,已對應寵物表,,1%,指定,1,,Lv1的鬼泣雷影（概率1%）
fusion-a0017,1,寵物,蕾米兒,已對應寵物表,,,指定,1,,LV1蕾米兒
fusion-a0018,1,寵物,凜冬龍王,已對應寵物表,,,指定,1,,Lv1的凜冬龍王
fusion-a0019,1,寵物,凜冬龍王,已對應寵物表,,,指定,1,,Lv1的凜冬龍王
fusion-a0020,1,寵物,神樂,已對應寵物表,,98%,指定,1,,Lv1的神樂（概率98%）
fusion-a0020,2,寵物,天叢雲神樂,已對應寵物表,,2%,指定,1,,Lv1的天叢雲神樂（概率2%）
fusion-a0021,1,寵物,永恆花仙,來源原文,,,指定,1,,Lv1永恆花仙
fusion-a0022,1,寵物,寶貝蛋糕,已對應寵物表,,,指定,1,,Lv1寶貝蛋糕
fusion-a0023,1,寵物,櫻,已對應寵物表,,95%,指定,1,,Lv1的櫻（概率95%）
fusion-a0023,2,寵物,天叢雲櫻,已對應寵物表,,5%,指定,1,,Lv1的天叢雲櫻（概率5%）
fusion-a0024,1,寵物,虛空魔龍,已對應寵物表,,,指定,1,,Lv1的虛空魔龍
fusion-a0025,1,寵物,虛空魔龍,已對應寵物表,,,指定,1,,Lv1的虛空魔龍
fusion-a0026,1,寵物,賽拉芬寶寶III,已對應寵物表,,80%,指定,1,,LV1的賽拉芬寶寶III（概率80%）
fusion-a0026,2,寵物,賽拉芬寶寶IV,已對應寵物表,,20%,指定,1,,LV1的賽拉芬寶寶IV（概率20%）
fusion-a0027,1,寵物,賽拉芬寶寶II,已對應寵物表,,80%,指定,1,,LV1的賽拉芬寶寶II（概率80%）
fusion-a0027,2,寵物,賽拉芬寶寶III,已對應寵物表,,20%,指定,1,,LV1的賽拉芬寶寶III（概率20%）
fusion-a0028,1,寵物,賽拉芬寶寶I,已對應寵物表,,80%,指定,1,,LV1的賽拉芬寶寶I（概率80%）
fusion-a0028,2,寵物,賽拉芬寶寶II,已對應寵物表,,20%,指定,1,,LV1的賽拉芬寶寶II（概率20%）
fusion-a0029,1,寵物,巴力寶寶III,已對應寵物表,,80%,指定,1,,LV1的巴力寶寶III（概率80%）
fusion-a0029,2,寵物,巴力寶寶IV,已對應寵物表,,20%,指定,1,,LV1的巴力寶寶IV（概率20%）
fusion-a0030,1,寵物,巴力寶寶II,已對應寵物表,,80%,指定,1,,LV1的巴力寶寶II（概率80%）
fusion-a0030,2,寵物,巴力寶寶III,已對應寵物表,,20%,指定,1,,LV1的巴力寶寶III（概率20%）
fusion-a0031,1,寵物,巴力寶寶I,已對應寵物表,,80%,指定,1,,LV1的巴力寶寶I（概率80%）
fusion-a0031,2,寵物,巴力寶寶II,已對應寵物表,,20%,指定,1,,LV1的巴力寶寶II（概率20%）
fusion-a0032,1,寵物,喵喵寶寶III,已對應寵物表,,80%,指定,1,,LV1的喵喵寶寶III（概率80%）
fusion-a0032,2,寵物,喵喵寶寶IV,已對應寵物表,,20%,指定,1,,LV1的喵喵寶寶IV（概率20%）
fusion-a0033,1,寵物,喵喵寶寶II,已對應寵物表,,80%,指定,1,,LV1的喵喵寶寶II（概率80%）
fusion-a0033,2,寵物,喵喵寶寶III,已對應寵物表,,20%,指定,1,,LV1的喵喵寶寶III（概率20%）
fusion-a0034,1,寵物,喵喵寶寶I,已對應寵物表,,80%,指定,1,,LV1的喵喵寶寶I（概率80%）
fusion-a0034,2,寵物,喵喵寶寶II,已對應寵物表,,20%,指定,1,,LV1的喵喵寶寶II（概率20%）
fusion-a0035,1,寵物,異型火蜂,已對應寵物表,,10%,指定,1,,Lv1的異型火蜂（概率10%）
fusion-a0035,2,寵物,異型蜂,已對應寵物表,,90%,指定,1,,Lv1的異型蜂（概率90%）
fusion-a0036,1,寵物,天叢雲雪,已對應寵物表,,,指定,1,,Lv1的天叢雲雪
fusion-a0037,1,寵物,天叢雲雪,已對應寵物表,,,指定,1,,Lv1的天叢雲雪
fusion-a0038,1,寵物,改造飛馬公主,已對應寵物表,,5%,指定,1,,lv1改造飛馬公主（概率5%）
fusion-a0038,2,寵物,飛馬公主,已對應寵物表,,95%,指定,1,,lv1飛馬公主（概率95%）
fusion-a0039,1,寵物,改造露比,已對應寵物表,,5%,指定,1,,lv1改造露比（概率5%）
fusion-a0039,2,寵物,露比,已對應寵物表,,95%,指定,1,,lv1露比（概率95%）
fusion-a0040,1,寵物,改造布偶夏莉,已對應寵物表,,5%,指定,1,,lv1改造布偶夏莉（概率5%）
fusion-a0040,2,寵物,布偶夏莉,已對應寵物表,,95%,指定,1,,lv1布偶夏莉（概率95%）
fusion-a0041,1,寵物,改造冰原獨角獸,已對應寵物表,,5%,指定,1,,lv1改造冰原獨角獸（概率5%）
fusion-a0041,2,寵物,冰原獨角獸,已對應寵物表,,95%,指定,1,,lv1冰原獨角獸（概率95%）
fusion-a0042,1,寵物,舞,已對應寵物表,,95%,指定,1,,Lv1的舞（概率95%）
fusion-a0042,2,寵物,天叢雲舞,已對應寵物表,,5%,指定,1,,Lv1的天叢雲舞（概率5%）
fusion-a0043,1,寵物,噗栗君,已對應寵物表,,33%,指定,1,,Lv1的噗栗君（概率33%）
fusion-a0043,2,寵物,噗栗醬,已對應寵物表,,33%,指定,1,,Lv1的噗栗醬（概率33%）
fusion-a0043,3,寵物,噗栗桑,已對應寵物表,,33%,指定,1,,Lv1的噗栗桑（概率33%）
fusion-a0043,4,寵物,噗栗大王,已對應寵物表,,1%,指定,1,,Lv1的噗栗大王（概率1%）
fusion-a0044,1,寵物,噗栗君,已對應寵物表,,33%,指定,1,,Lv1的噗栗君（概率33%）
fusion-a0044,2,寵物,噗栗醬,已對應寵物表,,33%,指定,1,,Lv1的噗栗醬（概率33%）
fusion-a0044,3,寵物,噗栗桑,已對應寵物表,,33%,指定,1,,Lv1的噗栗桑（概率33%）
fusion-a0044,4,寵物,噗栗大王,已對應寵物表,,1%,指定,1,,Lv1的噗栗大王（概率1%）
fusion-a0045,1,寵物,噗栗君,已對應寵物表,,33%,指定,1,,Lv1的噗栗君（概率33%）
fusion-a0045,2,寵物,噗栗醬,已對應寵物表,,33%,指定,1,,Lv1的噗栗醬（概率33%）
fusion-a0045,3,寵物,噗栗桑,已對應寵物表,,33%,指定,1,,Lv1的噗栗桑（概率33%）
fusion-a0045,4,寵物,噗栗大王,已對應寵物表,,1%,指定,1,,Lv1的噗栗大王（概率1%）
fusion-a0046,1,寵物,噬歲狼王,已對應寵物表,,,指定,1,,Lv1的噬歲狼王
fusion-a0047,1,寵物,噬歲狼王,已對應寵物表,,,指定,1,,Lv1的噬歲狼王
fusion-a0048,1,寵物,黃金史萊姆,已對應寵物表,,,指定,1,,Lv1的黃金史萊姆
fusion-a0049,1,寵物,大魔導師艾夏菲,已對應寵物表,,,指定,1,,Lv1的大魔導師艾夏菲
fusion-a0050,1,寵物,戰斧大師帕里修斯,已對應寵物表,,,指定,1,,Lv1的戰斧大師帕里修斯
fusion-a0051,1,寵物,戰斧大師帕里修斯,已對應寵物表,,,指定,1,,Lv1的戰斧大師帕里修斯
fusion-a0052,1,寵物,巫王耶克爾,已對應寵物表,,,指定,1,,Lv1的巫王耶克爾
fusion-a0053,1,寵物,巫王耶克爾,已對應寵物表,,,指定,1,,Lv1的巫王耶克爾
fusion-a0054,1,寵物,大魔導師艾夏菲,已對應寵物表,,,指定,1,,Lv1的大魔導師艾夏菲
fusion-a0055,1,寵物,劍術大師里昂,已對應寵物表,,,指定,1,,Lv1的劍術大師里昂
fusion-a0056,1,寵物,劍術大師里昂,已對應寵物表,,,指定,1,,Lv1的劍術大師里昂
fusion-a0057,1,寵物,改造馴鹿,已對應寵物表,,,指定,1,,Lv1的改造馴鹿
fusion-a0058,1,寵物,改造聖誕水藍鼠,已對應寵物表,,,指定,1,,Lv1的改造聖誕水藍鼠
