等級,名稱,材料,能力,說明,販店價,image,初心專屬
1,硬帽,印度輕木(20)、鹿皮(20)、麻布(4),防禦+6~+11 命中+5,稍微硬厚的帽子。,200,/img/防具/硬帽.gif,
1,麻布帽,鹿皮(20)、麻布(2),防禦+4~+7 命中+5,薄布做的帽子。,140,/img/防具/麻布帽.gif,
2,皮帽,樅(20)、檸檬草(20)、鹿皮(20)、麻布(6)、木棉布(3),防禦+10~+18 命中+5,皮做的成熟帽子。,330,/img/防具/皮帽.gif,
2,輕帽,印度輕木(20)、檸檬草(20)、麻布(5)、木棉布(2),防禦+8~+14 命中+5,輕量帽子。,260,/img/防具/輕帽.gif,
3,可愛的帽子,果梨(20)、麻布(6)、木棉布(6)、毛氈(5),防禦+15~+25 命中+5,適合可愛女生的帽子。,500,/img/防具/輕帽.gif,
3,硬皮帽,銅條(4)、鹿皮(20)、木棉布(5)、毛氈(4),防禦+13~+21 命中+5,結實的皮做的帽子。,400,,
4,時髦帽子,檸檬草(20)、蝴蝶花(20)、麻布(6)、毛氈(6)、棉(6),防禦+18~+28 命中+5,時髦漂亮的帽子。,600,,
4,鴨舌帽,果梨(20)、鹿皮(20)、木棉布(11)、毛氈(11),防禦+21~+32 命中+5,結實的帽子。,700,/img/防具/鴨舌帽.gif,
5,劍客帽,茱萸木(20)、桃木(20)、毛氈(10)、絹布(4)、地的水晶碎片(2),防禦+10~+14 生命+66~+75 命中+5 精神-10 閃躲+3 使用明鏡止水技能同時增加一定閃躲率,羽毛乍看似乎很多餘，其實是提升裝備者回避能力的秘密武器。,600,/img/防具/劍客帽.gif,
5,藍徽章之帽,果梨(20)、棉(7)、細線(10),防禦+25~+35 命中+5,有藍色貼布的帽子。,900,,
5,高級帽子,桃木(20)、棉(8)、絹布(10),防禦+27~+39 命中+5,用高級布做的高雅帽子。,900,,
6,裝飾著花的帽子,棉(19)、檸檬草(20)、蝴蝶花(20)、果梨(20)、桃木(20),防禦+32~+42 命中+5,有很多花的草帽。,900,,
6,青銅帽子,銅條(15)、棉(14)、番紅花(20),防禦+35~+46 命中+5,裡面有薄的銅金屬版來加強的帽子。,900,/img/防具/青銅帽子.gif,
7,可愛的扁帽子,桃木(20)、百里香(20)、莎蓮娜線(13)、火的水晶碎片(5),防禦+40~+53 命中+5,法蘭選美會推薦的帽子。,1000,/img/防具/可愛的扁帽子.gif,
7,水龍之帽,破爛的帽子(1)、鋼騎之礦(2)、魔族的水晶(2)、百里香(20),防禦+53 精神+20 命中+5 耐久200,寄宿有海神的魔力的帽子。,無法販售,/img/防具/水龍之帽.gif,
7,淑女帽,細線(10)、絹布(10)、百里香(20)、水的水晶碎片(5),防禦+10 精神+20,抗雨性強。,1000,,
8,可愛的扁帽子+,百里香(20)、瞿麥(20)、火的水晶碎片(10)、魔法紅蘿蔔(20)、藍龍之鱗(20),防禦+38~+45 命中+5 閃躲+1~+3 耐久250~+300 生產系晉升任務Ⅲ,法蘭選美會推薦的帽子。,1000,/img/防具/可愛的扁帽子.gif,
8,時髦避暑帽,番紅花(20)、瞿麥(20)、傑諾瓦線(10)、德特家的布(1),防禦+32~+46 命中+5 抗石+5 抗混+5,用漂亮的線織成的時髦帽子。,1100,/img/防具/時髦避暑帽.gif,
8,軍帽,瞿麥(20)、棉(5)、細線(5)、莎蓮娜線(10),防禦+42~+57 命中+5,有金色花樣的氣派帽子。,1100,/img/防具/軍帽.gif,
8,頭目帽子,破爛的帽子(2)、鋼騎之礦(3)、魔族的水晶(3)、香草(20),防禦+56 命中+5 閃躲+3 耐久200 偷竊所需消耗魔力減少50% 稱號：卡拉班一家,頭目外出時所戴的帽子。,1100,/img/防具/頭目帽子.gif,
9,羽毛帽,百里香(20)、茴香(20)、鹿皮(20)、莎蓮娜線(6)、傑諾瓦線(8),防禦+54~+67 命中+5,有羽毛裝飾的漂亮又輕量的帽子。,1800,/img/防具/羽毛帽.gif,
9,魔術師之帽,瞿麥(20)、茴香(20)、毛氈(20)、傑諾瓦線(10)、魔族的水晶(2),防禦+5 命中+15,魔術士專用的不可思議帽子。,2200,/img/防具/魔術師之帽.gif,
10,妖精之帽,七葉樹(20)、開米士毛線(5)、絹布(5)、蔓陀羅草的皮(5)、德特家的布(2),防禦+60 命中+5 閃躲+2 恢復魔法所需消耗魔力減少15%,有精靈力量的輕量帽子。,4000,/img/防具/妖精之帽.gif,
10,黃昏之帽,七葉樹(20)、棉(5)、傑諾瓦線(5)、細麻布(7),防禦+63~+75 命中+5,受自然力量保護的帽子。,2900,/img/防具/黃昏之帽.gif,
11A,黑金之帽,風的水晶碎片(10)、羊脂花(40)、特勞倫之線(10)、梣(40)、絲柏(40),防禦+72~85、命中+5,,,/img/存檔截圖/11A-黑金之帽.webp,是
11B,黑法師之帽,誓言之證(2)、德特家的布(2)、特勞倫之線(5)、梣(40)、桐木(40),防禦+5~66、魔防+5~22、命中+5、生命+2~147、反擊+1~7,,,/img/存檔截圖/11B-黑法師之帽.webp,是
12A,大祭司帽,梣(40)、特勞倫之線(5)、白狼蛛絲(5)、桐木(40)、烏鐵木(40),防禦+81~98、命中+5,,,/img/存檔截圖/12A-大祭司帽.webp,是
12B,碧藍之海：娜迦,誓言之證(2)、深海的水晶(5)、失落的聖帽器靈(1)、德特家的布(5)、海靈草(40),防禦+45~114、命中+1~13、閃躲+1~3、生命+21~224、魔防+3~41,,,/img/存檔截圖/12B-碧藍之海娜迦.webp,是
