等級,物品名稱,分類,一般採集地點,建議採集地點,加工地點,相關資料,販店價,image
體驗,銅,礦石類,國營24坑道B1~B2,國營24坑道B1~B2,"法蘭城米克爾工房(106,61)交換銅(26,4) / 阿凱魯法村阿凱魯法工房(157,208)交換銅(19,17) / 艾夏島武器工房(144,120)畫廊(28,21)交換銅(35,45)",,20個20G,/img/採集/銅.gif
體驗,碎石頭,礦石類,國營24坑道B1~B2,國營24坑道B1~B2,,,20個15G,/img/採集/碎石頭.gif
1,碎石頭,礦石類,國營24坑道B1~B2,國營24坑道B1~B2,,,20個15G,/img/採集/碎石頭.gif
1,銅,礦石類,"國營第24坑道B1門口附近(10,30) / 布拉基姆高地(72,206)","國營第24坑道B1門口附近(10,30)","法蘭城米克爾工房(106,61)交換銅(26,4) / 阿凱魯法村阿凱魯法工房(157,208)交換銅(19,17) / 艾夏島武器工房(144,120)畫廊(28,21)交換銅(35,45)",,20個20G,/img/採集/銅.gif
2,鐵,礦石類,"國營第24坑道B4(35,36)附近(東北) / 哈巴魯東邊洞窟B2(52,17) / 維諾亞洞穴(法蘭側)樓梯附近 / 伊利斯礦山(米村側)入口附近 / 國營第24坑道B1(16,12)B2全域(銅) / 布拉基姆高地(72,183)附近","國營第24坑道B4(35,36)附近(東北)","法蘭城米克爾工房(106,61)交換鐵(28,5) / 阿凱魯法村阿凱魯法工房(157,208)交換鐵(12,14) / 艾夏島武器工房(144,120)畫廊(28,21)交換鐵(31,47)",,20個25G,/img/採集/鐵.gif
3,銀,礦石類,"國營第24坑道B2 / 國營第24坑道B4(17,17)(27,21)附近(西北) / 哈巴魯東邊洞窟B2(47,10)(27,21)附近 / 國營第24坑道B2(5,30)(11,7)(33,6)(銅、鐵) / 維諾亞洞穴B2(35,21) / 崩壞的入口B1全域","國營第24坑道B4(17,17)(27,21)附近(西北) / 布拉基姆高地(90,141)","法蘭城米克爾工房(106,61)交換銀(30,5) / 阿凱魯法村阿凱魯法工房(157,208)交換銀(12,9) / 艾夏島武器工房(144,120)畫廊(28,21)交換銀(41,51)",,20個29G,/img/採集/銀.gif
3,鋁,礦石類,"黑歷史之石洞第一層(163,191)","黑歷史之石洞第一層(163,191)","艾夏島武器工房(144,120)畫廊(28,21)交換鋁條(38,53)",,20個29G,/img/採集/鋁.gif
4,純銀,礦石類,"維諾亞洞窟B1(47,70)(45,70)(法蘭側)附近 / 維諾亞洞窟B1(50,56)(法蘭側)(鐵) / 維諾亞洞窟B2(28,53)(銀) / 維諾亞洞窟的小路(47,53) / 國道第24坑道2F(19,3)(銅、鐵) / 國道第24坑道2F(34,4)(5,5)(銅、鐵、銀) / 哈巴魯東邊洞窟B1(17,6)(14,15)(亞村側) / 崩壞的入口B2全域 / 布拉基姆高地(160,152)","維諾亞洞窟B1(47,70)(45,70)(法蘭側)附近 / 哈巴魯東邊洞窟B1(17,6)(14,15)(亞村側)","法蘭城米克爾工房(106,61)交換純銀(27,6) / 阿凱魯法村阿凱魯法工房(157,208)交換純銀(18,15) / 艾夏島武器工房(144,120)畫廊(28,21)交換純銀(37,48)",,20個34G,/img/採集/純銀.gif
5,金,礦石類,"維諾亞洞窟B1(53,9) / 維諾亞洞窟B1(55,10)(50,10)(50,11)(鐵) / 維諾亞洞窟B2(61,40)(銀) / 維諾亞洞窟小路(20,37)附近 / 哈巴魯東邊洞窟B1(42,10)(亞村側) / 伊利斯礦山(28,72)附近(米村側)","莎蓮娜海洞進去的樓梯附近 / 伊利斯礦山(28,72)附近(米村側)","法蘭城米克爾工房(106,61)交換金(24,5) / 阿凱魯法村阿凱魯法工房(157,208)交換金(16,12) / 艾夏島武器工房(144,120)畫廊(28,21)交換金(39,49)",,20個41G,/img/採集/金.gif
6,白金,礦石類,"維諾亞洞穴B1(8,69)(9,70)附近(法蘭側) / 莎蓮娜海洞B1(11,21)(聖村側)","莎蓮娜海洞往B2的樓梯附近 / 維諾亞洞穴B1(8,69)附近(法蘭側)","法蘭城米克爾工房(106,61)交換白金(30,7) / 阿凱魯法村阿凱魯法工房(157,208)交換白金(10,9) / 艾夏島武器工房(144,120)畫廊(28,21)交換白金(40,44)",,20個51G,/img/採集/白金.gif
