捲軸道具,兌換道具數量,兌換物品
法蘭城的傳送卷,100,捲軸商人寶箱*1
蒂娜村的傳送卷,100,捲軸商人寶箱*1
魔法大學的傳送卷,100,捲軸商人寶箱*1
阿凱魯法村傳送卷,100,捲軸商人寶箱*1
哥拉爾鎮傳送卷,100,捲軸商人寶箱*1
雷克塔爾鎮傳送卷,100,捲軸商人寶箱*1
坎那貝拉村的傳送卷,100,捲軸商人寶箱*1
塔布基爾村捲軸,100,捲軸商人寶箱*1
精靈城捲軸,100,捲軸商人寶箱*1
布倫尼亞村捲軸,100,捲軸商人寶箱*1
娜迦村捲軸,100,捲軸商人寶箱*1
白砂村捲軸,100,捲軸商人寶箱*1
寶箱道具,兌換物品數量,兌換物品機率
夜魔蝙蝠召喚書,1,1%
人魔草扭蛋娃娃,1,2%
水晶幣倍數調換卡,1,3%
聖遺物材料包,1,3%
派送調換信,1,3%
失落的聖劍器靈,1,4%
失落的聖斧器靈,1,4%
失落的聖槍器靈,1,4%
失落的聖弓器靈,1,4%
失落的聖杖器靈,1,4%
失落的聖標器靈,1,4%
失落的聖刀器靈,1,4%
失落的聖盔器靈,1,4%
失落的聖帽器靈,1,4%
失落的聖鎧器靈,1,4%
失落的聖衣器靈,1,4%
失落的聖袍器靈,1,4%
失落的聖靴器靈,1,4%
失落的聖鞋器靈,1,4%
失落的聖盾器靈,1,4%
桐木,1,4%
羊脂花,1,7%
弗羅爾達礦,1,7%
櫻桃,1,7%
