產物,底寵,改造圖,NPC,座標,前置任務
改造貓妖,貓妖,ABCDE,寵物改造研究員,寵物改造研究所 14.8,
改造赤熊,赤熊,ABCDE,寵物改造研究員,寵物改造研究所 14.8,
改造地獄骷髏,地獄骷髏,ABCDE,寵物改造研究員,寵物改造研究所 14.8,
改造水藍菇,水藍菇,ABCDE,寵物改造研究員,寵物改造研究所 14.8,
改造迷你石像怪,迷你石像怪,ABCDE,寵物改造研究員,寵物改造研究所 14.8,
改造樹精,樹精,ABC,雀兒普,,殲滅改造殭屍
改造黃蠍,黃蠍,ABC,雀兒普,,殲滅改造殭屍
改造掃把蝙蝠,掃把蝙蝠,ABCD,雀兒普,,殲滅改造殭屍
禁地妖花,妖花,ABCD,雀兒普,,殲滅改造殭屍
深淵武裝骷髏,武裝骷髏,ABCDE,雀兒普,,殲滅改造殭屍
改造烈風哥布林,烈風哥布林,ABCDE,雀兒普,,殲滅改造殭屍
荒漠兔耳仙人掌,兔耳仙人掌,ABC,雀兒普,,殲滅改造殭屍
改造殭屍,殭屍,ABC,香蒂,,殲滅改造殭屍
夜行貓人,貓人,ABC,香蒂,,殲滅改造殭屍
改造水蜘蛛,水蜘蛛,ABCD,香蒂,,殲滅改造殭屍
迷幻歌妖,幻歌妖,ABCDE,香蒂,,殲滅改造殭屍
改造陰影,兔耳嚇人箱,ABCDE,香蒂,,殲滅改造殭屍
改造綠色口臭鬼,綠色口臭鬼,ABCDE,香蒂,,殲滅改造殭屍
墮落惡魔螃蟹,惡魔螃蟹,ABCD,香蒂,,殲滅改造殭屍
