階段,晉階,前一階級,職業群,適用職業,技能需求,等級需求,需求稱號,任務,路線,連結,備註
1,正職,見習,戰鬥系（看專職技能）,格鬥家 / 忍者 / 傳教士 / 巫師 / 封印師 / 飼養師 / 馴獸師,R4,-,呢喃的歌聲,樹精長老,,,
1,正職,見習,戰鬥系（看人物等級）,劍士 / 戰斧鬥士 / 騎士 / 弓箭手 / 士兵 / 魔術師 / 咒術師 / 刀客,-,20,呢喃的歌聲,樹精長老,,,刀客是永恆初心新增職業、原表未收錄，此處比照武器職業列在等級組，待實測確認
1,正職,見習,服務系（醫生、護士）,醫生 / 護士,R4,-,刻於新月之銘,樹精長老,,,稱號走生產系那一軌，但晉階任務跟戰鬥系一起
1,正職,見習,生產、採集與服務,樵夫 / 獵人 / 礦工 / 藥劑師 / 廚師 / 武器修理師 / 防具修理師 / 鑑定師 / 御法劍仙 / 小刀師傅 / 帽子師傅 / 投擲武器師傅 / 裁縫師傅 / 製靴師傅 / 製鞋師傅 / 造弓師傅 / 造斧師傅 / 造杖師傅 / 造槍師傅 / 造盾師傅 / 鍛刀工 / 鎧甲師傅 / 鑄劍師傅 / 長袍師傅 / 頭盔師傅,R4,-,刻於新月之銘,樹精長老 或 咖哩任務,,,打樹老或走三個村子解咖哩任務都可以
2,王宮,正職,戰鬥系（看專職技能）,格鬥家 / 忍者 / 傳教士 / 巫師 / 封印師 / 飼養師 / 馴獸師,R6,-,蒼之風雲,神獸,,,限定兩人以下打神獸，否則會放裝備破壞、即死技能
2,王宮,正職,戰鬥系（看人物等級）,劍士 / 戰斧鬥士 / 騎士 / 弓箭手 / 士兵 / 魔術師 / 咒術師 / 刀客,-,50,蒼之風雲,神獸,,,限定兩人以下打神獸，否則會放裝備破壞、即死技能
2,資深,正職,服務系（醫生、護士）,醫生 / 護士,R6,-,踏入神的領域,神獸,,,升的是資深不是王宮
2,資深,正職,生產、採集與服務,樵夫 / 獵人 / 礦工 / 藥劑師 / 廚師 / 武器修理師 / 防具修理師 / 鑑定師 / 御法劍仙 / 小刀師傅 / 帽子師傅 / 投擲武器師傅 / 裁縫師傅 / 製靴師傅 / 製鞋師傅 / 造弓師傅 / 造斧師傅 / 造杖師傅 / 造槍師傅 / 造盾師傅 / 鍛刀工 / 鎧甲師傅 / 鑄劍師傅 / 長袍師傅 / 頭盔師傅,R6,-,踏入神的領域,起司任務,,,還沒到資深條件也可以先去解任務，等條件到了再回去升階
3,師範,王宮,戰鬥系（看專職技能）,格鬥家 / 忍者 / 傳教士 / 巫師 / 封印師 / 飼養師 / 馴獸師,R8,-,歡喜的慈雨,雙王,,,可以用練功卷直接飛聖詔三，跳過前面繁雜的任務流程
3,師範,王宮,戰鬥系（看人物等級）,劍士 / 戰斧鬥士 / 騎士 / 弓箭手 / 士兵 / 魔術師 / 咒術師 / 刀客,-,70,歡喜的慈雨,雙王,,,可以用練功卷直接飛聖詔三，跳過前面繁雜的任務流程
3,御用,資深,服務系（醫生、護士）,醫生 / 護士,R8,-,神匠,雙王,,,升的是御用不是師範
3,御用,資深,生產、採集與服務,樵夫 / 獵人 / 礦工 / 藥劑師 / 廚師 / 武器修理師 / 防具修理師 / 鑑定師 / 御法劍仙 / 小刀師傅 / 帽子師傅 / 投擲武器師傅 / 裁縫師傅 / 製靴師傅 / 製鞋師傅 / 造弓師傅 / 造斧師傅 / 造杖師傅 / 造槍師傅 / 造盾師傅 / 鍛刀工 / 鎧甲師傅 / 鑄劍師傅 / 長袍師傅 / 頭盔師傅,R8,-,神匠,魔法大學,,,御用不能像資深那樣提早解，一定要技能 R8 加神匠稱號才進得去；御法劍仙的御用任務與其他職業不同
4,大師,師範,戰鬥系（看專職技能）,格鬥家 / 傳教士 / 巫師,R10,-,敬畏的寂靜,誓言之花,紅,/任務攻略/專屬任務/s階提升任務,解第一次取得晉階資格，S 階後再解第二次可拿到第 11 格技能欄
4,大師,師範,戰鬥系（看人物等級）,劍士 / 戰斧鬥士 / 騎士 / 弓箭手 / 魔術師 / 咒術師 / 刀客,-,95,敬畏的寂靜,誓言之花,紅,/任務攻略/專屬任務/s階提升任務,解第一次取得晉階資格，S 階後再解第二次可拿到第 11 格技能欄
4,大師,師範,戰鬥系（看專職技能）,忍者 / 封印師 / 飼養師 / 馴獸師,R10,-,敬畏的寂靜,誓言之花,藍,/任務攻略/專屬任務/s階提升任務,解第一次取得晉階資格，S 階後再解第二次可拿到第 11 格技能欄
4,大師,師範,戰鬥系（看人物等級）,士兵,-,95,敬畏的寂靜,誓言之花,藍,/任務攻略/專屬任務/s階提升任務,解第一次取得晉階資格，S 階後再解第二次可拿到第 11 格技能欄
4,名師,御用,服務系（醫生、護士）,醫生 / 護士,R10,-,萬物創造者,誓言之花,藍,/任務攻略/專屬任務/s階提升任務,解第一次取得晉階資格，S 階後再解第二次可拿到第 11 格技能欄
4,名師,御用,生產、採集與服務,樵夫 / 獵人 / 礦工 / 鑑定師 / 武器修理師 / 防具修理師 / 御法劍仙 / 藥劑師 / 廚師,R10,-,萬物創造者,誓言之花,黃,/任務攻略/專屬任務/s階提升任務,藥劑師與廚師解第一次還會一併拿到 11 級配方
4,名師,御用,生產、採集與服務,小刀師傅 / 帽子師傅 / 投擲武器師傅 / 裁縫師傅 / 製靴師傅 / 製鞋師傅 / 造弓師傅 / 造斧師傅 / 造杖師傅 / 造槍師傅 / 造盾師傅 / 鍛刀工 / 鎧甲師傅 / 鑄劍師傅 / 長袍師傅 / 頭盔師傅,R10,-,萬物創造者,誓言之花,綠,/任務攻略/專屬任務/s階提升任務,武防製造職業解第一次還會一併拿到 11 級配方
