分組,地點,對象等級,副標,角色等級,聲望,地點備註,連結
競技場,吉拉,23,,1~52,+70/場,,
競技場,吉拉,23,,53,+20/場,,
競技場,吉拉,23,,54~107,+10/場,,
競技場,吉拉,23,,108 以上,無聲望,,
競技場,巴雷莉,26,有寵,1~55,+80/場,寵也要親手殺死才有 +10（滿額 +80），沒殺到寵只有 +70,
競技場,巴雷莉,26,有寵,56~58,+70/場,,
競技場,巴雷莉,26,有寵,59~107,+20/場,,
競技場,巴雷莉,26,有寵,108~119,+10/場,,
競技場,巴雷莉,26,有寵,120 以上,無聲望,,
競技場,伊魯瑪,29,有寵,1~61,+80/場,寵也要親手殺死才有 +10（滿額 +80），沒殺到寵只有 +70,
競技場,伊魯瑪,29,有寵,62~64,+70/場,,
競技場,伊魯瑪,29,有寵,65~115,+20/場,,
競技場,伊魯瑪,29,有寵,116~131,+10/場,,
競技場,伊魯瑪,29,有寵,132 以上,無聲望,,
競技場,伊佐塔,32,有寵,1~67,+80/場,寵也要親手殺死才有 +10（滿額 +80），沒殺到寵只有 +70,
競技場,伊佐塔,32,有寵,68~70,+70/場,,
競技場,伊佐塔,32,有寵,71~127,+20/場,,
競技場,伊佐塔,32,有寵,128~143,+10/場,,
競技場,伊佐塔,32,有寵,144 以上,無聲望,,
競技場,伍那,35,有寵,1~71,+80/場,寵也要親手殺死才有 +10（滿額 +80），沒殺到寵只有 +70,
競技場,伍那,35,有寵,72~76,+70/場,,
競技場,伍那,35,有寵,77~135,+20/場,,
競技場,伍那,35,有寵,136~155,+10/場,,
競技場,伍那,35,有寵,156 以上,無聲望,,
競技場,石雄,41,血量約 1600,1~88,+70/場,,
競技場,石雄,41,血量約 1600,89~155,+20/場,,
競技場,石雄,41,血量約 1600,156~179,+10/場,,
競技場,石雄,41,血量約 1600,180 以上,無聲望,,
練功地點,里洞,20~24,刷有效怪,92~111,+10/隻,,/推薦練功攻略
練功地點,里洞,20~24,刷有效怪,112 以上,無聲望,,/推薦練功攻略
