職業系,行為,聲望,備註
共通,每日登入獎勵,+100,每日 1 次；在線一段時間後登出再登入領取
共通,戰鬥勝利,+10,條件：怪物等級 ≥ 自己等級 ÷ 2 − 3（捨去小數）；實測連沒出手的隊員也有
共通,打死怪（每隻）,+10,條件：怪物等級 ≥ 自己等級 ÷ 4 − 3（捨去小數），不符合則無聲望；合擊擊殺拿不到這份
共通,打死王,+60,＝王加成 50 ＋ 有效怪擊殺 10。王加成條件：王的平均等級 ≥ 自己等級 ÷ 2 − 3（捨去小數），超過門檻即消失；合擊或隊友擊殺拿不到這份
共通,戰鬥中逃跑或登出,−10,
共通,戰鬥中死亡,−10,
共通,轉職、回復遊民,歸零,永恆初心不保留聲望上限（官方客服回覆）
戰鬥系,使用專技,+10,打卡 +40 的技能每次施放 +10；明鏡止水、崩擊、混亂攻擊無聲望
寵物系,封印成功（封印師）,+70,沒抓到沒有聲望
寵物系,參加戰鬥（馴獸師、飼養師）,+10,不出手也有
法術系,使用攻擊魔法（魔術師）,+0.5,實測僅確認魔術師；法術職業的戰鬥聲望照共通規則
生產與採集,武器防具製造,+50,
生產與採集,料理製造,+20,
生產與採集,藥水製造,+20,巴哈實測值（蔚藍幻境舊表為 +2）
生產與採集,修理成功,+40,
生產與採集,鑑定成功,+50,
生產與採集,治療成功（醫生）,+100,
生產與採集,急救（護士）,+8,含失敗
生產與採集,採集成功,+2,含 MISS
