腕輪職業,兌換娃娃地點,腕輪屬性,專屬稱號,腕輪效果
劍士,狂奔鳥:雷鎮 利牙:戰鬥系3階扭蛋機 大地翼龍:法蘭城/伊爾村/維村/烏克蘭/亞村/聖村 變異龍祖:盲盒,魔力+100；閃躲+15；敏捷+30；抗石化+10；抗酒醉+10；,劍豪之道,/
戰斧,岩怪:米諾基亞村 巨牙:戰鬥系3階扭蛋機 寒冰翼龍:傑村/蒂娜村(白天/晚上)/魔大/阿巴 雷獸:盲盒,魔力+150；命中+15；防禦+20；抗混亂+10；抗遺忘+10；,狂戰士,/
騎士,爆岩:魯米那斯村 顎牙:戰鬥系3階扭蛋機 火焰翼龍:亞城/摩頓村/尼維爾海村/克瑞村/雷村 懷舊樹精:盲盒,生命+200；回復+20；必殺+10命中+10；抗昏睡+10；抗毒+10；,騎士精神,/
弓箭手,火焰啄木鳥:哥拉爾鎮 骷髏戰士:戰鬥系3階扭蛋機 烈風翼龍:哥拉爾鎮/魯米那斯村/米諾基亞村/雷鎮 櫻花螳螂:盲盒,生命+100；魔力+100；敏捷+30；命中+15；抗混亂+10；,鷹眼,/
士兵,巨蝙蝠:雷村 地獄骷髏:戰鬥系3階扭蛋 大地翼龍:法蘭城/伊爾村/維村/烏克蘭/亞村/聖村 黑暗水龍蜥:盲盒,生命+150；魔力+150；攻擊+10；回復+10；防禦+20魔防+20；敏捷+10；精神+10；魔攻+100；閃躲+5；必殺+5；命中+5；反擊+5；,兵魂傳承,/
格鬥,掘地蟲:坎村 武裝骷髏:戰鬥系3階扭蛋機 寒冰翼龍:傑村/蒂娜村(白天/晚上)/魔大/阿巴 小白龍:盲盒,攻擊力+100；必殺+10；命中+10；,武魂鬥士,/
忍者,黃金螃蟹:烏克蘭 利牙:戰鬥系3階扭蛋機 火焰翼龍:亞城/摩頓村/尼維爾海村/克瑞村/雷村 祥雲寶寶:盲盒,生命+100；防禦+100；魔防+150；敏捷+60；閃躲+15；,死神之鐮,/
法師,蜥蜴鬥士:雷村 巨牙:戰鬥系3階扭蛋機 烈風翼龍:哥拉爾鎮/魯米那斯村/米諾基亞村/雷鎮 石像魔王:盲盒,生命+200；閃躲+10；防禦+50；回復+20；,暗黑魔導師,/
巫師,惡夢鼠:傑村/蒂娜村(白天/晚上)/魔大/阿巴 顎牙:戰鬥系3階扭蛋機 山飛甲:哥拉爾/魯米那斯村/米諾基亞村/雷鎮 粉紅炸彈:盲盒,魔力+200；魔防+100；抗石化+5；抗遺忘+10；抗混亂+15；抗毒+10；抗昏睡+10；抗酒醉+15；,見習巫師露比,/
傳教,綠色口臭鬼:尼維爾海村 骷髏戰士:戰鬥系3階扭蛋機 獨角獸:寶石鼠+火焰鼠+虎人(哥鎮NPC兌換) 劇毒螃蟹:盲盒,生命+100；魔力+200；魔防+100；抗遺忘+15；抗昏睡+15；,教皇分身,/
