技能等級,製作1,製作2,製作3,製作4,製作5,製作6,製作7,製作8,製作9,製作10,製作11,所需經驗,仙術練成所需經驗
1,20,37,-,-,-,-,-,-,-,-,-,0,0
2,18,37,53,-,-,-,-,-,-,-,-,1800,18000
3,17,35,53,67,-,-,-,-,-,-,-,7200,40000
4,16,33,50,67,79,-,-,-,-,-,-,19800,66000
5,15,31,47,63,79,89,-,-,-,-,-,45000,96000
6,14,29,44,59,74,89,97,-,-,-,-,82800,130000
7,13,27,41,55,69,83,97,103,-,-,-,133200,168000
8,12,25,38,51,64,77,90,103,107,-,-,183600,210000
9,11,23,35,47,59,71,83,95,107,109,-,246600,256000
10,10,21,32,43,54,65,76,87,98,109,109,322200,348000
11,9,19,29,39,49,59,69,79,89,99,109,397800,348000
