等級,名稱,材料,能力,說明,販店價,image,初心專屬
1,皮靴,銅條(7)、鹿皮(20),防禦+8~+15 抗魔+1~+3,皮做的靴。,250,/img/防具/皮靴.gif,
1,軟皮靴,鹿皮(20)、麻布(4),防禦+5~+10 抗魔+3~+5,以柔軟素材做的靴。,220,/img/防具/軟皮靴.gif,
2,硬皮靴,銅條(5)、鹿皮(20)、木棉布(4),防禦+10~+19 抗魔+6~+10,用硬又結實的皮做的靴。,300,/img/防具/硬皮靴.gif,
2,長靴,銅條(3)、鹿皮(20)、麻布(3)、木棉布(3)、毛氈(3),防禦+13~+24 抗魔+2~+6,比普通做的較長的靴。,370,/img/防具/長靴.gif,
3,厚底靴,印度輕木(20)、鹿皮(20)、麻布(8)、木棉布(4)、毛氈(3),防禦+17~+29 抗魔+9~+15,靴底厚又保暖。,440,/img/防具/厚底靴.gif,
3,編織的靴子,樅(20)、鹿皮(20)、麻布(5)、毛氈(9)、棉(2),防禦+20~+34 抗魔+3~+9,以結實的繩子綁幾層的靴。,520,/img/防具/皮靴.gif,
4,鎖鍊長靴,鐵條(6)、銀條(6)、麻布(6)、棉(3),防禦+25~+38 抗魔+12~+20,綁金屬網，加強的長統靴。,600,/img/防具/鎖鍊長靴.gif,
4,鎖鍊靴,鐵條(8)、銀條(3)、純銀條(3)、毛氈(3)、細線(3),防禦+28~+43 抗魔+4~+12,綁鐵網，加強的長統靴。,650,/img/防具/鎖鍊靴.gif,
5,蜥蝪長靴,純銀條(5)、金條(4)、棉(5)、細線(5),防禦+37~+53 抗魔+5~+15,鯪形金屬片疊起來做的長筒靴。,1100,/img/防具/鎖鍊長靴.gif,
5,蜥蝪靴,鐵條(10)、金條(5)、毛氈(3)、棉(3),防禦+34~+48 抗魔+15~+25,菱形金屬片疊起來做的靴。,1000,/img/防具/蜥蝪靴.gif,
5,防護靴,鐵條(4)、鋁條(3)、金條(2)、細線(3)、絹布(3),防禦+16~+20 必殺+6 閃躲-5 抗魔+1~+10,能夠在戰鬥中確保退路的厚重靴子。,??,/img/防具/防護靴.gif,
6,鋼製長靴,銀條(8)、純銀條(7)、白金條(7),防禦+47~+62 抗魔+6~+18,鋼鐵製長筒靴。,1400,/img/防具/鋼製長靴.gif,
6,鋼靴,鐵條(20)、白金條(5),防禦+43~+57 抗魔+18~+30,鋼鐵製靴。,1300,/img/防具/鋼靴.gif,
7,水晶靴,鐵條(10)、金條(8)、幻之鋼條(5),防禦+54~+72 抗魔+21~+35,以水晶做的靴。,1450,/img/防具/水晶靴.gif,
7,水龍之靴,破爛的靴子(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),防禦+100 魔力+150 必殺+5 命中+5 耐久200,寄宿有海神的魔力的靴子。,無法販售,/img/防具/水龍之靴.gif,
7,銀靴,金條(5)、白金條(5)、幻之鋼條(7)、鋼騎之礦(1),防禦+50~+67 敏捷+10 抗睡+8 抗魔+12,有銀裝飾的靴。,1450,/img/防具/銀靴.gif,
8,標準長靴+,幻之銀條(10)、阿巴尼斯製的線(20)、阿巴尼斯製的布(5)、永久冰石(20)、藍龍之鱗(20),防禦+55~+75 閃躲+1~+3 抗魔+8~+24 耐久170~+220 生產系晉升任務Ⅲ,以水晶做的靴。,1450,/img/防具/水晶靴.gif,
8,流水之靴,鐵條(4)、純銀條(4)、幻之銀條(5)、莎蓮娜線(5),防禦+61~+81 抗魔+24~+40,受火之力量保護的靴。,1500,/img/防具/流水之靴.gif,
8,芙蕾雅之靴,幻之鋼條(10)、幻之銀條(5)、莎蓮娜線(5)、火焰之魂(1),防禦+30 必殺+4 反擊+4 抗魔+16,火屬性的靴。,1500,/img/防具/芙蕾雅之靴.gif,
9,鑽石長靴,幻之銀條(10)、勒格耐席鉧條(5)、隕石(1)、鋼騎之礦(2),防禦+80 必殺+3 反擊+3 命中+2 抗魔+18,鑽石做的，結實靴。,2400,/img/防具/鑽石長靴.gif,
9,鑽石靴,白金條(5)、幻之鋼條(5)、勒格耐席鉧條(4)、傑諾瓦線(5),防禦+78~+91 抗魔+27~+45,鑽石做的，非常強固的靴。,2200,/img/防具/鑽石靴.gif,
10,秘密之靴,金條(5)、幻之鋼條(5)、奧利哈鋼條(5)、細麻布(5),防禦+85~+100 抗魔+40~+50,腳邊不起眼的裝飾品。,4000,/img/防具/秘密之靴.gif,
10,龍之靴,勒格耐席鉧條(5)、奧利哈鋼條(8)、鋼騎之礦(5)、誓言之證(1),防禦+85 敏捷+15 命中+3 閃躲+3 抗魔+15,以龍的鱗片完成的靴。,4800,/img/防具/龍之靴.gif,
11A,沼澤之靴,奧利哈鋼條(5)、弗羅爾達礦條(10)、特勞倫之線(5)、風龍蜥的甲殼(5),防禦+90~104、魔防+46~55,,,,是
11B,聖殿長靴,桐木(40)、鋼騎之礦(3)、喜馬拉斯礦條(10)、誓言之證(2)、弗羅爾達礦條(10),防禦+24~108、回復+2~6、生命+12~153、魔防+9~52,,,,是
12A,藍晶石重靴,奧利哈鋼條(10)、喜馬拉斯礦條(10)、弗羅爾達礦條(10)、幽冥礦條(5),防禦+96~113、魔防+49~58、生命+2~14,,,,是
12B,碎鋼之牙：伽藍,海靈草(20)、鋼騎之礦(5)、失落的聖靴器靈(1)、幽冥礦條(10)、深海的水晶(3),防禦+33~126、回復+2~11、生命+12~262、魔防+9~52、必殺+1~4、命中-(1~5)、閃躲-11~+3,,,,是
