等級,名稱,材料,能力,說明,販店價,image,初心專屬
1A,月影刃(雙手),海洋變異能量塊2、銅條4、印度輕木20,攻擊+25~+31、必殺+3~+4、命中-2~-5,,,,是
2A,彤刀(雙手),海洋變異能量塊3、鐵條8、銅條5,攻擊+25~+31、必殺+3~+4、命中-2~-5,,,,是
2B,凝露刀(雙手),海洋變異能量塊3、樅20、銀條5、鐵條8,攻擊+32~+48、防禦-13~-18、命中+3~+4,,,,是
3A,熾刀(雙手),海洋變異能量塊4、鐵條8、銅條6,攻擊+64~+74、回復+3、反擊-3~-4,,,,是
3B,飄渺刀(雙手),海洋變異能量塊4、銀條8、純銀條6、黃月木20,攻擊+61~+78、防禦-13~-18、反擊+2~+5,,,,是
4A,湛雲刀(雙手),海洋變異能量塊5、鐵條7、銀條5、樅20,攻擊+88~+102、必殺+5~+7、命中-3~-7,,,,是
4B,夜刀(雙手),海洋變異能量塊5、純銀條10、金條6、鐵杉20,攻擊+95~+126、防禦-15~-25、必殺+4,,,,是
5A,琉璃刃(雙手),海洋變異能量塊6、銀條7、純銀條6、黃月木20,攻擊+116~+133、敏捷-4~-5、閃躲+6~+7,,,,是
5B,嶄華(雙手),海洋變異能量塊6、金條10、白金條7、琵琶木20,攻擊+121~+157、防禦-29~-31、回復+3~+4,,,,是
6A,翡翠鋒(雙手),純銀條10、金條8、鐵杉20、琵琶木20、妖草的血1,攻擊+132~+164、必殺+4~+8、命中-4~-7,,,,是
6B,補遺刀(雙手),黑曜石1、白金條12、幻之鋼條7、琵琶木20、赤松20,攻擊+180、防禦-31、敏捷+6,,,,是
7A,緋弧刃(雙手),金條10、白金條10、琵琶木20、赤松20、鋼騎之礦1,攻擊+181、精神-8、反擊+9,,,,是
7B,馬彎刀(雙手),灰鑽石1、幻之鋼條12、幻之銀條8、赤松20、朴20,攻擊+203、防禦-33、閃躲+8,,,,是
8A,流川刀(雙手),白金條7、幻之鋼條8、赤松20、朴20、火焰之魂1,攻擊+191、必殺+10、命中-7,,,,是
8B,百刃(雙手),通靈珠1、幻之銀條14、勒格耐席鉧條8、朴20、杉20,攻擊+239、防禦-26、必殺+7,,,,是
9A,樸歸刀(雙手),幻之鋼條9、幻之銀條10、朴20、杉20、鋼騎之礦2,攻擊+199、敏捷+12、閃躲-9,,,,是
9B,華刃(雙手),黑曜石3、勒格耐席鉧條14、奧利哈鋼條9、杉20、絲柏20,攻擊+227、防禦-42、命中+5(燕斬耗魔-20%),,,,是
10A,晶刀(雙手),幻之銀條10、勒格耐席鉧條8、杉20、絲柏20、誓言之證2,攻擊+236、必殺+8、命中-10,,,,是
10B,月華斬(雙手),灰鑽石3、奧利哈鋼條16、魔族的水晶9、絲柏20、梣20,攻擊+256、防禦-31、閃躲+12,,,,是
11A,冰心刀(雙手),風龍蜥的甲殼2、絲柏20、梣20、奧利哈鋼條10、勒格耐席鉧條10,攻擊+349、回復+9、反擊-14,,,,是
11B,碧月刀(雙手),通靈珠3、白狼蛛絲20、梣20、幽冥礦條10、魔族的水晶16,攻擊+362、防禦-41、回復+7、耐久143,,,,是
12A,丹心刀(雙手),鋼騎之礦4、白狼蛛絲20、梣20、魔族的水晶10、幽冥礦條6,攻擊257~312、必殺7~15、命中-7~-15,,,,是
12B,盪月刀(雙手),失落的太刀器靈1、白狼蛛絲20、深海的水晶5、烏鐵木10、幽冥礦條18,攻擊298~368、防禦-30~-60、敏捷7~14、生命+（11~168）、反擊-3~+15,,,,是
