技能,適用,分類,最高等級,備註
連擊,人物,戰鬥攻擊技能,15,
諸刃,人物,戰鬥攻擊技能,12,
反擊,人物,戰鬥攻擊技能,12,
崩擊,人物,戰鬥攻擊技能,12,
亂射,人物,戰鬥攻擊技能,12,
毒擊,人物,戰鬥攻擊技能,12,
氣功彈,人物,戰鬥攻擊技能,12,
乾坤一擲,人物,戰鬥攻擊技能,12,
混亂攻擊,人物,戰鬥攻擊技能,10,
因果報應,人物,戰鬥攻擊技能,12,
陽炎,人物,戰鬥防禦技能,12,
護衛,人物,戰鬥防禦技能,12,
聖盾,人物,戰鬥防禦技能,12,
攻擊魔法防禦,人物,戰鬥防禦技能,12,
暗殺,人物,戰鬥輔助技能,12,
戰慄襲心,人物,戰鬥輔助技能,12,
明鏡止水,人物,戰鬥輔助技能,12,
石化抵抗,人物,戰鬥輔助技能,12,
遺忘抵抗,人物,戰鬥輔助技能,12,
混亂抵抗,人物,戰鬥輔助技能,12,
酒醉抵抗,人物,戰鬥輔助技能,12,
中毒抵抗,人物,戰鬥輔助技能,12,
昏睡抵抗,人物,戰鬥輔助技能,12,
隕石魔法,人物,屬性攻擊魔法,12,
冰凍魔法,人物,屬性攻擊魔法,12,
火焰魔法,人物,屬性攻擊魔法,12,
風刃魔法,人物,屬性攻擊魔法,12,
吸血魔法,人物,屬性攻擊魔法,12,
強力隕石魔法,人物,屬性攻擊魔法,12,
強力冰凍魔法,人物,屬性攻擊魔法,12,
強力火焰魔法,人物,屬性攻擊魔法,12,
強力風刃魔法,人物,屬性攻擊魔法,12,
超強隕石魔法,人物,屬性攻擊魔法,12,
超強冰凍魔法,人物,屬性攻擊魔法,12,
超強火焰魔法,人物,屬性攻擊魔法,12,
超強風刃魔法,人物,屬性攻擊魔法,12,
精神衝擊波,人物,屬性攻擊魔法,12,
石化魔法,人物,狀態變化魔法,12,
遺忘魔法,人物,狀態變化魔法,12,
混亂魔法,人物,狀態變化魔法,12,
酒醉魔法,人物,狀態變化魔法,12,
中毒魔法,人物,狀態變化魔法,12,
昏睡魔法,人物,狀態變化魔法,12,
強力石化魔法,人物,狀態變化魔法,12,
強力遺忘魔法,人物,狀態變化魔法,12,
強力混亂魔法,人物,狀態變化魔法,12,
強力酒醉魔法,人物,狀態變化魔法,12,
強力中毒魔法,人物,狀態變化魔法,12,
強力昏睡魔法,人物,狀態變化魔法,12,
超強石化魔法,人物,狀態變化魔法,12,
超強遺忘魔法,人物,狀態變化魔法,12,
超強混亂魔法,人物,狀態變化魔法,12,
超強酒醉魔法,人物,狀態變化魔法,12,
超強中毒魔法,人物,狀態變化魔法,12,
超強昏睡魔法,人物,狀態變化魔法,12,
大地的祈禱,人物,狀態變化魔法,12,
海洋的祈禱,人物,狀態變化魔法,12,
火焰的祈禱,人物,狀態變化魔法,12,
雲群的祈禱,人物,狀態變化魔法,12,
屬性反轉,人物,狀態變化魔法,12,
補血魔法,人物,戰鬥輔助魔法,12,
強力補血魔法,人物,戰鬥輔助魔法,12,
超強補血魔法,人物,戰鬥輔助魔法,12,
氣絕回復,人物,戰鬥輔助魔法,12,
潔淨魔法,人物,戰鬥輔助魔法,10,
恢復魔法,人物,戰鬥輔助魔法,12,
強力恢復魔法,人物,戰鬥輔助魔法,12,
超強恢復魔法,人物,戰鬥輔助魔法,12,
攻擊吸收,人物,戰鬥輔助魔法,12,
魔法吸收,人物,戰鬥輔助魔法,12,
攻擊反彈,人物,戰鬥輔助魔法,12,
魔法反彈,人物,戰鬥輔助魔法,12,
攻擊無效,人物,戰鬥輔助魔法,12,
魔法無效,人物,戰鬥輔助魔法,12,
鑑定,人物,其他特殊技能,12,
治療,人物,其他特殊技能,12,
急救,人物,其他特殊技能,12,
調教,人物,其他特殊技能,12,
刻印,人物,其他特殊技能,1,
武器修理,人物,其他特殊技能,12,
防具修理,人物,其他特殊技能,12,
寵物強化,人物,其他特殊技能,12,
精靈的盟約,人物,其他特殊技能,10,
伐木體驗,人物,生產製作技能,1,
狩獵體驗,人物,生產製作技能,1,
挖掘體驗,人物,生產製作技能,1,
鍛造體驗,人物,生產製作技能,1,
伐木,人物,生產製作技能,12,
狩獵,人物,生產製作技能,12,
挖掘,人物,生產製作技能,12,
製藥,人物,生產製作技能,12,
料理,人物,生產製作技能,12,
鑄劍,人物,生產製作技能,12,
造槍,人物,生產製作技能,12,
造斧,人物,生產製作技能,12,
造杖,人物,生產製作技能,12,
造弓,人物,生產製作技能,12,
造小刀,人物,生產製作技能,12,
造投擲武器,人物,生產製作技能,12,
造頭盔,人物,生產製作技能,12,
造帽子,人物,生產製作技能,12,
造鎧甲,人物,生產製作技能,12,
製衣服,人物,生產製作技能,12,
造長袍,人物,生產製作技能,12,
造靴子,人物,生產製作技能,12,
造鞋子,人物,生產製作技能,12,
造盾,人物,生產製作技能,12,
裂空斬,人物,戰鬥攻擊技能,12,
飛刃亂舞,人物,戰鬥攻擊技能,12,
聖騎之譽,人物,戰鬥防禦技能,12,
隔山打牛,人物,戰鬥攻擊技能,12,
魔法屏障,人物,戰鬥輔助魔法,12,
混亂衝擊波,人物,狀態變化魔法,12,
潛龍殺,人物,戰鬥攻擊技能,12,
必殺狙擊,人物,戰鬥攻擊技能,12,
突襲之舞,人物,戰鬥攻擊技能,12,
劇毒攻,人物,戰鬥攻擊技能,12,
燕斬,人物,戰鬥攻擊技能,12,
鋒上魂,人物,戰鬥攻擊技能,12,
嘲諷,人物,戰鬥防禦技能,12,
鬥志昂揚魔法,人物,戰鬥輔助魔法,10,
心眼,人物,戰鬥輔助技能,10,
月讀,人物,其他特殊技能,12,
砂之鎧,人物,戰鬥防禦技能,12,
一擊必中,人物,戰鬥攻擊技能,12,LV11/12 為線性推算
一石二鳥,人物,戰鬥攻擊技能,12,LV11/12 為線性推算
偷竊,人物,其他特殊技能,12,LV11/12 為線性推算
啪啦啪啦舞,人物,戰鬥輔助技能,12,LV11/12 為線性推算
戒驕戒躁,人物,戰鬥攻擊技能,12,LV11/12 為線性推算
捷舞,人物,戰鬥輔助技能,12,LV11/12 為線性推算
炸彈轉化,人物,生產製作技能,12,LV11/12 為線性推算
物品鑑定,人物,生產製作技能,10,
羊頭狗肉,人物,戰鬥輔助技能,12,LV11/12 為線性推算
虛死為上,人物,戰鬥輔助技能,12,LV11/12 為線性推算
裝飾,人物,其他特殊技能,12,LV11/12 為線性推算
變裝,人物,其他特殊技能,12,LV11/12 為線性推算
變身,人物,其他特殊技能,10,
跳舞,人物,戰鬥輔助技能,12,LV11/12 為線性推算
迅速果斷,人物,戰鬥攻擊技能,12,LV11/12 為線性推算
追月,人物,戰鬥攻擊技能,12,LV11/12 為線性推算
飾品鑄造,人物,生產製作技能,12,LV11/12 為線性推算
騎乘,人物,戰鬥輔助技能,12,LV11/12 為線性推算
騎士之譽,人物,戰鬥防禦技能,12,LV11/12 為線性推算
黏巴達舞,人物,戰鬥輔助技能,12,LV11/12 為線性推算
攻擊,寵物,寵物一般技能,,
防禦,寵物,寵物一般技能,,
攻擊魔法防禦,寵物,寵物一般技能,,
什麼也不做,寵物,寵物一般技能,,
定點移動,寵物,寵物一般技能,,
寵物郵件,寵物,寵物一般技能,,
寵物散步,寵物,寵物一般技能,,
連擊,寵物,寵物戰鬥技能,5,
諸刃,寵物,寵物戰鬥技能,5,
乾坤一擲,寵物,寵物戰鬥技能,5,
崩擊,寵物,寵物戰鬥技能,5,
陽炎,寵物,寵物戰鬥技能,5,
反擊,寵物,寵物戰鬥技能,5,
戰慄襲心,寵物,寵物戰鬥技能,5,
護衛,寵物,寵物戰鬥技能,5,
聖盾,寵物,寵物戰鬥技能,5,
明鏡止水,寵物,寵物戰鬥技能,5,
隕石魔法,寵物,寵物魔法技能,9,
冰凍魔法,寵物,寵物魔法技能,9,
火焰魔法,寵物,寵物魔法技能,9,
風刃魔法,寵物,寵物魔法技能,9,
強力隕石魔法,寵物,寵物魔法技能,9,
強力冰凍魔法,寵物,寵物魔法技能,9,
強力火焰魔法,寵物,寵物魔法技能,9,
強力風刃魔法,寵物,寵物魔法技能,9,
毒性攻擊,寵物,狀態攻擊技能,5,
昏睡攻擊,寵物,狀態攻擊技能,5,
石化攻擊,寵物,狀態攻擊技能,5,
酒醉攻擊,寵物,狀態攻擊技能,5,
混亂攻擊,寵物,狀態攻擊技能,5,
遺忘攻擊,寵物,狀態攻擊技能,5,
吸血攻擊,寵物,狀態攻擊技能,5,
抗毒性,寵物,狀態抵抗技能,5,
抗昏睡,寵物,狀態抵抗技能,5,
抗石化,寵物,狀態抵抗技能,5,
抗酒醉,寵物,狀態抵抗技能,5,
抗混亂,寵物,狀態抵抗技能,5,
抗遺忘,寵物,狀態抵抗技能,5,
