等級,物品名稱,分類,一般採集地點,建議採集地點,相關資料,販店價,image
體驗,鹿皮,食材類,"芙蕾雅島(654,247)","芙蕾雅島(654,247)",,20個17G,/img/採集/鹿皮.gif
體驗,傳說中的鹿皮,食材類,"芙蕾雅島(649,228)","芙蕾雅島(649,228)",,20個20G,/img/採集/傳說中的鹿皮.gif
1,鹿皮,食材類,"芙蕾雅島亞留特域(629,178)",,,20個17G,/img/採集/鹿皮.gif
1,蕃茄,食材類,芙蕾雅島、德威特島全域,"芙蕾雅島(495,191)、德威特島全域",,20個20G,/img/採集/蕃茄.gif
1,雞蛋,食材類,"芙蕾雅島法蘭城域(551,163)(番茄) / 索奇亞島奇利域(297,361) / 德威特島(384,342)(番茄)","索奇亞島奇利域(297,361)",,20個20G,/img/採集/雞蛋.gif
1,小麥粉,食材類,"芙蕾雅島伊爾域(724,235)(番茄) / 莎蓮娜島魔法大學裡面(24,92) / 米內葛爾島坎那貝拉域(616,378)","米內葛爾島坎那貝拉域(616,378) / ☆法蘭城科特利亞酒吧(219,136)內找恰普(24,9)以20個蕃茄交換1瓶蕃茄醬 / 利用蕃茄醬至亞諾曼城(192,108)食品店內的愛吃蕃茄醬的蕾娜(14,16)換得小麥粉",,20個20G,/img/採集/小麥粉.gif
2,蔥,食材類,"芙蕾雅島伊爾域(659,236)(番茄) / 庫魯克斯島哥拉爾域(333,465) / 布拉基姆高地(55,189) / 布拉基姆高地(68,195)(青椒)","布拉基姆高地(55,189)",,20個25G,/img/採集/蔥.gif
2,牛奶,食材類,"芙蕾雅島伊爾域(684,337)(番茄) / 莎蓮娜島魔法大學家畜小屋(55,140)裡面 / 米內葛爾島坎那貝拉域(635,388)","米內葛爾島坎那貝拉域(635,388)",,20個25G,/img/採集/牛奶.gif
2,青椒,食材類,"芙蕾雅島法蘭城域(592,287)(番茄) / 布拉基姆高地(68,195)(蔥)","芙蕾雅島法蘭城域(592,287)",,20個25G,/img/採集/青椒.gif
2,石鯛魚,食材類,"米內葛爾島坎那貝拉域(674,387)","米內葛爾島坎那貝拉域(674,387)",,20個25G,/img/採集/石鯛魚.gif
2,大豆,食材類,"法蘭城遺跡(111,54)","法蘭城遺跡(111,54)",,20個25G,/img/採集/大豆.gif
3,鹽,食材類,"芙蕾雅島伊爾域(693,341)(番茄) / 芙蕾雅島亞留特域(715,133)(709,178) / 索奇亞島奇利域(231,279)(297,388)(330,390) / 米內葛爾島坎那貝拉域(709,359)","芙蕾雅島亞留特域(715,133)",,20個29G,/img/採集/鹽.gif
3,醬油,食材類,"芙蕾雅島法蘭城域(501,163)(番茄) / 芙蕾雅島亞留特域(624,110) / 德威特島摩頓域(339,565) / 德威特島摩頓域(340,555) / 庫魯克斯島(477,531)(哥拉爾往魯村過橋後旁邊)","德威特島摩頓域(339,565)",,20個29G,/img/採集/醬油.gif
3,白菜,食材類,"梅布爾隘地(195,58)","梅布爾隘地(195,58)",,20個29G,/img/採集/白菜.gif
3,蟬蛻,食材類,"水曜之域(39,76)","水曜之域(39,76)",,20個29G,/img/採集/蟬蛻.gif
4,芹菜,食材類,"芙蕾雅島法蘭城域(498,56)(番茄) / 芙蕾雅島亞留特域(601,47)","芙蕾雅島亞留特域(601,47)",,20個34G,/img/採集/芹菜.gif
4,雞肉,食材類,"芙蕾雅島法蘭城域(436,44)(番茄) / 庫魯克斯島哥拉爾域(266,378) / 梅布爾隘地(197,153)(雞蛋)","庫魯克斯島哥拉爾域(266,378)",,20個34G,/img/採集/雞肉.gif
4,竹筍,食材類,"芙蕾雅島法蘭城域(514,196)(番茄) / 芙蕾雅島亞留特域(533,40) / 芙蕾雅島亞留特域(530,47)(番茄) / 法蘭城遺跡(135,117)","芙蕾雅島亞留特域(533,40)",,20個34G,/img/採集/竹筍.gif
4,海苔,食材類,"芙蕾雅島亞留特域(621,27) / 芙蕾雅島亞留特域(580,19) / 芙蕾雅島亞留特域(576,20)(番茄) / 索奇亞島奇利域(267,367) / 莎蓮娜島阿巴尼斯域(249,131)","芙蕾雅島亞留特域(621,27)",,20個34G,/img/採集/海苔.gif
4,竹莢魚,食材類,"芙蕾雅島伊爾域(608,308)(番茄) / 芙蕾雅島亞留特域(547,14)(644,61)(683,76) / 芙蕾雅島亞留特域(547,14)(番茄)(683,76)(番茄)","芙蕾雅島亞留特域(683,76)",,20個34G,/img/採集/竹莢魚.gif
5,牛肉,食材類,"芙蕾雅島法蘭城域(460,134)(番茄) / 索奇亞島奇利域(215,225)(350,340) / 索奇亞島奇利域(330,390)(鹽) / 索奇亞島奇利域(369,351)(胡椒) / 庫魯克斯島哥拉爾域(372,418) / 庫魯克斯島哥拉爾域(423,455) / 布拉基姆高地(189,130)(霜降牛肉)","索奇亞島奇利域(215,225)(350,340)(359,375)(320,333) / 庫魯克斯島哥拉爾域(372,418)",,20個41G,/img/採集/牛肉.gif
5,星鰻,食材類,"芙蕾雅島維諾亞域(425,466) / 索奇亞奇利域(365,265) / 德威特島尼爾維海域(593,340) / 布拉基姆高地(174,117)","芙蕾雅島維諾亞域(425,466)",,20個41G,/img/採集/星鰻.gif
5,薑,食材類,"芙蕾雅島法蘭城域(489,140)(番茄) / 索奇亞島加納域(415,298)","索奇亞島加納域(415,298)",,20個41G,/img/採集/薑.gif
