等級,名稱,材料,能力,說明,販店價,image
1,保護衣,銅條(3)、鹿皮(20)、麻布(3)、木棉布(2),防禦+11~+21 閃躲+5,穿在盔甲下面，保護皮膚。,300,/img/防具/保護衣.gif
1,旅人之服,鹿皮(20)、麻布(4)、印度輕木(10),防禦+7~+14 閃躲+5,是普通的布料，但口袋多，方便。,220,/img/防具/旅人之服.gif
2,皮裝,銅條(2)、鹿皮(20)、麻布(5)、木棉布(5)、毛氈(4),防禦+19~+35 閃躲+5,皮做的服裝。,500,/img/防具/皮裝.gif
2,羽毛裝,鹿皮(20)、麻布(11)、木棉布(2),防禦+15~+28 閃躲+5,輕量羽毛做的套裝。,400,/img/防具/羽毛裝.gif
3,硬皮服,銀條(3)、鹿皮(20)、麻布(5)、木棉布(5)、毛氈(6),防禦+21~+42 閃躲+5,還算結實的皮做的衣服。,600,/img/防具/硬皮服.gif
3,鎖鏈裝,鐵條(15)、銀條(5)、鹿皮(20)、棉(2),防禦+29~+49 閃躲+5,把細的金屬圈接起來做的套裝。,700,/img/防具/鎖鏈裝.gif
4,布甲,銀條(5)、鹿皮(20)、毛氈(7)、棉(10),防禦+36~+56 閃躲+5,結實布料做的像盔甲一樣的衣服。,800,/img/防具/皮裝.gif
4,襯甲,金條(4)、鹿皮(20)、毛氈(10)、棉(10),防禦+41~+64 閃躲+5,用布料變厚的像盔甲一樣的衣服。,900,/img/防具/襯甲.gif
5,功夫裝,鋁條(4)、純銀條(3)、金條(7)、茱萸木(20)、絹布(4),防禦+38~+48 抗魔+15~+18 使用偷竊技能同時造成對象損傷,以戰鬥為志向的盜賊們所愛用的服裝。,900,/img/防具/功夫裝.gif
5,士兵護衣,銀條(5)、白金條(5)、鹿皮(20)、棉(10)、細線(5),防禦+54~+78 閃躲+5,士兵的防護服。,1300,/img/防具/士兵護衣.gif
5,環服,鐵條(10)、金條(5)、鹿皮(20)、棉(6)、細線(5),防禦+49~+70 閃躲+5,利用鐵環編織而成的衣服。,1100,/img/防具/環服.gif
6,索錐上衣,鐵條(15)、金條(5)、白金條(5)、鹿皮(20)、棉(10),防禦+68~+92 閃躲+5,穿在鍊子服上的衣服。,1700,/img/防具/索錐上衣.gif
6,長索錐衣,鐵條(10)、銀條(7)、白金條(5)、鹿皮(20)、棉(10),防禦+63~+84 閃躲+5,長的鍊子服。,1500,/img/防具/硬皮服.gif
7,水龍之服,破爛的衣服(1)、鋼騎之礦(2)、魔族的水晶(2)、百里香(20),防禦+30 閃躲+80 耐久200,寄宿有海神的魔力的衣服。,無法販售,/img/防具/水龍之服.gif
7,超級衣服,棉(20)、莎蓮娜線(10)、妖草的血(1),防禦+74~+98 閃躲+5 抗中毒+8 抗石化+8,有不可思議魔力的衣服。,1750,/img/防具/超級衣服.gif
7,骨衣,白金條(5)、棉(5)、絹布(5)、莎蓮娜線(10),防禦+79~+105 閃躲+5,細又柔軟的軟骨編織而成的襯衫。,1750,/img/防具/骨衣.gif
8,步兵戰衣,鐵條(10)、幻之銀條(5)、棉(10)、絹布(10)、傑諾瓦線(5),防禦+89~+119 閃躲+5,步兵用，裡面加入板子的戰衣。,1800,/img/防具/步兵戰衣.gif
8,獸骨之衣+,幻之鋼條(13)、絹布(15)、阿巴尼斯製的線(10)、魔法紅蘿蔔(20)、藍龍之鱗(20),防禦+88~+115 敏捷+10~+20 閃躲+5 耐久250~+350 生產系晉升任務Ⅲ,細又柔軟的軟骨編織而成的襯衫。,1750,/img/防具/骨衣.gif
8,疾風之衣,地的水晶碎片(50)、水的水晶碎片(50)、火的水晶碎片(50)、風的水晶碎片(50)、傑諾瓦線(20),防禦+100~+112 命中+2 閃躲+5 稱號：幸運的人,加強閃躲能力的衣服。,1800,/img/防具/疾風之衣.gif
9,勇者之衣,勒格耐席鉧條(1)、木棉布(10)、細線(10)、傑諾瓦線(5)、細麻布(10),防禦+116~+133 閃躲+5,據說是開啟者曾穿過的衣服。,3800,/img/防具/勇者之衣.gif
9,女神之衣,絹布(10)、傑諾瓦線(10)、細麻布(15)、魔族的水晶(1)、誓言之證(1),防禦+95 命中+2 閃躲+15,據說女神曾穿過的聖衣。,5000,/img/防具/女神之衣.gif
10,不死鳥之服,奧利哈鋼條(1)、棉(10)、絹布(10)、傑諾瓦線(10)、開米士毛線(10),防禦+135~+147 閃躲+5 耐久350~+400,有自己回復能力的衣服。,7000,/img/防具/不死鳥之服.gif
10,靈魂之服,絹布(20)、開米士毛線(15)、神眼(1)、妖草的血(1)、魔族的水晶(4),防禦+120 命中+2 閃躲+5 氣功彈所需消耗魔力減少10%,裡面有熱能的衣服。,7800,/img/防具/靈魂之服.gif
