道具,需求道具
惡龍顱骨,變異之源碎片*300
惡龍巨翼,變異之源碎片*200
惡龍之尾,變異之源碎片*150
暗黑基因,變異之源碎片*120
粉紅之心,變異之源碎片*200
粉紅礦石,變異之源碎片*150
粉紅火藥,變異之源碎片*120
雷霆之力,變異之源碎片*60
雷獸獨角,變異之源碎片*10
雷獸犬牙,變異之源碎片*3
雷獸利爪,變異之源碎片*2
劇毒心臟,變異之源碎片*66
劇毒之魂,變異之源碎片*6
劇毒精華,變異之源碎片*3
懷舊樹精種子,變異之源碎片*100
變異木樁,變異之源碎片*20
變異土壤,變異之源碎片*5
赤炎內丹,變異之源碎片*100
變異蜂蜜,變異之源碎片*20
黃蜂尾針,變異之源碎片*5
液態史萊姆之魂,變異之源碎片*100
液態史萊姆組織,變異之源碎片*20
史萊姆漂白劑,變異之源碎片*5
螳螂卵,變異之源碎片*100
變異營養液,變異之源碎片*20
櫻花枝,變異之源碎片*5
鼠王金像,變異之源碎片*100
鼠王琥珀,變異之源碎片*20
鼠王化石,變異之源碎片*5
蜥蜴封印卡,變異之源碎片*100
變異催化劑,變異之源碎片*20
暗黑龍鱗,變異之源碎片*5
變異龍珠,變異之源碎片*100
迷你龍娃娃,變異之源碎片*20
純白藥劑,變異之源碎片*5
祥雲之淚,變異之源碎片*100
雲霧收集瓶,變異之源碎片*20
祥雲塊,變異之源碎片*5
紫甲基因,變異之源碎片*100
萬年龜角,變異之源碎片*20
變異的海底龜龜殼,變異之源碎片*5
金甲基因,變異之源碎片*100
黃金之角,變異之源碎片*20
變異的堀地蟲甲殼,變異之源碎片*5
紫魄,變異之源碎片*100
潔白之花,變異之源碎片*20
天馬羽毛,變異之源碎片*5
龍血,變異之源碎片*100
屠龍殘刀,變異之源碎片*20
黑化基因,變異之源碎片*5
琴韻徽章,變異之源碎片*80
艷陽傳承,變異之源碎片*80
百香精華,變異之源碎片*80
蜜瓜精華,變異之源碎片*80
暗裔覺醒,變異之源碎片*80
元素感知,變異之源碎片*80
22週年螳螂基因,變異之源碎片*80
22週年水龍蜥基因,變異之源碎片*80
22週年黃蜂基因,變異之源碎片*80
22週年鼠王彩帶,變異之源碎片*80
22週年樹精寶珠,變異之源碎片*80
22週年史萊姆精華,變異之源碎片*80
