道具,獲得道具
地獄火*1,變異之源碎片*80
閃光核心*1,變異之源碎片*80
強襲核心,變異之源碎片*80
冥界單劍,變異之源碎片*80
千年冰魄,變異之源碎片*80
禁地火龍魂,變異之源碎片*80
禁地冰龍魂,變異之源碎片*80
蝕月花,變異之源碎片*80
暴雪花,變異之源碎片*80
希望火柴盒,變異之源碎片*80
星輝石,變異之源碎片*80
逐月石,變異之源碎片*80
聖靈之心,變異之源碎片*80
聖靈月光,變異之源碎片*16
聖靈之物,變異之源碎片*4
惡龍顱骨,變異之源碎片*240
惡龍巨翼,變異之源碎片*160
惡龍之尾,變異之源碎片*120
暗黑基因,變異之源碎片*96
粉紅之心,變異之源碎片*160
粉紅礦石,變異之源碎片*120
粉紅火藥,變異之源碎片*96
雷霆之力,變異之源碎片*48
雷獸獨角,變異之源碎片*8
雷獸犬牙,變異之源碎片*2
雷獸利爪,變異之源碎片*1
劇毒心臟,變異之源碎片*52
劇毒之魂,變異之源碎片*4
劇毒精華,變異之源碎片*2
懷舊樹精種子,變異之源碎片*80
變異木樁,變異之源碎片*16
變異土壤,變異之源碎片*4
赤炎內丹,變異之源碎片*80
變異蜂蜜,變異之源碎片*16
黃蜂尾針,變異之源碎片*4
液態史萊姆之魂,變異之源碎片*80
液態史萊姆組織,變異之源碎片*16
史萊姆漂白劑,變異之源碎片*4
螳螂卵,變異之源碎片*80
變異營養液,變異之源碎片*16
櫻花枝,變異之源碎片*4
鼠王金像,變異之源碎片*80
鼠王琥珀,變異之源碎片*16
鼠王化石,變異之源碎片*4
蜥蜴封印卡,變異之源碎片*80
變異催化劑,變異之源碎片*16
暗黑龍鱗,變異之源碎片*4
變異龍珠,變異之源碎片*80
迷你龍娃娃,變異之源碎片*16
純白藥劑,變異之源碎片*4
祥雲之淚,變異之源碎片*80
雲霧收集瓶,變異之源碎片*16
祥雲塊,變異之源碎片*4
紫甲基因,變異之源碎片*80
萬年龜角,變異之源碎片*16
變異的海底龜龜殼,變異之源碎片*4
金甲基因,變異之源碎片*80
黃金之角,變異之源碎片*16
變異的堀地蟲甲殼,變異之源碎片*4
紫魄,變異之源碎片*80
潔白之花,變異之源碎片*16
天馬羽毛,變異之源碎片*4
龍血,變異之源碎片*80
屠龍殘刀,變異之源碎片*16
黑化基因,變異之源碎片*4
