等級,名稱,材料,能力,說明,販店價,image
1,運動鞋,鹿皮(20)、麻布(4),防禦+2~+3 敏捷+3~+4,好動的鞋子。,220,/img/防具/運動鞋.gif
1,馬車鞋,銅條(3)、鹿皮(20)、麻布(3),防禦+3~+5 敏捷+5~+6,可出遠門的結實鞋子。,250,/img/防具/馬車鞋.gif
2,安全鞋,鐵條(4)、鹿皮(20)、麻布(4)、木棉布(3),防禦+4~+8 敏捷+8~+10,礦工用的結實長筒鞋。,350,/img/防具/安全鞋.gif
2,皮鞋,鹿皮(20)、麻布(4)、木棉布(4),防禦+3~+6 敏捷+6~+8,皮鞋。,300,/img/防具/皮鞋.gif
3,光之鞋,鹿皮(20)、麻布(5)、木棉布(4)、毛氈(4),防禦+5~+9 敏捷+10~+12,以輕量素材做的鞋子。,400,/img/防具/光之鞋.gif
3,戰鞋,銅條(4)、鐵條(5)、鹿皮(20)、麻布(2)、毛氈(5),防禦+7~+11 敏捷+11~+14,戰鬥用的又硬又輕的鞋子。,470,/img/防具/戰鞋.gif
4,薄板鞋,銅條(10)、鐵條(3)、銀條(3)、鹿皮(20)、棉(3),防禦+8~+12 敏捷+13~+16,金屬片疊起來加強的鞋子。,550,/img/防具/薄板鞋.gif
4,鎖鏈鞋,銅條(10)、鐵條(6)、銀條(2)、純銀條(2)、毛氈(2),防禦+9~+14 敏捷+14~+18,以金屬網包起來加強的鞋子。,600,/img/防具/鎖鏈鞋.gif
5,特製舞鞋,鹿皮(20)、鋁條(3)、純銀條(2)、金條(2)、白金條(3),防禦+13~+15 敏捷+19~+21 精神+8 生命-30 跳舞成功率上升,跳舞用的鞋子。為了能適應各種地形，做的特別堅固耐穿。,550,/img/防具/特製舞鞋.gif
5,維京鞋,銅條(7)、銀條(5)、純銀條(5)、金條(5)、鹿皮(20),防禦+12~+17 敏捷+18~+22,海賊穿的鞋子。,1100,/img/防具/維京鞋.gif
5,蜥蝪鞋,銀條(5)、純銀條(6)、金條(3)、毛氈(6),防禦+11~+15 敏捷+16~+20,菱形金屬片疊起來做的鞋子。,1000,/img/防具/蜥蝪鞋.gif
6,戰鬥鞋,鐵條(20)、白金條(5),防禦+14~+18 敏捷+19~+24,戰鬥用鞋子。,1200,/img/防具/戰鬥鞋.gif
6,騎士鞋,銀條(10)、純銀條(8)、白金條(5)、鹿皮(20),防禦+15~+20 敏捷+21~+26,騎士專用金屬製鞋子。,1400,/img/防具/騎士鞋.gif
7,妖精鞋,純銀條(5)、白金條(5)、幻之鋼條(5)、莎蓮娜線(3),防禦+17~+23 敏捷+24~+30,以精靈為主的鞋子。,1450,/img/防具/蜥蝪靴.gif
7,水龍之鞋,破損的鞋(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),防禦+30 敏捷+30 閃躲+2 命中+2 耐久200,寄宿有海神的魔力的鞋子。,無法販售,/img/防具/水龍之鞋.gif
7,紫水晶鞋,銀條(5)、金條(5)、幻之鋼條(8)、隕石(1),防禦+44~+54,有紫水晶水晶裝飾的美麗鞋子。,1450,/img/防具/紫水晶鞋.gif
8,妖精鞋+,幻之銀條(3)、幻之鋼條(5)、阿巴尼斯製的線(17)、濕地毒蛇(10)、藍龍之鱗(20),防禦+18~+24 敏捷+34~+40 魅力+1~+3 耐久160~+210 生產系晉升任務Ⅲ,以精靈為主的鞋子。,1450,/img/防具/蜥蝪靴.gif
8,白金鞋,純銀條(5)、白金條(5)、幻之銀條(5)、傑諾瓦線(3),防禦+20~+26 敏捷+26~+32,以白金做的鞋子。,1500,/img/防具/白金鞋.gif
8,精緻高根鞋,幻之鋼條(10)、幻之銀條(10)、大炸彈的卡片(1),防禦+20~+26 敏捷-60 魔力+90,以魔力做的不可思議的鞋子。,1500,/img/防具/精緻高根鞋.gif
9,力量之鞋,勒格耐席鉧條(10)、莎蓮娜線(10)、鋼騎之礦(2)、隕石(1),防禦+23 敏捷+30 抗毒+3 抗睡+3 抗石+3,據說給給人力量的鞋子。,3100,/img/防具/力量之鞋.gif
9,神秘之鞋,幻之鋼條(5)、勒格耐席鉧條(4)、絹布(5)、細麻布(4),防禦+23~+29 敏捷+30~+38,由神秘的光圍繞的不可思議的鞋子。,2500,/img/防具/神秘之鞋.gif
10,黃金鞋,幻之銀條(5)、奧利哈鋼條(5)、毛氈(5)、開米士毛線(5),防禦+27~+32 敏捷+36~+42,諸神做的鞋子。,5400,/img/防具/黃金鞋.gif
10,龍之鞋,奧利哈鋼條(10)、傑諾瓦線(10)、鋼騎之礦(3)、誓言之證(2),防禦+37~+42 敏捷+31~+37 閃躲+3,據說是專門作給神明穿的異國之鞋。,5800,/img/防具/龍之鞋.gif
