名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,入手方法,入手類型,image
虎人,野獸系,22,26,17,19,16,8,100,地3風7,動物研究室全域；到達方法參考六等勳章任務：暗殺犯追跡,捕捉,/img/魔力原始寵物/虎人.gif
貓妖,野獸系,19,24,17,28,17,9,105,水7火3,動物研究室全域；到達方法參考六等勳章任務：暗殺犯追跡,捕捉,/img/魔力原始寵物/貓妖.gif
羅剎,野獸系,24,25,14,22,20,9,105,水3火7,詛咒的迷宮地下13樓(25.5),捕捉,/img/魔力原始寵物/羅剎.gif
貓人,野獸系,23,27,15,26,14,9,105,地5風5,莎蓮娜東邊洞窟地下二樓(12.16),捕捉,/img/魔力原始寵物/貓人.gif
惡魔貓,野獸系,21,23,12,27,22,9,105,地7風3,莎蓮娜西邊洞窟傑諾瓦側1樓(15.15)、(14.18),捕捉,/img/魔力原始寵物/惡魔貓.gif
妖狐,野獸系,18,30,11,25,26,8,110,水5火5,冰之洞窟二樓(16.24)、(16.23),捕捉,/img/魔力原始寵物/妖狐.gif
穴熊,野獸系,34,34,19,19,14,6,120,地8水2,維諾亞洞窟全域(生產系專用通道無),捕捉,/img/魔力原始寵物/穴熊.gif
赤熊,野獸系,35,36,15,20,14,6,120,火8風2,德威特島尼維爾海村附近(515.469)，需要從法蘭城中央的傳送石到亞諾曼城,捕捉,/img/魔力原始寵物/赤熊.gif
北極熊,野獸系,36,33,22,18,11,6,120,地2水8,阿巴尼斯村外圍(255.182)、(256.191),捕捉,/img/魔力原始寵物/北極熊.gif
赤目黑熊,野獸系,33,35,14,22,16,6,120,火2風8,白色方舟3樓(63.150),捕捉,/img/魔力原始寵物/赤目黑熊.gif
貓熊,野獸系,32,40,18,17,18,7,125,水5火5,火焰鼠彩卷B獎隨機獲得,捕捉,/img/魔力原始寵物/貓熊.gif
大地鼠,野獸系,6,13,20,26,35,10,100,地10,芙蕾雅島聖拉魯卡村外(156.197),捕捉,/img/魔力原始寵物/大地鼠.gif
惡夢鼠,野獸系,4,8,18,33,37,10,100,水10,王族用逃脫暗道東方(33.40)；見五等勳任務︰返魂之珠,捕捉,/img/魔力原始寵物/惡夢鼠.gif
