武器,增益效果,負面效果
巨劍/巨斧/戰戟/太刀,生命+500，回復+40,攻擊-50，敏捷-30，命中-15，抗石化-30
巨劍/巨斧/戰戟/太刀,生命+400，敏捷+60,防禦-50，攻擊-50，必殺-15，抗昏睡-30
巨劍/巨斧/戰戟/太刀,生命+400，攻擊+175,防禦-50，敏捷-50，命中-15，抗混亂-30
巨劍/巨斧/戰戟/太刀,生命+600，魔力+600,回復-50，敏捷-50，閃避-15，抗石化-30
巨劍/巨斧/戰戟/太刀,攻擊+200，必殺+10,回復-50，防禦-50，閃避-15，抗混亂-30
巨劍/巨斧/戰戟/太刀,攻擊+200，敏捷+50,防禦-50，回復-50，必殺-15，抗昏睡-30
巨劍/巨斧/戰戟/太刀,攻擊+200，命中+10,敏捷-50，回復-50，閃避-15，抗石化-30
巨劍/巨斧/戰戟/太刀,攻擊+200，回復+50,防禦-50，敏捷-50，閃避-15，抗石化-30
巨劍/巨斧/戰戟/太刀,魔力+600，命中+10,敏捷-50，回復-50，閃避-15，抗昏睡-30
巨劍/巨斧/戰戟/太刀,攻擊+200，抗石化+10，抗遺忘+10,防禦-50，敏捷-50，閃避-15，抗混亂-30
巨劍/巨斧/戰戟/太刀,攻擊+200，抗昏睡+10，抗混亂+10,防禦-50，敏捷-50，命中-15，抗遺忘-30
巨劍/巨斧/戰戟/太刀,魔力+500，抗石化+10，抗遺忘+10,防禦-50，敏捷-50，閃避-15，抗混亂-30
巨劍/巨斧/戰戟/太刀,魔力+500，抗昏睡+10，抗混亂+10,攻擊-50，敏捷-50，命中-15，抗遺忘-30
巨劍/巨斧/戰戟/太刀,生命+500，抗石化+10，抗遺忘+10,防禦-50，敏捷-50，閃避-15，抗混亂-30
巨劍/巨斧/戰戟/太刀,生命+500，抗昏睡+10，抗混亂+10,攻擊-50，敏捷-50，命中-15，抗遺忘-30
巨劍/巨斧/戰戟/太刀,抗昏睡+20，抗混亂+20，抗石化+20，抗遺忘+20,敏捷-50，防禦-50，回復-50，必殺-15
輕弓/飛刀/飛鏢/披風,生命+600，回復+30,攻擊-60，敏捷-40，閃避-15，抗石化-30
輕弓/飛刀/飛鏢/披風,生命+500，敏捷+50,攻擊-50，回復-40，必殺-15，抗昏睡-30
輕弓/飛刀/飛鏢/披風,生命+500，攻擊+125,防禦-50，敏捷-50，閃避-15，抗混亂-30
輕弓/飛刀/飛鏢/披風,生命+500，魔力+650,回復-50，防禦-50，閃避-15，抗石化-30
輕弓/飛刀/飛鏢/披風,攻擊+200，必殺+10,回復-50，敏捷-50，閃避-15，抗混亂-30
輕弓/飛刀/飛鏢/披風,攻擊+200，敏捷+50,防禦-50，回復-50，必殺-15，抗昏睡-30
輕弓/飛刀/飛鏢/披風,攻擊+200，命中+10,敏捷-50，回復-50，閃避-15，抗石化-30
輕弓/飛刀/飛鏢/披風,攻擊+200，回復+50,防禦-50，敏捷-50，閃避-15，抗石化-30
輕弓/飛刀/飛鏢/披風,魔力+600，命中+10,敏捷-50，回復-50，閃避-15，抗昏睡-30
輕弓/飛刀/飛鏢/披風,攻擊+200，抗石化+10，抗遺忘+10,防禦-50，敏捷-50，閃避-15，抗混亂-30
輕弓/飛刀/飛鏢/披風,攻擊+200，抗昏睡+10，抗混亂+10,防禦-50，敏捷-50，命中-15，抗遺忘-30
輕弓/飛刀/飛鏢/披風,魔力+500，抗石化+10，抗遺忘+10,防禦-50，敏捷-50，閃避-15，抗混亂-30
輕弓/飛刀/飛鏢/披風,魔力+500，抗昏睡+10，抗混亂+10,攻擊-50，敏捷-50，命中-15，抗遺忘-30
