技能,見習,正式,王宮,師範,大師
補血 魔法,2,3,4,5,6
強力補血魔法,2,3,4,5,6
超強補血魔法,2,3,4,5,6
氣絕 回復,2,3,4,5,6
隕石 魔法,2,3,4,5,6
冰凍 魔法,2,3,4,5,6
火焰 魔法,2,3,4,5,6
風刃 魔法,2,3,4,5,6
強力隕石魔法,2,3,4,5,6
強力冰凍魔法,2,3,4,5,6
強力火焰魔法,2,3,4,5,6
強力風刃魔法,2,3,4,5,6
超強隕石魔法,2,3,4,5,6
超強冰凍魔法,2,3,4,5,6
超強火焰魔法,2,3,4,5,6
-,-,-,-,-,-
超強風刃魔法,2,3,4,5,6
中毒 魔法,2,2,2,2,6
昏睡 魔法,2,2,2,2,6
石化 魔法,2,2,2,2,6
酒醉 魔法,2,2,2,2,6
混亂 魔法,2,2,2,2,6
遺忘 魔法,2,2,2,2,6
強力中毒魔法,2,2,2,2,6
強力昏睡魔法,2,2,2,2,6
強力石化魔法,2,2,2,2,6
強力酒醉魔法,2,2,2,2,6
強力混亂魔法,2,2,2,2,6
強力遺忘魔法,2,2,2,2,6
超強中毒魔法,2,2,2,2,6
超強昏睡魔法,2,2,2,2,6
-,-,-,-,-,-
超強石化魔法,2,2,2,2,6
超強酒醉魔法,2,2,2,2,6
超強混亂魔法,2,2,2,2,6
超強遺忘魔法,2,2,2,2,6
吸血 魔法,2,2,2,2,6
攻擊 吸收,2,3,4,5,6
魔法 吸收,2,3,4,5,6
攻擊 反彈,2,3,4,5,6
魔法 反彈,2,3,4,5,6
攻擊 無效,2,3,4,5,6
魔法 無效,2,3,4,5,6
恢復 魔法,2,3,4,5,6
強力恢復魔法,2,3,4,5,6
超強恢復魔法,2,3,4,5,6
潔淨 魔法,2,3,4,5,6
-,-,-,-,-,-
屬性反轉魔法,2,2,2,2,6
大地的 祈禱,2,2,2,2,6
海洋的祈禱,2,2,2,2,6
火焰的祈禱,2,2,2,2,6
雲群的祈禱,2,2,2,2,6
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
