配方ID,順序,種類,名稱,名稱狀態,數量,等級條件,等級,條件備註,原文
fusion-a0002,1,寵物,龍蝦霸王,已對應寵物表,,任意,,,任意等級的龍蝦霸王
fusion-a0002,2,道具,太晶之源碎片,已對應道具庫,500,,,,太晶之源碎片×500
fusion-a0002,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0003,1,寵物,沼澤龍蝦,已對應寵物表,,任意,,,任意等級的沼澤龍蝦
fusion-a0003,2,道具,太晶之源碎片,已對應道具庫,500,,,,太晶之源碎片×500
fusion-a0003,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0004,1,寵物,太晶龍蝦霸王,已對應寵物表,,任意,,,任意等級的太晶龍蝦霸王
fusion-a0004,2,道具,太晶之源,已對應道具庫,10,,,,太晶之源×10
fusion-a0004,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0005,1,寵物,太晶沼澤龍蝦,已對應寵物表,,任意,,,任意等級的太晶沼澤龍蝦
fusion-a0005,2,道具,太晶之源,已對應道具庫,10,,,,太晶之源×10
fusion-a0005,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0006,1,寵物,潮汐魟王,已對應寵物表,,指定,1,,Lv1的潮汐魟王
fusion-a0006,2,道具,潮汐王冠,已對應道具庫,1,,,,潮汐王冠×1
fusion-a0007,1,寵物,湛藍飛魟,已對應寵物表,,指定,1,,Lv1的湛藍飛魟
fusion-a0007,2,道具,潮汐王冠,已對應道具庫,3,,,,潮汐王冠×3
fusion-a0008,1,寵物,狐丸,已對應寵物表,,指定,1,,Lv1的狐丸
fusion-a0008,2,道具,狐族設計圖ABCD,來源原文,,,,,狐族設計圖ABCD
fusion-a0008,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0009,1,寵物,百合騎士,已對應寵物表,,指定,1,,Lv1的百合騎士
fusion-a0009,2,道具,純白誓約之冕,已對應道具庫,3,,,,純白誓約之冕×3
fusion-a0010,1,寵物,百合聖騎士,已對應寵物表,,指定,1,,Lv1的百合聖騎士
fusion-a0010,2,道具,純白誓約之冕,已對應道具庫,1,,,,純白誓約之冕×1
fusion-a0011,1,寵物,白銀聖鬥士,已對應寵物表,,指定,1,,Lv1的白銀聖鬥士
fusion-a0011,2,道具,純白誓約之冕,已對應道具庫,1,,,,純白誓約之冕×1
fusion-a0012,1,寵物,白銀格鬥士,已對應寵物表,,指定,1,,Lv1的白銀格鬥士
fusion-a0012,2,道具,純白誓約之冕,已對應道具庫,3,,,,純白誓約之冕×3
fusion-a0013,1,寵物,神樂,已對應寵物表,,指定,1,,Lv1的神樂
fusion-a0013,2,道具,神樂之聖角,已對應道具庫,1,,,,神樂之聖角×1
fusion-a0013,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0013,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0014,1,寵物,天叢雲神樂,已對應寵物表,,指定,1,,Lv1的天叢雲神樂
