名稱,分類,等級,價格,販售地點
麻布,布料,1,20,"法蘭城 流行商店(117,112) 布商克蘿姆(8,5) / 亞諾曼城 勝興布莊(129,148) 布商畢勝(12,12) / 艾夏島 防具店(141,114)2F 流行商店 模特兒可可娜(售價90G)"
木棉布,布料,2,25,"法蘭城 流行商店(117,112) 布商克蘿姆(8,5) / 亞諾曼城 勝興布莊(129,148) 布商畢勝(12,12)"
毛氈,布料,3,29,"法蘭城 流行商店(117,112) 布商克蘿姆(8,5) / 亞諾曼城 勝興布莊(129,148) 布商畢勝(12,12)"
棉,布料,4,33,"法蘭城 流行商店(117,112) 布商克蘿姆(8,5) / 亞諾曼城 勝興布莊(129,148) 布商畢勝(12,12)"
細線,布料,5,40,"法蘭城 流行商店(117,112) 布商克蘿姆(8,5) / 亞諾曼城 勝興布莊(129,148) 布商畢勝(12,12)"
絹布,布料,6,50,"維諾亞村 裝備店(62,42) 布店的小娟(13,6) / 魔法大學 更衣室(29,43) 賣布商史瓦夫(11,7)"
莎蓮娜線,布料,7,100,"傑諾瓦鎮 雜貨店(43,23) 賣布的艾妮(13,11)"
傑諾瓦線,布料,8,120,"傑諾瓦鎮 雜貨店(43,23) 賣布的艾妮(13,11)"
細麻布,布料,9,130,"阿巴尼斯村 村長家(36,54) 村長女兒蘿莎利亞(13,4)"
開米士毛線,布料,10,170,"阿巴尼斯村 村長家(36,54) 村長女兒蘿莎利亞(13,4)"
阿巴尼斯製的線,布料,8,400,"魔法大學 更衣室(29,43) 賣布商史瓦夫(11,7)"
阿巴尼斯製的布,布料,8,400,"魔法大學 更衣室(29,43) 賣布商史瓦夫(11,7)"
