特惠禮盒,名稱,圖示,等級,耐久,能力,image
春丸子禮盒,春丸子頭飾,,LV1,300,防禦+30、魔力+300,/img/特惠禮盒頭飾/春丸子禮盒.gif
可愛史萊姆,果凍史萊姆造型帽,,LV1,200,敏捷+30、魔力+150,/img/特惠禮盒頭飾/可愛史萊姆.gif
可愛史萊姆,史萊姆造型帽,,LV1,200,精神+30、生命+150,/img/特惠禮盒頭飾/可愛史萊姆-2.gif
霸氣少年,霸氣飛機頭,,LV1,200,閃躲+15、生命+150,/img/特惠禮盒頭飾/霸氣少年.png
霸氣少年,煞氣飛機頭,,LV1,200,必殺+15、生命+150,/img/特惠禮盒頭飾/霸氣少年.png
21週年少女,蝴蝶結,,LV1,200,防禦+150、精神+20,/img/特惠禮盒頭飾/21週年少女.png
21週年少女,公主頭,,LV1,200,防禦+150、敏捷+20,/img/特惠禮盒頭飾/21週年少女-2.png
教皇祝福,教皇青蓮,,LV1,200,防禦+150、閃躲+10、魅力+50,/img/特惠禮盒頭飾/教皇祝福.jpg
教皇祝福,教皇金蓮,,LV1,200,回復+10、魔力+250、魅力+50,/img/特惠禮盒頭飾/教皇祝福-2.jpg
熱帶雨林,霸王菇,,LV1,200,閃躲+5、生命+200、魔力+200,/img/特惠禮盒頭飾/熱帶雨林.jpg
熱帶雨林,霸王花,,LV1,200,必殺+5、生命+200、魔力+200,/img/特惠禮盒頭飾/熱帶雨林-2.png
時尚達人,爆炸頭(男款),,LV1,200,攻擊+50、必殺+10,/img/特惠禮盒頭飾/時尚達人.jpg
時尚達人,爆炸頭(女款),,LV1,200,回復+5、生命+250,/img/特惠禮盒頭飾/時尚達人-2.png
玩具禮盒,玩具加農砲,,LV1,200,攻擊+10、抗混亂+10、命中+15,/img/特惠禮盒頭飾/玩具禮盒.png
玩具禮盒,玩具煙囪,,LV1,200,攻擊+10、生命+200、抗魔+100,/img/特惠禮盒頭飾/玩具禮盒-2.png
春季禮盒,春日花,,LV1,200,攻擊+20、防禦+20、回復+20,/img/特惠禮盒頭飾/春季禮盒.png
春季禮盒,春日草,,LV1,200,敏捷+10、命中+10、閃躲+10、生命+50,/img/特惠禮盒頭飾/春季禮盒-2.png
學院風禮盒,運動太陽眼鏡,,LV1,200,必殺+15、命中+15,/img/特惠禮盒頭飾/學院風禮盒.png
學院風禮盒,學者眼鏡,,LV1,200,敏捷+30、回復+10、生命+100,/img/特惠禮盒頭飾/學院風禮盒-2.png
紳士禮盒,黑色紳士禮帽,,LV1,200,攻擊+30、敏捷+30、必殺+15,/img/特惠禮盒頭飾/紳士禮盒.png
紳士禮盒,白色紳士禮帽,,LV1,200,閃躲+15、生命+100、魔力+100,/img/特惠禮盒頭飾/紳士禮盒-2.png
萬聖之夜,萬聖節南瓜頭,,LV1,200,防禦+50、抗混亂+10、抗遺忘+10、生命+100,/img/特惠禮盒頭飾/萬聖之夜.png
狂歡派對,天使派隊帽,,LV1,200,攻擊+30、防禦+30、敏捷+30,/img/特惠禮盒頭飾/狂歡派對.png
狂歡派對,惡魔派對帽,,LV1,200,精神+30、魔攻+30、抗魔+30,/img/特惠禮盒頭飾/狂歡派對-2.png
狂歡派對,彩帶派對帽,,LV1,200,回復+30、生命+150、魔力+50,/img/特惠禮盒頭飾/狂歡派對-3.png
