職業群,順序,稱號,累積聲望,與前階差額,吉拉場數(約),可晉階,備註
戰鬥系,0,無名的旅人,-,-,-,,創角起始（新創角色聲望約 1000）
戰鬥系,1,路旁的落葉,2000,2000,28,,
戰鬥系,2,水面上的小草,5000,3000,42,,
戰鬥系,3,呢喃的歌聲,10000,5000,70,正職,
戰鬥系,4,地上的月影,20000,10000,140,,
戰鬥系,5,奔跑的春風,33000,13000,186,,
戰鬥系,6,蒼之風雲,50000,17000,242,王宮,
戰鬥系,7,搖曳的金星,70000,20000,288,,
戰鬥系,8,歡喜的慈雨,100000,30000,428,師範,
戰鬥系,9,蘊含的太陽,130000,30000,428,,
戰鬥系,10,敬畏的寂靜,160000,30000,428,大師,
戰鬥系,11,無際的青空,待補,待補,待補,,
生產系,0,無名的旅人,-,-,-,,創角起始（新創角色聲望約 1000）
生產系,1,邁步前進的人,2000,2000,-,,
生產系,2,追求技巧的人,3000,1000,-,,
生產系,3,刻於新月之銘,4000,1000,-,正職,
生產系,4,掌上的明珠,6000,2000,-,,
生產系,5,敬虔的技巧,9000,3000,-,,
生產系,6,踏入神的領域,14000,5000,-,資深,
生產系,7,賢者,20000,6000,-,,
生產系,8,神匠,29000,9000,-,御用,
生產系,9,摘星的技巧,38000,9000,-,,
生產系,10,萬物創造者,47000,9000,-,名師,
生產系,11,賢者之石擁有者,待補,待補,-,,
服務系,0,無名的旅人,-,-,-,,創角起始（新創角色聲望約 1000）
服務系,1,邁步前進的人,2000,2000,-,,
服務系,2,追求技巧的人,4000,2000,-,,
服務系,3,刻於新月之銘,6000,2000,-,正職,
服務系,4,掌上的明珠,9000,3000,-,,
服務系,5,敬虔的技巧,13000,4000,-,,
服務系,6,踏入神的領域,19000,6000,-,資深,
服務系,7,賢者,27000,8000,-,,
服務系,8,神匠,37000,10000,-,御用,
服務系,9,摘星的技巧,47000,10000,-,,
服務系,10,萬物創造者,57000,10000,-,名師,
服務系,11,賢者之石擁有者,待補,待補,-,,
採集系,0,無名的旅人,-,-,-,,創角起始（新創角色聲望約 1000）
採集系,1,邁步前進的人,2000,2000,-,,
採集系,2,追求技巧的人,2500,500,-,,
採集系,3,刻於新月之銘,3000,500,-,正職,
採集系,4,掌上的明珠,4500,1500,-,,
採集系,5,敬虔的技巧,8000,3500,-,,
採集系,6,踏入神的領域,12000,4000,-,資深,
採集系,7,賢者,17000,5000,-,,
採集系,8,神匠,25000,8000,-,御用,
採集系,9,摘星的技巧,34000,9000,-,,
採集系,10,萬物創造者,43000,9000,-,名師,
採集系,11,賢者之石擁有者,待補,待補,-,,
