等級,名稱,材料,能力,說明,販店價,image
1,生命力回復藥(100),蘋果薄荷(10)、檸檬草(1),生命值回復約100點 (依回復值高低而增減),回復100點生命力的藥。,每組150,/img/藥水/生命力回復藥(100).gif
2,想泉丸,桃連蛇(20)、桃茂(20)、桃冠(20),,回憶之藥。,,/img/藥水/想泉丸.gif
2,生命力回復藥(150),蘋果薄荷(10)、檸檬草(10),生命值回復約150點 (依回復值高低而增減),回復150點生命力的藥。,每組225,/img/藥水/生命力回復藥(100).gif
3,猛毒的餌,必死的劇藥(1)、牛肉(20),,下過毒的牛肉，普通人只要吃上一口就會死。,,/img/藥水/猛毒的餌.gif
3,生命力回復藥(200),蘋果薄荷(10)、檸檬草(10)、蝴蝶花(5),生命值回復約200點 (依回復值高低而增減),回復200點生命力的藥。,每組300,/img/藥水/生命力回復藥(100).gif
4,生命力回復藥(250),檸檬草(10)、蝴蝶花(15)、果梨(5),生命值回復約250點 (依回復值高低而增減),回復250點生命力的藥。,每組375,/img/藥水/生命力回復藥(250).gif
4,畢克銀酸,摩斯蜥蜴(1)、井底蛙(1)、惡魔魚(1)、迷你蝙蝠的血(1)、純銀(1),,能解除使魔族兇暴化的實驗藥效能之特效藥 。,,/img/藥水/畢克銀酸.gif
4,迷魂藥,摩斯蜥蜴(1)、井底蛙(1)、惡魔魚(1)、戀愛蘋果(20),,某種水溶液。,,/img/藥水/迷魂藥.gif
5,生命力回復藥(300),蝴蝶花(15)、果梨(15)、桃木(5),生命值回復約300點 (依回復值高低而增減),回復300點生命力的藥。,每組450,/img/藥水/生命力回復藥(250).gif
6,生命力回復藥(400),果梨(10)、桃木(15)、番紅花(15),生命值回復約400點 (依回復值高低而增減),回復400點生命力的藥。,每組600,/img/藥水/生命力回復藥(250).gif
7,水龍藥水,渾濁的水(1)、百里香(20),魅力+10 製作一次三個 (堆疊上限20個),寄宿有海神的魔力的藥。,無法販售,/img/藥水/水龍藥水.gif
7,生命力回復藥(500),果梨(5)、桃木(13)、番紅花(15)、百里香(15),生命值回復約500點 (依回復值高低而增減),回復500點生命力的藥。,每組750,/img/藥水/生命力回復藥(500).gif
8,生命力回復藥(600),蘋果薄荷(10)、果梨(10)、番紅花(10)、百里香(20)、瞿麥(10),生命值回復約600點 (依回復值高低而增減),回復600點生命力的藥。,每組900,/img/藥水/生命力回復藥(500).gif
8,香水：深藍九號,百里香(10)、瞿麥(10)、魔法紅蘿蔔(20)、濕地毒蛇(10)、水的水晶碎片(5),遇敵率下降 生產系晉升任務Ⅲ,任何人聞了都會想逃跑的嘔心香水。,每組1200,/img/藥水/香水：深藍九號.gif
9,生命力回復藥(800),蝴蝶花(5)、番紅花(7)、瞿麥(5)、茴香(10)、七葉樹(5),生命值回復約800點 (依回復值高低而增減),回復800點生命力的藥。,每組1200,/img/藥水/生命力回復藥(500).gif
10,生命力回復藥(1000),蘋果薄荷(10)、檸檬草(10)、瞿麥(6)、茴香(8)、七葉樹(10),生命值回復約1000點 (依回復值高低而增減),回復1000點生命力的藥。,每組1500,/img/藥水/生命力回復藥(1000).gif
