階段,產物,底寵,材料,NPC
一改,變異龍祖,大地翼龍,惡龍顱骨(1)、惡龍巨翼(1)、惡龍之尾(1)、暗黑基因(1),洛伊克博士 (6.6)
一改,粉紅炸彈,大炸彈,粉紅之心(1)、粉紅礦石(1)、粉紅火藥(1),洛伊克博士 (6.6)
一改,雷獸,地獄妖犬,雷霆之力(5)、雷獸獨角(20)、雷獸犬牙(50)、雷獸力爪(75),洛伊克博士 (6.6)
一改,劇毒螃蟹,黃金螃蟹,劇毒心臟(3)、劇毒之魂(25)、劇毒精華(50),洛伊克博士 (6.6)
一改,懷舊樹精,樹精,懷舊樹精的種子(3)、變異木樁(10)、變異土壤(30),洛伊克博士 (6.6)
一改,赤炎黃蜂,黃蜂,赤炎內丹(3)、變異蜂蜜(10)、黃蜂尾針(30),洛伊克博士 (6.6)
一改,純白液態史萊姆,液態史萊姆,液態史萊姆之魂(3)、液態史萊姆組織(10)、史萊姆漂白劑(30),洛伊克博士 (6.6)
一改,櫻花螳螂,螳螂,螳螂卵(3)、變異營養液(10)、櫻花枝(30),洛伊克博士 (6.6)
一改,黃金鼠王,鼠王,鼠王金像(3)、鼠王琥珀(10)、鼠王化石(30),洛伊克博士 (6.6)
一改,小白龍,迷你龍,變異龍珠(3)、迷你龍娃娃(10)、純白藥劑(30),洛伊克博士 (6.6)
一改,祥雲寶寶,煙羅,祥雲之淚(3)、雲霧收集瓶(10)、祥雲塊(30),洛伊克博士 (6.6)
一改,萬年龜,海底龜,紫甲基因(3)、萬年龜角(10)、變異的海底龜龜殼(30),洛伊克博士 (6.6)
一改,金甲蟲,堀地蟲,金甲基因(3)、黃金之角(5)、變異的堀地蟲甲殼(30),洛伊克博士 (6.6)
一改,暗黑水龍蜥,水龍蜥,蜥蜴封印卡(3)、變異催化劑(10)、暗黑龍鱗(30),洛伊克博士 (6.6)
一改,紫翎,天馬,紫魄(3)、潔白之花(10)、天馬羽毛(30),洛伊克博士 (6.6)
一改,屠龍鬥士,大型半獸人,龍血(3)、屠龍殘刀(10)、黑化基因(30),洛伊克博士 (6.6)
一改,斧頭幫千軍,紅帽哥布林,勇氣之斧(3)、勇氣之帽(10)、勇氣之酒(30),洛伊克博士 (6.6)
一改,斧頭幫萬馬,海盜,義氣之斧(3)、義氣之帽(10)、義氣枷鎖(30),洛伊克博士 (6.6)
一改,幽紫妖靈,幽靈,紅色幽靈鏡(3)、幽靈之心(10)、幽靈香(30),洛伊克博士 (6.6)
一改,血腥魔刃,血腥之刃,魔劍碎片(3)、魔劍能量石(10)、魔劍魂水(30),洛伊克博士 (6.6)
一改,魔化佛利波羅,佛利波羅,佛利波羅的野心(3)、逆神之志(10)、變異能量精華(30),洛伊克博士 (6.6)
一改,狂魔阿卡斯,阿卡斯,阿卡斯的狂妄(3)、逆神之志(10)、變異能量精華(30),洛伊克博士 (6.6)
一改,邪神巴洛斯,巴洛斯,巴洛斯的邪惡(3)、逆神之志(10)、變異能量精華(30),洛伊克博士 (6.6)
一改,軍王李貝留斯,李貝留斯,李貝留斯的誓願(3)、逆神之志(10)、變異能量精華(30),洛伊克博士 (6.6)
一改,兔耳精靈箱,兔耳嚇人箱,兔耳精靈結晶(3)、嚇人箱碎片(10)、精靈箱藥劑(30),洛伊克博士 (6.6)
一改,嚇人精靈箱,嚇人箱,嚇人精靈結晶(3)、嚇人箱碎片(10)、精靈箱藥劑(30),洛伊克博士 (6.6)
一改,綠蛙精靈箱,綠蛙嚇人箱,綠蛙精靈結晶(3)、嚇人箱碎片(10)、精靈箱藥劑(30),洛伊克博士 (6.6)
一改,純白精靈箱,純白嚇人箱,純白精靈結晶(3)、嚇人箱碎片(10)、精靈箱藥劑(30),洛伊克博士 (6.6)
一改,藍魔精靈箱,藍魔嚇人箱,藍魔精靈結晶(3)、嚇人箱碎片(10)、精靈箱藥劑(30),洛伊克博士 (6.6)
一改,紅魔精靈箱,紅魔嚇人箱,紅魔精靈結晶(3)、嚇人箱碎片(10)、精靈箱藥劑(30),洛伊克博士 (6.6)
一改,暗影鳥人,黑暗鳥人,暗影枷鎖(3)、暗影魔晶(10)、暗影血液(30),洛伊克博士 (6.6)
一改,光精靈,風精,風精之心(3)、元素石(10)、元素精華(30),洛伊克博士 (6.6)
一改,冰精靈,水精,水精之心(3)、元素石(10)、元素精華(30),洛伊克博士 (6.6)
一改,炎精靈,火精,火精之心(3)、元素石(10)、元素精華(30),洛伊克博士 (6.6)
一改,木精靈,地精,地精之心(3)、元素石(10)、元素精華(30),洛伊克博士 (6.6)
二改,暗裔龍祖,變異龍祖,龍祖的鱗片(3)、龍祖的血(10)、龍祖的祈福(30),拉拉克博士 (8.4)
二改,甜心炸彈,粉紅炸彈,炸彈基因(3)、甜心元素(10)、炸彈魔核(30),拉拉克博士 (8.4)
二改,雷霆幻獸,雷獸,雷霆之花(3)、雷霆魔石(10)、雷霆藥劑(30),拉拉克博士 (8.4)
二改,蟲毒魔蟹,劇毒螃蟹,致死魔毒(3)、絕命花(10)、龍毒香(30),拉拉克博士 (8.4)
